## 1
## 한번 구입하면 3년 이상 사용해 경기를 가늠하는 대표적인 지표로 통하는 자동차를 비롯한 내구재 판매도 호조를 보였다.
## 한번 구입하면 <3년:NOH> 이상 사용해 경기를 가늠하는 대표적인 지표로 통하는 자동차를 비롯한 내구재 판매도 호조를 보였다.
한번	한번	NNG	O
_	_	_	O
구입하	구입하	VV	O
면	면	EC	O
_	_	_	O
3	3	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
사용해	사용하+여	VV+EC	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
가늠하	가늠하	VV	O
는	는	ETM	O
_	_	_	O
대표적	대표적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지표	지표	NNG	O
로	로	JKB	O
_	_	_	O
통하	통하	VV	O
는	는	ETM	O
_	_	_	O
자동차	자동차	NNG	O
를	를	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
내구재	내구재	NNG	O
_	_	_	O
판매	판매	NNG	O
도	도	JX	O
_	_	_	O
호조	호조	NNG	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 실제 그는 19일 경기에서 더스틴 니퍼트와 호흡을 맞춰 7이닝 무실점을 합작했고, 20일에는 유희관과 호흡(8이닝 2실점)을 맞추며 팀 승리에 발판을 마련했다.
## 실제 그는 <19일:DAT> 경기에서 <더스틴 니퍼트:PER>와 호흡을 맞춰 <7이닝:NOH> 무실점을 합작했고, <20일:DAT>에는 <유희관:PER>과 호흡(<8이닝:NOH> <2실점:NOH>)을 맞추며 팀 승리에 발판을 마련했다.
실제	실제	MAG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
경기	경기	NNP	O
에서	에서	JKB	O
_	_	_	O
더스틴	더스틴	NNP	B-PER
_	_	_	I-PER
니퍼트	니퍼트	NNP	I-PER
와	와	JKB	O
_	_	_	O
호흡	호흡	NNG	O
을	을	JKO	O
_	_	_	O
맞춰	맞추+어	VV+EC	O
_	_	_	O
7	7	SN	B-NOH
이닝	이닝	NNG	I-NOH
_	_	_	O
무실점	무실점	NNG	O
을	을	JKO	O
_	_	_	O
합작	합작하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
유희관	유희관	NNP	B-PER
과	과	JKB	O
_	_	_	O
호흡	호흡	NNG	O
(	(	SS	O
8	8	SN	B-NOH
이닝	이닝	NNG	I-NOH
_	_	_	O
2	2	SN	B-NOH
실점	실점	NNG	I-NOH
)	)	SS	O
을	을	JKO	O
_	_	_	O
맞추	맞추	VV	O
며	며	EC	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
승리	승리	NNG	O
에	에	JKB	O
_	_	_	O
발판	발판	NNG	O
을	을	JKO	O
_	_	_	O
마련	마련하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김현중 오늘 현역입대…지난 2월 전 여친에게 "군대 가 있는 동안…" 문자 화제
## <김현중:PER> 오늘 현역입대…지난 <2월:DAT> 전 여친에게 "군대 가 있는 동안…" 문자 화제
김현중	김현중	NNP	B-PER
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
현역	현역	NNG	O
입대	입대	NNG	O
…	…	SE	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
전	전	MM	O
_	_	_	O
여	여	NNG	O
친	친	NNG	O
에게	에게	JKB	O
_	_	_	O
"	"	SS	O
군대	군대	NNG	O
_	_	_	O
가	가+아	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
…	…	SE	O
"	"	SS	O
_	_	_	O
문자	문자	NNG	O
_	_	_	O
화제	화제	NNG	O

## 4
## 핵 사찰 시료 분석은 크게 2가지로 나뉜다.
## 핵 사찰 시료 분석은 크게 <2가지:NOH>로 나뉜다.
핵	핵	NNG	O
_	_	_	O
사찰	사찰	NNG	O
_	_	_	O
시료	시료	NNG	O
_	_	_	O
분석	분석	NNG	O
은	은	JX	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
2	2	SN	B-NOH
가지	가지	NNB	I-NOH
로	로	JKB	O
_	_	_	O
나뉜다	나뉘+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 한국에서 가져가던 액정표시장치(LCD)를 광저우(廣州)에 있는 LG디스플레이에서 공급받고, 일본에서 수입해오던 TV 센서 부품을 우시(無錫)의 중·일 합작공장에서 조달하는 식이다.
