## 1
## 즉 채무재조정 합의 후 대우조선이 망하더라도 국민연금의 회사채는 갚아달라는 것이다.
## 즉 채무재조정 합의 후 <대우조선:ORG>이 망하더라도 국민연금의 회사채는 갚아달라는 것이다.
즉	즉	MAG	O
_	_	_	O
채무	채무	NNG	O
재조정	재조정	NNG	O
_	_	_	O
합의	합의	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
대우조선	대우조선	NNP	B-ORG
이	이	JKS	O
_	_	_	O
망하	망하	VV	O
더라도	더라도	EC	O
_	_	_	O
국민	국민	NNG	O
연금	연금	NNG	O
의	의	JKG	O
_	_	_	O
회사채	회사채	NNG	O
는	는	JX	O
_	_	_	O
갚	갚	VV	O
아	아	EC	O
달	달	VX	O
라는	라는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 당시 김상수 나주경찰서 수사과장(59·현 해남경찰서 수사과장)은 “박 양이 숨질 당시 생리를 하고 있었다는 것을 밝혀내 합의하에 성관계를 맺었다는 김 씨의 주장은 설득력을 잃었다”고 밝혔다.
## 당시 <김상수:PER> <나주경찰서:ORG> 수사과장(<59:NOH>·현 <해남경찰서:ORG> 수사과장)은 “<박:PER> 양이 숨질 당시 생리를 하고 있었다는 것을 밝혀내 합의하에 성관계를 맺었다는 <김:PER> 씨의 주장은 설득력을 잃었다”고 밝혔다.
당시	당시	NNG	O
_	_	_	O
김상수	김상수	NNP	B-PER
_	_	_	O
나주	나주	NNP	B-ORG
경찰서	경찰서	NNG	I-ORG
_	_	_	O
수사	수사	NNG	O
과장	과장	NNG	O
(	(	SS	O
59	59	SN	B-NOH
·	·	SP	O
현	현	MM	O
_	_	_	O
해남	해남	NNP	B-ORG
경찰서	경찰서	NNG	I-ORG
_	_	_	O
수사	수사	NNG	O
과장	과장	NNG	O
)	)	SS	O
은	은	JX	O
_	_	_	O
“	“	SS	O
박	박	NNP	B-PER
_	_	_	O
양	양	NNB	O
이	이	JKS	O
_	_	_	O
숨질	숨지+ㄹ	VV+ETM	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
생리	생리	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
밝혀내	밝혀내+어	VV+EC	O
_	_	_	O
합의	합의	NNG	O
하	하	XSN	O
에	에	JKB	O
_	_	_	O
성	성	NNG	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
맺	맺	VV	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
주장	주장	NNG	O
은	은	JX	O
_	_	_	O
설득력	설득력	NNG	O
을	을	JKO	O
_	_	_	O
잃	잃	VV	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 투자자들에게는 제주지역 호텔의 2박 3일 무료숙박권을 증정하고, 전화로 예약한 방문객에게는 백화점상품권을 선물할 예정이다.
## 투자자들에게는 <제주:LOC>지역 호텔의 <2박:NOH> <3일:NOH> 무료숙박권을 증정하고, 전화로 예약한 방문객에게는 백화점상품권을 선물할 예정이다.
투자자	투자자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
제주	제주	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
호텔	호텔	NNG	O
의	의	JKG	O
_	_	_	O
2	2	SN	B-NOH
박	박	NNB	I-NOH
_	_	_	O
3	3	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
무료	무료	NNG	O
숙박	숙박	NNG	O
권	권	XSN	O
을	을	JKO	O
_	_	_	O
증정하	증정하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
전화	전화	NNG	O
로	로	JKB	O
_	_	_	O
예약한	예약하+ㄴ	VV+ETM	O
_	_	_	O
방문객	방문객	NNG	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
백화점	백화점	NNG	O
상품권	상품권	NNG	O
을	을	JKO	O
_	_	_	O
선물할	선물하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 미군의 안전을 보장하기 어렵다고 판단되면 미국의 선택은 두 가지다.
## <미군:ORG>의 안전을 보장하기 어렵다고 판단되면 <미국:ORG>의 선택은 <두 가지:NOH>다.
미군	미군	NNG	B-ORG
의	의	JKG	O
_	_	_	O
안전	안전	NNG	O
을	을	JKO	O
_	_	_	O
보장하	보장하	VV	O
기	기	ETN	O
_	_	_	O
어렵	어렵	VA	O
다고	다고	EC	O
_	_	_	O
판단되	판단되	VV	O
면	면	EC	O
_	_	_	O
