## 1
## 국세청은 6일 최근 공공요금의 인상을 계기로 공산품과 서비스요금이 일제히 오르자 물가안정 차원에서 공정거래위 등 관련기관이 부당인상, 담합인상으로 통보해오면 즉각 세무조사에 나서기로하고 1차로 요금을 올린 대형 목욕탕과 대형 음식점부터 입회조사를 실시하기로 했다.
## 국세청은 <6일:DAT> 최근 공공요금의 인상을 계기로 공산품과 서비스요금이 일제히 오르자 물가안정 차원에서 공정거래위 등 관련기관이 부당인상, 담합인상으로 통보해오면 즉각 세무조사에 나서기로하고 <1차:NOH>로 요금을 올린 대형 목욕탕과 대형 음식점부터 입회조사를 실시하기로 했다.
국세청	국세청	NNG	O
은	은	JX	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
최근	최근	NNG	O
_	_	_	O
공공요금	공공요금	NNG	O
의	의	JKG	O
_	_	_	O
인상	인상	NNG	O
을	을	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
공산품	공산품	NNG	O
과	과	JC	O
_	_	_	O
서비스	서비스	NNG	O
요금	요금	NNG	O
이	이	JKS	O
_	_	_	O
일제히	일제히	MAG	O
_	_	_	O
오르	오르	VV	O
자	자	EC	O
_	_	_	O
물가	물가	NNG	O
안정	안정	NNG	O
_	_	_	O
차원	차원	NNG	O
에서	에서	JKB	O
_	_	_	O
공정	공정	NNG	O
거래	거래	NNG	O
위	위	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
관련	관련	NNG	O
기관	기관	NNG	O
이	이	JKS	O
_	_	_	O
부당	부당	NNG	O
인상	인상	NNG	O
,	,	SP	O
_	_	_	O
담합	담합	NNG	O
인상	인상	NNG	O
으로	으로	JKB	O
_	_	_	O
통보해	통보하+여	VV+EC	O
오	오	VX	O
면	면	EC	O
_	_	_	O
즉각	즉각	MAG	O
_	_	_	O
세무	세무	NNG	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
나	나	NNG	O
서기로	서기로	NNP	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
로	로	JKB	O
_	_	_	O
요금	요금	NNG	O
을	을	JKO	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
목욕탕	목욕탕	NNG	O
과	과	JC	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
음식점	음식점	NNG	O
부터	부터	JX	O
_	_	_	O
입회	입회	NNG	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
실시하	실시하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘위로공단’ 임흥순 감독, 신작 ‘려행’ 15일 공개
## ‘<위로공단:POH>’ <임흥순:PER> 감독, 신작 ‘<려행:POH>’ <15일:DAT> 공개
