## 1
## 공개된 사진 속 서언과 서준은 범상치 않은 의상을 갖추고 있어 시청자들의 눈길을 사로잡는다.
## 공개된 사진 속 <서언:PER>과 <서준:PER>은 범상치 않은 의상을 갖추고 있어 시청자들의 눈길을 사로잡는다.
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
속	속	NNG	O
_	_	_	O
서언	서언	NNG	B-PER
과	과	JC	O
_	_	_	O
서준	서준	NNP	B-PER
은	은	JX	O
_	_	_	O
범상	범상하	VA	O
치	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
의상	의상	NNG	O
을	을	JKO	O
_	_	_	O
갖추	갖추	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
시청자	시청자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
사로잡	사로잡	VV	O
는다	는다	EF	O
.	.	SF	O

## 2
## 5㎞로 넓히면 매원리 등 5개 마을이 더 있다.
## <5㎞:NOH>로 넓히면 <매원리:LOC> 등 <5개:NOH> 마을이 더 있다.
5	5	SN	B-NOH
㎞	㎞	SW	I-NOH
로	로	JKB	O
_	_	_	O
넓히	넓히	VV	O
면	면	EC	O
_	_	_	O
매원리	매원리	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
마을	마을	NNG	O
이	이	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이효석 매원리 이장은 "도로를 끼고 있는 산 정상의 지형을 보면 사드를 배치하기에 적합한 곳이라는 생각이 들어 더 걱정스럽다"고 말했다.
## <이효석:PER> <매원리:LOC> 이장은 "도로를 끼고 있는 산 정상의 지형을 보면 <사드:POH>를 배치하기에 적합한 곳이라는 생각이 들어 더 걱정스럽다"고 말했다.
이효석	이효석	NNP	B-PER
_	_	_	O
매원리	매원리	NNP	B-LOC
_	_	_	O
이장	이장	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
도로	도로	NNG	O
를	를	JKO	O
_	_	_	O
끼	끼	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
산	산	NNG	O
_	_	_	O
정상	정상	NNG	O
의	의	JKG	O
_	_	_	O
지형	지형	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
사드	사드	NNP	B-POH
를	를	JKO	O
_	_	_	O
배치하	배치하	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
적합한	적합하+ㄴ	VA+ETM	O
_	_	_	O
곳	곳	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
생각	생각	NNG	O
이	이	JKS	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
더	더	MAG	O
_	_	_	O
걱정스럽	걱정스럽	VA	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 롯데호텔서울 본관 1층의 ‘더 라운지’와 신관 14층의 ‘살롱 드 떼’에서는 정오부터 오후 5시까지 애프터눈 티 세트를 판매한다.
## <롯데호텔서울:ORG> 본관 <1층:NOH>의 ‘<더 라운지:POH>’와 신관 <14층:NOH>의 ‘<살롱 드 떼:POH>’에서는 정오부터 <오후 5시:TIM>까지 애프터눈 티 세트를 판매한다.
롯데호텔	롯데호텔	NNP	B-ORG
서울	서울	NNP	I-ORG
_	_	_	O
본관	본관	NNG	O
_	_	_	O
1	1	SN	B-NOH
층	층	NNG	I-NOH
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	B-POH
_	_	_	I-POH
라운지	라운지	NNG	I-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
신관	신관	NNG	O
_	_	_	O
14	14	SN	B-NOH
층	층	NNG	I-NOH
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
살롱	살롱	NNG	B-POH
_	_	_	I-POH
드	드	NNP	I-POH
_	_	_	I-POH
떼	떼	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
정오	정오	NNG	O
부터	부터	JX	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
시	시	NNB	I-TIM
까지	까지	JX	O
_	_	_	O
애프터눈	애프터눈	NNG	O
_	_	_	O
티	티	NNG	O
_	_	_	O
세트	세트	NNG	O
를	를	JKO	O
_	_	_	O
판매한다	판매하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 실제로 40년 이상 이어온 오랜 인연의 힘을 무시할 수 없다.
## 실제로 <40년:DAT> 이상 이어온 오랜 인연의 힘을 무시할 수 없다.
실제로	실제로	MAG	O
_	_	_	O
40	40	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이상	이상	NNG	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
인연	인연	NNG	O
의	의	JKG	O
_	_	_	O
힘	힘	NNG	O
을	을	JKO	O
_	_	_	O
무시할	무시하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 지난 8일까지만 해도 달러당 1158.5원이었던 원화가치는 이후 11거래일 중 단 하루를 제외하고 계속 하락했다.
## 지난 <8일:DAT>까지만 해도 달러당 <1158.5원:MNY>이었던 원화가치는 이후 <11:DUR>거래일 중 단 하루를 제외하고 계속 하락했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
달러	달러	NNG	O
당	당	XSN	O
_	_	_	O
1158.5	1158.5	SN	B-MNY
원	원	NNB	I-MNY
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
원화	원화	NNG	O
가치	가치	NNG	O
는	는	JX	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
11	11	SN	B-DUR
거래일	거래일	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
단	단	MM	O
_	_	_	O
하루	하루	NNG	O
를	를	JKO	O
_	_	_	O
제외하	제외하	VV	O
고	고	EC	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
하락	하락하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 3000R 곡률을 적용한 곡선형 디자인 덕분에 눈이 편안했다.
## <3000R:NOH> 곡률을 적용한 곡선형 디자인 덕분에 눈이 편안했다.
3000	3000	SN	B-NOH
R	R	SL	I-NOH
_	_	_	O
곡률	곡률	NNG	O
을	을	JKO	O
_	_	_	O
적용한	적용하+ㄴ	VV+ETM	O
_	_	_	O
곡선형	곡선형	NNG	O
_	_	_	O
디자인	디자인	NNG	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
눈	눈	NNG	O
이	이	JKS	O
_	_	_	O
편안	편안하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 한편 성연이 올해 초 Mnet 프로그램 ‘골든 탬버린’에 방청객으로 참여했다고 주장하는 사진이 온라인에서 화제가 되고 있다.
## 한편 <성연:PER>이 올해 초 <Mnet:ORG> 프로그램 ‘<골든 탬버린:POH>’에 방청객으로 참여했다고 주장하는 사진이 온라인에서 화제가 되고 있다.
한편	한편	MAG	O
_	_	_	O
성연이	성연이	NNP	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
Mnet	Mnet	SL	B-ORG
_	_	_	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
골든	골든	NNG	B-POH
_	_	_	I-POH
탬버린	탬버린	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
방청객	방청객	NNG	O
으로	으로	JKB	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
주장하	주장하	VV	O
는	는	ETM	O
_	_	_	O
사진	사진	NNG	O
이	이	JKS	O
_	_	_	O
온라인	온라인	NNG	O
에서	에서	JKB	O
_	_	_	O
화제	화제	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## tvN 드라마 ‘혼술남녀’ 신입 조연출 고 이한빛 PD 사망사건의 대책위원회가 제작사 CJ E&M에 진심 어린 사과를 요구했다.
## <tvN:ORG> 드라마 ‘<혼술남녀:POH>’ 신입 조연출 고 <이한빛:PER> PD 사망사건의 대책위원회가 제작사 <CJ E&M:ORG>에 진심 어린 사과를 요구했다.
tvN	tvN	SL	B-ORG
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
혼	혼	NNP	B-POH
술	술	NNG	I-POH
남녀	남녀	NNG	I-POH
’	’	SS	O
_	_	_	O
신입	신입	NNG	O
_	_	_	O
조연출	조연출	NNG	O
_	_	_	O
고	고	MM	O
_	_	_	O
이	이	MM	B-PER
한빛	한빛	NNP	I-PER
_	_	_	O
PD	PD	SL	O
_	_	_	O
사망	사망	NNG	O
사건	사건	NNG	O
의	의	JKG	O
_	_	_	O
대책	대책	NNG	O
위원회	위원회	NNG	O
가	가	JKS	O
_	_	_	O
제작사	제작사	NNG	O
_	_	_	O
CJ	CJ	SL	B-ORG
_	_	_	I-ORG
E	E	SL	I-ORG
&	&	SW	I-ORG
M	M	SL	I-ORG
에	에	JKB	O
_	_	_	O
진심	진심	NNG	O
_	_	_	O
어린	어리+ㄴ	VV+ETM	O
_	_	_	O
사과	사과	NNG	O
를	를	JKO	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 황명선 문체부 관광정책실장은 “전국을 10개 권역으로 나눠 지역 특색에 맞는 체험형 관광을 개발할 예정”이라고 말했다.
## <황명선:PER> <문체부:ORG> 관광정책실장은 “전국을 <10개:NOH> 권역으로 나눠 지역 특색에 맞는 체험형 관광을 개발할 예정”이라고 말했다.
황명선	황명선	NNP	B-PER
_	_	_	O
문체부	문체부	NNG	B-ORG
_	_	_	O
관광	관광	NNG	O
정책	정책	NNG	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
전국	전국	NNG	O
을	을	JKO	O
_	_	_	O
10	10	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
권역	권역	NNG	O
으로	으로	JKB	O
_	_	_	O
나눠	나누+어	VV+EC	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
특색	특색	NNG	O
에	에	JKB	O
_	_	_	O
맞	맞	VV	O
는	는	ETM	O
_	_	_	O
체험	체험	NNG	O
형	형	XSN	O
_	_	_	O
관광	관광	NNG	O
을	을	JKO	O
_	_	_	O
개발할	개발하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

