## 1
## 이전 무대에서보다 훨씬 타이트한 랩을 선보인 씨잼은 자신의 랩에 대한 강한 자신감을 내세우며 막강한 존재감을 드러냈다.
## 이전 무대에서보다 훨씬 타이트한 랩을 선보인 <씨잼:PER>은 자신의 랩에 대한 강한 자신감을 내세우며 막강한 존재감을 드러냈다.
이전	이전	NNG	O
_	_	_	O
무대	무대	NNG	O
에서	에서	JKB	O
보다	보다	JKB	O
_	_	_	O
훨씬	훨씬	MAG	O
_	_	_	O
타이트한	타이트하+ㄴ	VA+ETM	O
_	_	_	O
랩	랩	NNG	O
을	을	JKO	O
_	_	_	O
선보인	선보이+ㄴ	VV+ETM	O
_	_	_	O
씨	씨	NNB	B-PER
잼	잼	NNG	I-PER
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
랩	랩	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
자신감	자신감	NNG	O
을	을	JKO	O
_	_	_	O
내세우	내세우	VV	O
며	며	EC	O
_	_	_	O
막강한	막강하+ㄴ	VA+ETM	O
_	_	_	O
존재감	존재감	NNG	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이번에 선보이는 5가지 캐릭터는 히어로 ‘파워-씨(power-c)’, 미대생 ‘에센셜(essential)’, 액션 스포츠 선수 ‘에너지(energy)’, 비즈니스맨 ‘멀티-브이(multi-v)’, 로맨틱 코미디 배우 ‘트리플엑스(xxx)’ 등으로 각기 다른 콘셉트를 반영해 디자인됐다.
## 이번에 선보이는 <5가지:NOH> 캐릭터는 히어로 ‘<파워-씨:PER>(<power-c:PER>)’, 미대생 ‘<에센셜:PER>(<essential:PER>)’, 액션 스포츠 선수 ‘<에너지:PER>(<energy:PER>)’, 비즈니스맨 ‘<멀티-브이:PER>(<multi-v:PER>)’, <로맨틱 코미디:PER> 배우 ‘<트리플엑스:PER>(<xxx:PER>)’ 등으로 각기 다른 콘셉트를 반영해 디자인됐다.
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
5	5	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
캐릭터	캐릭터	NNG	O
는	는	JX	O
_	_	_	O
히어로	히어로	NNG	O
_	_	_	O
‘	‘	SS	O
파워	파워	NNG	B-PER
-	-	SO	I-PER
씨	씨	NNB	I-PER
(	(	SS	O
power	power	SL	B-PER
-	-	SO	I-PER
c	c	SL	I-PER
)	)	SS	O
’	’	SS	O
,	,	SP	O
_	_	_	O
미대	미대	NNG	O
생	생	XSN	O
_	_	_	O
‘	‘	SS	O
에센셜	에센셜	NNG	B-PER
(	(	SS	O
essential	essential	SL	B-PER
)	)	SS	O
’	’	SS	O
,	,	SP	O
