## 1
## 통산 0.311, 566홈런, 1715타점을 기록 중인 LA 에인절스의 1루수 앨버트 푸홀스는 1999년 13라운드 402번으로 세인트루이스 카디널스에 뽑혔다.
## 통산 <0.311:PNT>, <566홈런:NOH>, <1715타점:NOH>을 기록 중인 <LA 에인절스:ORG>의 <1루수:NOH> <앨버트 푸홀스:PER>는 <1999년:DAT> <13라운드:NOH> <402번:NOH>으로 <세인트루이스 카디널스:ORG>에 뽑혔다.
통산	통산	NNG	O
_	_	_	O
0.311	0.311	SN	B-PNT
,	,	SP	O
_	_	_	O
566	566	SN	B-NOH
홈런	홈런	NNG	I-NOH
,	,	SP	O
_	_	_	O
1715	1715	SN	B-NOH
타점	타점	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록	기록	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
LA	LA	SL	B-ORG
_	_	_	I-ORG
에인절스	에인절스	NNP	I-ORG
의	의	JKG	O
_	_	_	O
1	1	SN	B-NOH
루수	루수	NNG	I-NOH
_	_	_	O
앨버트	앨버트	NNP	B-PER
_	_	_	I-PER
푸홀스	푸홀스	NNP	I-PER
는	는	JX	O
_	_	_	O
1999	1999	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
13	13	SN	B-NOH
라운드	라운드	NNG	I-NOH
_	_	_	O
402	402	SN	B-NOH
번	번	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
세인트루이스	세인트루이스	NNP	B-ORG
_	_	_	I-ORG
카디널스	카디널스	NNP	I-ORG
에	에	JKB	O
_	_	_	O
뽑	뽑히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## MBC스포츠플러스 메이저리그 해설위원
## <MBC스포츠플러스:POH> <메이저리그:ORG> 해설위원
MBC	MBC	SL	B-POH
스포츠	스포츠	NNG	I-POH
플러스	플러스	NNG	I-POH
_	_	_	O
메이저리그	메이저리그	NNG	B-ORG
_	_	_	O
해설	해설	NNG	O
위원	위원	NNG	O

## 3
## 카오디오 관련 제품을 생산 수출하는 대성엘텍은 중국·일본·유럽 등 16개국에 수출하는 대성엘텍의 김용식 전무는 “고객 다변화를 해야 하는데 해외에 거점을 갖고 마케팅을 하기가 쉽지 않다”며 “정부가 해외네트워크를 가진 에이전트와 시장 등과의 네트워크를 구축해주면 도움이 될 것”이라고 말했다.
## 카오디오 관련 제품을 생산 수출하는 <대성엘텍:ORG>은 <중국:LOC>·<일본:LOC>·<유럽:LOC> 등 <16개국:NOH>에 수출하는 <대성엘텍:ORG>의 <김용식:PER> 전무는 “고객 다변화를 해야 하는데 해외에 거점을 갖고 마케팅을 하기가 쉽지 않다”며 “정부가 해외네트워크를 가진 에이전트와 시장 등과의 네트워크를 구축해주면 도움이 될 것”이라고 말했다.
카	카	NNG	O
오디오	오디오	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
생산	생산	NNG	O
_	_	_	O
수출하	수출하	VV	O
는	는	ETM	O
_	_	_	O
대성엘텍	대성엘텍	NNP	B-ORG
은	은	JX	O
_	_	_	O
중국	중국	NNP	B-LOC
·	·	SP	O
일본	일본	NNP	B-LOC
·	·	SP	O
유럽	유럽	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
16	16	SN	B-NOH
개국	개국	NNB	I-NOH
에	에	JKB	O
_	_	_	O
수출하	수출하	VV	O
는	는	ETM	O
_	_	_	O
대성엘텍	대성엘텍	NNP	B-ORG
의	의	JKG	O
_	_	_	O
김용식	김용식	NNP	B-PER
_	_	_	O
전무	전무	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
고객	고객	NNG	O
_	_	_	O
다변화	다변화	NNG	O
를	를	JKO	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
_	_	_	O
해외	해외	NNG	O
에	에	JKB	O
_	_	_	O
거점	거점	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
마케팅	마케팅	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
해외	해외	NNG	O
네트워크	네트워크	NNG	O
를	를	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
에이전트	에이전트	NNG	O
와	와	JC	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
등	등	NNB	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
네트워크	네트워크	NNG	O
를	를	JKO	O
_	_	_	O
구축해	구축하+여	VV+EC	O
주	주	VX	O
면	면	EC	O
_	_	_	O
도움	도움	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 사업차 중국 베이징에 머물고 있는 자오 씨는 “믿기지 않는다.
## 사업차 <중국:LOC> <베이징:LOC>에 머물고 있는 <자오:PER> 씨는 “믿기지 않는다.
사업	사업	NNG	O
차	차	XSN	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
베이징	베이징	NNP	B-LOC
에	에	JKB	O
_	_	_	O
머물	머물	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
자오	자오	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
믿기	믿기	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
.	.	SF	O

## 5
## 집자리 근처에서 50여 m 떨어진 레고랜드 사업부지에서는 터파기 공사가 한창이었다.
## 집자리 근처에서 <50여 m:NOH> 떨어진 레고랜드 사업부지에서는 터파기 공사가 한창이었다.
집자리	집자리	NNG	O
_	_	_	O
근처	근처	NNG	O
에서	에서	JKB	O
_	_	_	O
50	50	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
m	m	SL	I-NOH
_	_	_	O
떨어진	떨어지+ㄴ	VV+ETM	O
_	_	_	O
레고	레고	NNG	O
랜드	랜드	NNG	O
_	_	_	O
사업	사업	NNG	O
부지	부지	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
터	터	NNG	O
파	파	VV	O
기	기	ETN	O
_	_	_	O
공사	공사	NNG	O
가	가	JKS	O
_	_	_	O
한창	한창	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이어 김구라는 “도로 통행료 잔액이 부족해서 얼마 전에 바쁜데 은행에 가서 960원을 내고 왔다.
## 이어 <김구라:PER>는 “도로 통행료 잔액이 부족해서 얼마 전에 바쁜데 은행에 가서 <960원:MNY>을 내고 왔다.
이어	이어	MAG	O
_	_	_	O
김구라	김구라	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
도로	도로	NNG	O
_	_	_	O
