## 1
## 스스로를 반성하며 편지까지 썼죠. 이후 일본 경기에서 승리를 거둔 후 다시금 문제훈 선수와 경기를 갖게 되었습니다.
## 스스로를 반성하며 편지까지 썼죠. 이후 <일본:ORG> 경기에서 승리를 거둔 후 다시금 <문제훈:PER> 선수와 경기를 갖게 되었습니다.
스스로	스스로	NNG	O
를	를	JKO	O
_	_	_	O
반성하	반성하	VV	O
며	며	EC	O
_	_	_	O
편지	편지	NNG	O
까지	까지	JX	O
_	_	_	O
썼	+었	+EP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
경기	경기	NNG	O
에서	에서	JKB	O
_	_	_	O
승리	승리	NNG	O
를	를	JKO	O
_	_	_	O
거둔	거두+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
다시금	다시금	MAG	O
_	_	_	O
문제훈	문제훈	NNP	B-PER
_	_	_	O
선수	선수	NNG	O
와	와	JKB	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
갖	갖	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## 나영석 “이서진과 미련없이 헤어지려 했는데…”
## <나영석:PER> “<이서진:PER>과 미련없이 헤어지려 했는데…”
나영석	나영석	NNP	B-PER
_	_	_	O
“	“	SS	O
이서진	이서진	NNP	B-PER
과	과	JC	O
_	_	_	O
미련	미련	NNG	O
없이	없이	MAG	O
_	_	_	O
헤어지	헤어지	VV	O
려	려	EC	O
_	_	_	O
했	+였	+EP	O
는데	는데	EC	O
…	…	SE	O
”	”	SS	O

## 3
## 찰리 쉬렉의 컨디션이 좋지 않은 상황에서 ‘토종 에이스’ 이재학마저 무너지자 NC의 부진은 깊어졌다.
## <찰리 쉬렉:PER>의 컨디션이 좋지 않은 상황에서 ‘토종 에이스’ <이재학:PER>마저 무너지자 <NC:ORG>의 부진은 깊어졌다.
찰리	찰리	NNP	B-PER
_	_	_	I-PER
쉬렉	쉬렉	NNG	I-PER
의	의	JKG	O
_	_	_	O
컨디션	컨디션	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
토종	토종	NNG	O
_	_	_	O
에이스	에이스	NNG	O
’	’	SS	O
_	_	_	O
이재학	이재학	NNP	B-PER
마저	마저	JX	O
_	_	_	O
무너지	무너지	VV	O
자	자	EC	O
_	_	_	O
NC	NC	SL	B-ORG
의	의	JKG	O
_	_	_	O
부진	부진	NNG	O
은	은	JX	O
_	_	_	O
깊어	깊어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이재학은 이를 악물었다.
## <이재학:PER>은 이를 악물었다.
이재학	이재학	NNP	B-PER
은	은	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
악물	악물	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그의 리그 여섯 번째 골이다.
## 그의 리그 <여섯 번째 골:NOH>이다.
그	그	NP	O
의	의	JKG	O
_	_	_	O
리그	리그	NNG	O
_	_	_	O
여섯	여섯	NR	B-NOH
_	_	_	I-NOH
번째	번째	NNB	I-NOH
_	_	_	I-NOH
골	골	NNG	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 이로써 기성용은 지난달 27일 맨체스터 유나이티드(이하 맨유)전에서 5호골을 기록하며 박지성과 함께 시즌 프리미어리그 최다
## 이로써 <기성용:PER>은 지난달 <27일:DAT> <맨체스터 유나이티드:ORG>(이하 <맨유:ORG>)전에서 <5호:NOH>골을 기록하며 <박지성:PER>과 함께 시즌 <프리미어리그:POH> 최다
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
기성용	기성용	NNP	B-PER
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
맨체스터	맨체스터	NNP	B-ORG
_	_	_	I-ORG
유나이티드	유나이티드	NNP	I-ORG
(	(	SS	O
