## 1
## 스티글리츠 교수는 “생산성 높아지면 노동자의 임금이 따라 올라가는 게 당연한 규칙이었는데 (레이거노믹스가 가동된) 1980년대부터 그 연관성이 약해졌다.
## <스티글리츠:PER> 교수는 “생산성 높아지면 노동자의 임금이 따라 올라가는 게 당연한 규칙이었는데 (<레이거노믹스:POH>가 가동된) <1980년대:DUR>부터 그 연관성이 약해졌다.
스티글리츠	스티글리츠	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
생산성	생산성	NNG	O
_	_	_	O
높아지	높아지	VV	O
면	면	EC	O
_	_	_	O
노동자	노동자	NNG	O
의	의	JKG	O
_	_	_	O
임금	임금	NNG	O
이	이	JKS	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
올라가	올라가	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
당연한	당연하+ㄴ	VA+ETM	O
_	_	_	O
규칙	규칙	NNG	O
이	이	VCP	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
(	(	SS	O
레이거노믹스	레이거노믹스	NNG	B-POH
가	가	JKS	O
_	_	_	O
가동된	가동되+ㄴ	VV+ETM	O
)	)	SS	O
_	_	_	O
1980	1980	SN	B-DUR
년대	년대	NNB	I-DUR
부터	부터	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
연관성	연관성	NNG	O
이	이	JKS	O
_	_	_	O
약해	약하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 사실상 김광현 정도만이 홈 개막전의 변수로 등판일이 밀린 케이스였다.
## 사실상 <김광현:PER> 정도만이 홈 개막전의 변수로 등판일이 밀린 케이스였다.
사실상	사실상	NNG	O
_	_	_	O
김광현	김광현	NNP	B-PER
_	_	_	O
정도	정도	NNG	O
만	만	JX	O
이	이	JKS	O
_	_	_	O
홈	홈	NNG	O
_	_	_	O
개막	개막	NNG	O
전	전	XSN	O
의	의	JKG	O
_	_	_	O
변수	변수	NNG	O
로	로	JKB	O
