## 1
## 검찰은 김 회장 부부가 넥슨 자회사를 개인회사로 편입시키는 과정에서 자금 흐름에 현행법 위반 소지가 있는지 조사하고 있다.
## 검찰은 <김:PER> 회장 부부가 <넥슨:ORG> 자회사를 개인회사로 편입시키는 과정에서 자금 흐름에 현행법 위반 소지가 있는지 조사하고 있다.
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
_	_	_	O
부부	부부	NNG	O
가	가	JKS	O
_	_	_	O
넥슨	넥슨	NNP	B-ORG
_	_	_	O
자회사	자회사	NNG	O
를	를	JKO	O
_	_	_	O
개인	개인	NNG	O
회사	회사	NNG	O
로	로	JKB	O
_	_	_	O
편입	편입	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
자금	자금	NNG	O
_	_	_	O
흐름	흐름	NNG	O
에	에	JKB	O
_	_	_	O
현행법	현행법	NNG	O
_	_	_	O
위반	위반	NNG	O
_	_	_	O
소지	소지	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는지	는지	EC	O
_	_	_	O
조사하	조사하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 한데 우리 조정에서는 영종도를 습격한 이양선이 어느 나라에서 뭣때문에 온 배인지도 모르고 있었던 것이다.
## 한데 우리 조정에서는 <영종도:LOC>를 습격한 이양선이 어느 나라에서 뭣때문에 온 배인지도 모르고 있었던 것이다.
한데	한데	MAJ	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
조정	조정	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
영종도	영종도	NNP	B-LOC
를	를	JKO	O
_	_	_	O
습격한	습격하+ㄴ	VV+ETM	O
_	_	_	O
이양선	이양선	NNG	O
이	이	JKS	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
나라	나라	NNG	O
에서	에서	JKB	O
_	_	_	O
뭣	뭣	NP	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
배	배	NNG	O
인지	이+ㄴ지	VCP+EC	O
도	도	JX	O
_	_	_	O
모르	모르	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 그러나 전면 무상급식에 반대하면서도 홍 지사의 추진 방식에는 눈살을 찌푸리는 사람들이 적지 않다.
## 그러나 전면 무상급식에 반대하면서도 <홍:PER> 지사의 추진 방식에는 눈살을 찌푸리는 사람들이 적지 않다.
그러나	그러나	MAJ	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
무상	무상	NNG	O
급식	급식	NNG	O
에	에	JKB	O
_	_	_	O
