## 1
## 현재 홍콩·대만·싱가포르에서 서비스를 하고 있고, 한국과 중국·일본·호주·베트남 등에도 진출을 준비 중이다.
## 현재 <홍콩:ORG>·<대만:ORG>·<싱가포르:ORG>에서 서비스를 하고 있고, <한국:ORG>과 <중국:ORG>·<일본:ORG>·<호주:ORG>·<베트남:ORG> 등에도 진출을 준비 중이다.
현재	현재	MAG	O
_	_	_	O
홍콩	홍콩	NNP	B-ORG
·	·	SP	O
대만	대만	NNP	B-ORG
·	·	SP	O
싱가포르	싱가포르	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
중국	중국	NNP	B-ORG
·	·	SP	O
일본	일본	NNP	B-ORG
·	·	SP	O
호주	호주	NNP	B-ORG
·	·	SP	O
베트남	베트남	NNP	B-ORG
_	_	_	O
등	등	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
진출	진출	NNG	O
을	을	JKO	O
_	_	_	O
준비	준비	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 이와 함께 제주도에 중국 기업이 인수한 호텔 체인이 들어서고 있다.
## 이와 함께 <제주도:LOC>에 <중국:ORG> 기업이 인수한 호텔 체인이 들어서고 있다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
제주도	제주도	NNP	B-LOC
에	에	JKB	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
인수한	인수하+ㄴ	VV+ETM	O
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
체인	체인	NNG	O
이	이	JKS	O
_	_	_	O
들어서	들어서	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 해외에선 이보다 낮은 10마일(약 16㎞/h)을 기준으로 삼기도 한다.
## 해외에선 이보다 낮은 <10마일:NOH>(약 <16㎞/h:NOH>)을 기준으로 삼기도 한다.
해외	해외	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
이	이	NP	O
보다	보다	JKB	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
10	10	SN	B-NOH
마일	마일	NNB	I-NOH
(	(	SS	O
약	약	MM	O
_	_	_	O
16	16	SN	B-NOH
㎞	㎞	SW	I-NOH
/	/	SP	I-NOH
h	h	SL	I-NOH
)	)	SS	O
을	을	JKO	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
삼	삼	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 4
## 셤 소장은 어린 시절이 생각났던지 송 군에게 조언을 했다.
## <셤:PER> 소장은 어린 시절이 생각났던지 <송:PER> 군에게 조언을 했다.
셤	셤	NNG	B-PER
_	_	_	O
소장	소장	NNG	O
은	은	JX	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
시절	시절	NNG	O
이	이	JKS	O
_	_	_	O
생각났	생각나+았	VV+EP	O
던지	던지	EC	O
_	_	_	O
송	송	NNP	B-PER
_	_	_	O
군	군	NNB	O
에게	에게	JKB	O
_	_	_	O
조언	조언	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 유니클로는 세계적인 섬유회사들과 협업했다.
## <유니클로:ORG>는 세계적인 섬유회사들과 협업했다.
유니클로	유니클로	NNP	B-ORG
는	는	JX	O
_	_	_	O
세계적	세계적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
섬유	섬유	NNG	O
회사	회사	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
협업	협업하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 곧바로 류승우가 한 골을 더 터트려 4득점 째를 올리며 피지는 더 이상 밀집 수비를 펼칠 수 없게 됐다.
## 곧바로 <류승우:PER>가 한 골을 더 터트려 <4득점:NOH> 째를 올리며 피지는 더 이상 밀집 수비를 펼칠 수 없게 됐다.
곧바로	곧바로	MAG	O
_	_	_	O
류승우	류승우	NNP	B-PER
가	가	JKS	O
_	_	_	O
한	한	MM	O
_	_	_	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
터트려	터트리+어	VV+EC	O
_	_	_	O
4	4	SN	B-NOH
득점	득점	NNG	I-NOH
_	_	_	O
째	째	XSN	O
를	를	JKO	O
_	_	_	O
올리	올리	VV	O
며	며	EC	O
_	_	_	O
피	피	VV	O
지	지	EC	O
는	는	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
밀집	밀집	NNG	O
_	_	_	O
수비	수비	NNG	O
를	를	JKO	O
_	_	_	O
펼칠	펼치+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## CJ제일제당의 ‘햇반 슈퍼곡물 렌틸콩밥’과 ‘햇반 슈퍼곡물 퀴노아밥’은 슈퍼식품인 렌틸콩과 퀴노아를 넣어 편리함뿐 아니라 건강까지 챙겼다.
## <CJ제일제당:ORG>의 ‘<햇반 슈퍼곡물 렌틸콩밥:POH>’과 ‘<햇반 슈퍼곡물 퀴노아밥:POH>’은 슈퍼식품인 렌틸콩과 퀴노아를 넣어 편리함뿐 아니라 건강까지 챙겼다.
CJ	CJ	SL	B-ORG
제일제당	제일제당	NNP	I-ORG
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
햇반	햇반	NNG	B-POH
_	_	_	I-POH
슈퍼	슈퍼	NNG	I-POH
곡물	곡물	NNG	I-POH
_	_	_	I-POH
렌틸콩밥	렌틸콩밥	NNG	I-POH
’	’	SS	O
과	과	JC	O
_	_	_	O
‘	‘	SS	O
햇반	햇반	NNG	B-POH
_	_	_	I-POH
슈퍼	슈퍼	NNG	I-POH
곡물	곡물	NNG	I-POH
_	_	_	I-POH
퀴노아밥	퀴노아밥	NNG	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
슈퍼	슈퍼	NNG	O
식품	식품	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
렌틸콩	렌틸콩	NNG	O
과	과	JC	O
_	_	_	O
퀴	퀴	NNP	O
노아	노아	NNP	O
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
어	어	EC	O
