## 1
## 역대 마스터스에서 처음 출전한 선수가 우승한 것은 딱 3번뿐이었다.
## 역대 마스터스에서 처음 출전한 선수가 우승한 것은 딱 <3번:NOH>뿐이었다.
역대	역대	NNG	O
_	_	_	O
마스터스	마스터스	NNG	O
에서	에서	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
출전한	출전하+ㄴ	VV+ETM	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
우승한	우승하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
딱	딱	MAG	O
_	_	_	O
3	3	SN	B-NOH
번	번	NNB	I-NOH
뿐	뿐	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 2부의 오프닝은 이승환의 「기다린 날도, 지워진 날도」와 「제리 제리 고 고」.
## <2부:NOH>의 오프닝은 <이승환:PER>의 「<기다린 날도, 지워진 날도:POH>」와 「<제리 제리 고 고:POH>」.
2	2	SN	B-NOH
부	부	NNB	I-NOH
의	의	JKG	O
_	_	_	O
오프닝	오프닝	NNG	O
은	은	JX	O
_	_	_	O
이승환	이승환	NNP	B-PER
의	의	JKG	O
_	_	_	O
「	「	SS	O
기다린	기다리+ㄴ	VV+ETM	B-POH
_	_	_	I-POH
날	날	NNG	I-POH
도	도	JX	I-POH
,	,	SP	I-POH
_	_	_	I-POH
지	지우	VV	I-POH
워	어	EC	I-POH
진	지+ㄴ	VX+ETM	I-POH
_	_	_	I-POH
날	날	NNG	I-POH
도	도	JX	I-POH
」	」	SS	O
와	와	JC	O
_	_	_	O
「	「	SS	O
제리	제리	NNP	B-POH
_	_	_	I-POH
제리	제리	NNP	I-POH
_	_	_	I-POH
고	고	JKQ	I-POH
_	_	_	I-POH
고	고	JKQ	I-POH
」	」	SS	O
.	.	SF	O

## 3
## 2008년 정규시즌 타격왕 김현수(0.357)가 그해 PS에서 20타수1안타(0.050)에 그친 것, 지난해 타율 0.318을 기록했던 최형우(삼성)가 KS에서 21타수2안타(0.095)로 부진했던 것도 그 연장선상에 있다.
## <2008년:DAT> 정규시즌 타격왕 <김현수:PER>(<0.357:PNT>)가 그해 PS에서 <20타수:NOH><1안타:NOH>(<0.050:PNT>)에 그친 것, 지난해 타율 <0.318:PNT>을 기록했던 <최형우:PER>(<삼성:ORG>)가 <KS:ORG>에서 <21타수:NOH><2안타:NOH>(<0.095:PNT>)로 부진했던 것도 그 연장선상에 있다.
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
정규	정규	NNG	O
시즌	시즌	NNG	O
_	_	_	O
타격	타격	NNG	O
왕	왕	XSN	O
_	_	_	O
