## 1
## 견본주택은 서울 삼성동 지하철 9호선 삼성중앙역(5번 출구) 인근에서 이달 11일 문을 연다.
## 견본주택은 <서울:LOC> <삼성동:LOC> 지하철 <9호선:NOH> <삼성중앙역:LOC>(<5번:NOH> 출구) 인근에서 이달 <11일:DAT> 문을 연다.
견본	견본	NNG	O
주택	주택	NNG	O
은	은	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
삼성동	삼성동	NNP	B-LOC
_	_	_	O
지하철	지하철	NNG	O
_	_	_	O
9	9	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
삼성	삼성	NNP	B-LOC
중앙역	중앙역	NNP	I-LOC
(	(	SS	O
5	5	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
출구	출구	NNG	O
)	)	SS	O
_	_	_	O
인근	인근	NNG	O
에서	에서	JKB	O
_	_	_	O
이달	이달	NNG	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 실제 신동주 전 부회장과 누나 신영자 롯데재단 이사장, 육촌 형 신동인 롯데자이언츠 구단주 직무대행은 신동빈 회장이 일본 롯데홀딩스 대표이사에 오른 지난달 15일 서울 롯데호텔에 모여 신동주 전 부회장 체제로 롯데그룹을 재편하자는 데 합의한 것으로 확인됐다.
## 실제 <신동주:PER> 전 부회장과 누나 <신영자:PER> <롯데재단:ORG> 이사장, 육촌 형 <신동인:PER> <롯데자이언츠:ORG> 구단주 직무대행은 <신동빈:PER> 회장이 <일본 롯데홀딩스:ORG> 대표이사에 오른 지난달 <15일:DAT> <서울 롯데호텔:LOC>에 모여 <신동주:PER> 전 부회장 체제로 <롯데그룹:ORG>을 재편하자는 데 합의한 것으로 확인됐다.
실제	실제	NNG	O
_	_	_	O
신동주	신동주	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부회장	부회장	NNG	O
과	과	JC	O
_	_	_	O
누나	누나	NNG	O
_	_	_	O
신영자	신영자	NNP	B-PER
_	_	_	O
롯데	롯데	NNP	B-ORG
재단	재단	NNG	I-ORG
_	_	_	O
이사장	이사장	NNG	O
,	,	SP	O
_	_	_	O
육촌	육촌	NNG	O
_	_	_	O
형	형	NNG	O
_	_	_	O
신동인	신동인	NNP	B-PER
_	_	_	O
롯데	롯데	NNP	B-ORG
자이언츠	자이언츠	NNP	I-ORG
_	_	_	O
구단주	구단주	NNG	O
_	_	_	O
직무	직무	NNG	O
대행	대행	NNG	O
은	은	JX	O
_	_	_	O
신동빈	신동빈	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
이	이	JKS	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	I-ORG
롯데홀딩스	롯데홀딩스	NNP	I-ORG
_	_	_	O
대표이사	대표이사	NNG	O
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
