## 1
## 홍준화 대표는 “플랜넷코리아 초대 대표직을 맡게돼 영광이다”며 “플랫넷코리아를 효율적인 디지털 통합 마케팅 솔루션에 특화된 에이전시로 만들 것”이라고 전했다.
## <홍준화:PER> 대표는 “<플랜넷코리아:ORG> 초대 대표직을 맡게돼 영광이다”며 “<플랫넷코리아:ORG>를 효율적인 디지털 통합 마케팅 솔루션에 특화된 에이전시로 만들 것”이라고 전했다.
홍준화	홍준화	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
플랜	플랜	NNG	B-ORG
넷	넷	NR	I-ORG
코리아	코리아	NNP	I-ORG
_	_	_	O
초대	초대	NNG	O
_	_	_	O
대표	대표	NNG	O
직	직	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
게	게	EC	O
돼	되+어	VV+EC	O
_	_	_	O
영광	영광	NNG	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
플랫	플랫	NNG	B-ORG
넷	넷	NR	I-ORG
코리아	코리아	NNP	I-ORG
를	를	JKO	O
_	_	_	O
효율적	효율적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
디지털	디지털	NNG	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
솔루션	솔루션	NNG	O
에	에	JKB	O
_	_	_	O
특화된	특화되+ㄴ	VV+ETM	O
_	_	_	O
에이전시	에이전시	NNG	O
로	로	JKB	O
_	_	_	O
만들	만들+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 이번 플랜넷코리아 출범으로 서비스플랜그룹은 자사의 ‘하우스 오브 커뮤니케이션(House of Communication)’이라는 비즈니스 콘셉트를 한국에서 강화할 방침이다.
## 한편 이번 <플랜넷코리아:ORG> 출범으로 <서비스플랜그룹:ORG>은 자사의 ‘하우스 오브 커뮤니케이션(House of Communication)’이라는 비즈니스 콘셉트를 <한국:LOC>에서 강화할 방침이다.
한편	한편	MAG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
플랜	플랜	NNG	B-ORG
넷	넷	NR	I-ORG
코리아	코리아	NNP	I-ORG
_	_	_	O
출범	출범	NNG	O
으로	으로	JKB	O
_	_	_	O
서비스	서비스	NNG	B-ORG
플랜	플랜	NNG	I-ORG
그룹	그룹	NNG	I-ORG
은	은	JX	O
_	_	_	O
자사	자사	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
하우스	하우스	NNG	O
_	_	_	O
