## 1
## NHK 등 일 언론은 27일 심야에 이 소식이 전해지자마자 긴급 속보를 전하며 충격에 빠졌다.
## <NHK:POH> 등 <일:ORG> 언론은 <27일:DAT> 심야에 이 소식이 전해지자마자 긴급 속보를 전하며 충격에 빠졌다.
NHK	NHK	SL	B-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
일	일	NNP	B-ORG
_	_	_	O
언론	언론	NNG	O
은	은	JX	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
심야	심야	NNG	O
에	에	JKB	O
_	_	_	O
이	이	MM	O
_	_	_	O
소식	소식	NNG	O
이	이	JKS	O
_	_	_	O
전해	전하+여	VV+EC	O
지	지	VX	O
자마자	자마자	EC	O
_	_	_	O
긴급	긴급	NNG	O
_	_	_	O
속보	속보	NNG	O
를	를	JKO	O
_	_	_	O
전하	전하	VV	O
며	며	EC	O
_	_	_	O
충격	충격	NNG	O
에	에	JKB	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 직구를 이용하면 4~6주 정도 기다려야 하는 게 단점이지만 당장 급한 물건이 아니라서 괜찮다.
## 직구를 이용하면 <4~6주:DUR> 정도 기다려야 하는 게 단점이지만 당장 급한 물건이 아니라서 괜찮다.
직구	직구	NNG	O
를	를	JKO	O
_	_	_	O
이용하	이용하	VV	O
면	면	EC	O
_	_	_	O
4	4	SN	B-DUR
~	~	SO	I-DUR
6	6	SN	I-DUR
주	주	NNB	I-DUR
_	_	_	O
정도	정도	NNG	O
_	_	_	O
기다려야	기다리+어야	VV+EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
단점	단점	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
당장	당장	NNG	O
_	_	_	O
급한	급하+ㄴ	VA+ETM	O
_	_	_	O
물건	물건	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라서	라서	EC	O
_	_	_	O
괜찮	괜찮	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 창업에 뛰어든 그는 2007년 에릭 프리드먼과 함께 샌프란시스코에서 핏빗을 설립했다.
## 창업에 뛰어든 그는 <2007년:DAT> <에릭 프리드먼:PER>과 함께 <샌프란시스코:LOC>에서 <핏빗:ORG>을 설립했다.
창업	창업	NNG	O
에	에	JKB	O
_	_	_	O
뛰어든	뛰어들+ㄴ	VV+ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
에릭	에릭	NNP	B-PER
_	_	_	I-PER
프리드먼	프리드먼	NNP	I-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
샌프란시스코	샌프란시스코	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
핏빗	핏빗	NNG	B-ORG
을	을	JKO	O
_	_	_	O
설립	설립하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이때 은빈의 팔을 잡은 수연은 그대로 은빈에게 입맞춤했다.
## 이때 <은빈:PER>의 팔을 잡은 <수연:PER>은 그대로 <은빈:PER>에게 입맞춤했다.
이때	이때	NNG	O
_	_	_	O
은	은	NNG	B-PER
빈	빈	NNP	I-PER
의	의	JKG	O
_	_	_	O
팔	팔	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
수연	수연	NNP	B-PER
은	은	JX	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
은	은	NNG	B-PER
빈	빈	NNP	I-PER
에게	에게	JKB	O
_	_	_	O
입맞춤	입맞춤하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이후 두 사람은 손을 맞대고 '심쿵 하트' 포즈를 취하며 '꽁냥 케미'를 폭발시키는 가하면 SNS 맞팔(서로 팔로우 신청하는 것)을 하며 한층 가까워진 모습을 보이며 '친해지길 바라' 프로젝트를 훈훈하게 마무리했다.
## 이후 <두 사람:NOH>은 손을 맞대고 '<심쿵 하트:POH>' 포즈를 취하며 '<꽁냥 케미:POH>'를 폭발시키는 가하면 SNS <맞팔:POH>(서로 팔로우 신청하는 것)을 하며 한층 가까워진 모습을 보이며 '<친해지길 바라:POH>' 프로젝트를 훈훈하게 마무리했다.
이후	이후	NNG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
맞대	맞대	VV	O
고	고	EC	O
_	_	_	O
'	'	SS	O
심	심	NNG	B-POH
쿵	쿵	MAG	I-POH
_	_	_	I-POH
하트	하트	NNG	I-POH
'	'	SS	O
_	_	_	O
포즈	포즈	NNG	O
를	를	JKO	O
_	_	_	O
취하	취하	VV	O
며	며	EC	O
_	_	_	O
'	'	SS	O
꽁	꽁	NNG	B-POH
냥	냥	NNB	I-POH
_	_	_	I-POH
케미	케미	NNG	I-POH
'	'	SS	O
를	를	JKO	O
_	_	_	O
폭발	폭발	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
가하	가하	VV	O
면	면	EC	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
맞팔	맞팔	NNG	B-POH
(	(	SS	O
서로	서로	MAG	O
_	_	_	O
팔로우	팔로우	NNG	O
_	_	_	O
신청하	신청하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
며	며	EC	O
_	_	_	O
한층	한층	MAG	O
_	_	_	O
가까	가깝	VA	O
워	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
며	며	EC	O
_	_	_	O
'	'	SS	O
친해	친하+여	VA+EC	B-POH
지	지	VX	I-POH
길	기+ㄹ	ETN+JKO	I-POH
_	_	_	I-POH
바라	바라+아	VV+EF	I-POH
'	'	SS	O
_	_	_	O
프로젝트	프로젝트	NNG	O
를	를	JKO	O
_	_	_	O
훈훈하	훈훈하	VA	O
게	게	EC	O
_	_	_	O
마무리	마무리하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 제작사는 "조성하와 엄효섭은 고교 동창으로 30년 지기이고, 백성현과 이연희는 대학교 동기 등 '화정' 속에 숨겨진 인연들이 많다.
## 제작사는 "<조성하:PER>와 <엄효섭:PER>은 고교 동창으로 <30년:NOH> 지기이고, <백성현:PER>과 <이연희:PER>는 대학교 동기 등 '<화정:POH>' 속에 숨겨진 인연들이 많다.
제작사	제작사	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
조성하	조성하	NNP	B-PER
와	와	JC	O
_	_	_	O
엄효섭	엄효섭	NNP	B-PER
은	은	JX	O
_	_	_	O
고교	고교	NNG	O
_	_	_	O
동창	동창	NNG	O
으로	으로	JKB	O
_	_	_	O
30	30	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
지기	지기	NNG	O
이	이	NNP	O
고	고	JKQ	O
,	,	SP	O
_	_	_	O
백성현	백성현	NNP	B-PER
과	과	JC	O
_	_	_	O
이연희	이연희	NNP	B-PER
는	는	JX	O
_	_	_	O
대학교	대학교	NNG	O
_	_	_	O
동기	동기	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
'	'	SS	O
화정	화정	NNP	B-POH
'	'	SS	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
숨겨	숨기+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
인연	인연	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
