## 1
## 김영삼 전 대통령의 영결식 뒤 고인의 시신은 운구 행렬과 함께 서울 상도동의 사저를 거쳐 국립서울현충원으로 향한다.
## <김영삼:PER> 전 대통령의 영결식 뒤 고인의 시신은 운구 행렬과 함께 <서울:LOC> <상도동:LOC>의 사저를 거쳐 <국립서울현충원:LOC>으로 향한다.
김영삼	김영삼	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
영결식	영결식	NNG	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
고인	고인	NNG	O
의	의	JKG	O
_	_	_	O
시신	시신	NNG	O
은	은	JX	O
_	_	_	O
운구	운구	NNG	O
_	_	_	O
행렬	행렬	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
상도동	상도동	NNP	B-LOC
의	의	JKG	O
_	_	_	O
사저	사저	NNG	O
를	를	JKO	O
_	_	_	O
거쳐	거치+어	VV+EC	O
_	_	_	O
국립서울현충원	국립서울현충원	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
향한다	향하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 개신교의 이삼열교수(숭실대)는 종교계가 통일을 위해 할 수 있는 구체적 과제로 남북한 민간의 화해, 인도적 삶의 회복, 평화교육, 민주적 사회개혁 등을 제시했다.
## <개신교:ORG>의 <이삼열:PER>교수(<숭실대:ORG>)는 종교계가 통일을 위해 할 수 있는 구체적 과제로 <남북한:ORG> 민간의 화해, 인도적 삶의 회복, 평화교육, 민주적 사회개혁 등을 제시했다.
개신교	개신교	NNG	B-ORG
의	의	JKG	O
_	_	_	O
이삼열	이삼열	NNP	B-PER
교수	교수	NNG	O
(	(	SS	O
숭실대	숭실대	NNP	B-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
종교계	종교계	NNG	O
가	가	JKS	O
_	_	_	O
통일	통일	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
구체적	구체적	NNG	O
_	_	_	O
과제	과제	NNG	O
로	로	JKB	O
_	_	_	O
남	남	NNP	B-ORG
북한	북한	NNP	I-ORG
_	_	_	O
민간	민간	NNG	O
의	의	JKG	O
_	_	_	O
화해	화해	NNG	O
,	,	SP	O
_	_	_	O
인도적	인도적	NNG	O
_	_	_	O
삶	삶	NNG	O
의	의	JKG	O
_	_	_	O
회복	회복	NNG	O
,	,	SP	O
_	_	_	O
평화	평화	NNG	O
교육	교육	NNG	O
,	,	SP	O
_	_	_	O
민주적	민주적	NNG	O
_	_	_	O
