## 1
## 수상자들에게 아낌없이 박수를 보낼 수 있도록 잔치 분위기를 제대로 조성하지 못한 한국프로축구연맹의 미숙한 리더십에 대해 우려하는 목소리가 만만치 않았다.
## 수상자들에게 아낌없이 박수를 보낼 수 있도록 잔치 분위기를 제대로 조성하지 못한 <한국프로축구연맹:ORG>의 미숙한 리더십에 대해 우려하는 목소리가 만만치 않았다.
수상자	수상자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
아낌없이	아낌없이	MAG	O
_	_	_	O
박수	박수	NNG	O
를	를	JKO	O
_	_	_	O
보낼	보내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
잔치	잔치	NNG	O
_	_	_	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
조성하	조성하	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
한국프로축구연맹	한국프로축구연맹	NNP	B-ORG
의	의	JKG	O
_	_	_	O
미숙한	미숙하+ㄴ	VA+ETM	O
_	_	_	O
리더십	리더십	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
우려하	우려하	VV	O
는	는	ETM	O
_	_	_	O
목소리	목소리	NNG	O
가	가	JKS	O
_	_	_	O
만만	만만하	VA	O
치	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 1층의 고정 관중석은 없애고 이동식 좌석으로 교체했다.
## <1층:NOH>의 고정 관중석은 없애고 이동식 좌석으로 교체했다.
1	1	SN	B-NOH
층	층	NNG	I-NOH
의	의	JKG	O
_	_	_	O
고정	고정	NNG	O
_	_	_	O
관중석	관중석	NNG	O
은	은	JX	O
_	_	_	O
없애	없애	VV	O
고	고	EC	O
_	_	_	O
이동	이동	NNG	O
식	식	XSN	O
_	_	_	O
좌석	좌석	NNG	O
으로	으로	JKB	O
_	_	_	O
교체	교체하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 동해남부앞바다에서 1.0~3.0m로 높게 일다가 낮아지겠다.
## 동해남부앞바다에서 <1.0:NOH>~<3.0m:NOH>로 높게 일다가 낮아지겠다.
동해	동해	NNP	O
남부	남부	NNG	O
앞바다	앞바다	NNG	O
에서	에서	JKB	O
_	_	_	O
1.0	1.0	SN	B-NOH
~	~	SO	O
3.0	3.0	SN	B-NOH
m	m	SL	I-NOH
로	로	JKB	O
_	_	_	O
높	높	VA	O
게	게	EC	O
_	_	_	O
일	일	VV	O
다가	다가	EC	O
_	_	_	O
낮	낮	VA	O
아	아	EC	O
지	지	VX	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 예상 적설(25일 05시부터 24시까지)로는 제주도산간 : 5~10cm, 전라남도, 울릉도.독도 : 1~5cm, 충남서해안, 전북서해안, 제주도(산간 제외) : 1~3cm로 예측됐다.
## 예상 적설(<25일:DAT> <05시:TIM>부터 <24시:TIM>까지)로는 <제주도:LOC>산간 : <5:NOH>~<10cm:NOH>, <전라남도:LOC>, <울릉도:LOC>.<독도:LOC> : <1:NOH>~<5cm:NOH>, <충남서해안:LOC>, <전북서해안:LOC>, <제주도:LOC>(산간 제외) : <1:NOH>~<3cm:NOH>로 예측됐다.
예상	예상	NNG	O
_	_	_	O
적설	적설	NNG	O
(	(	SS	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
05	05	SN	B-TIM
시	시	NNB	I-TIM
부터	부터	JX	O
_	_	_	O
24	24	SN	B-TIM
시	시	NNB	I-TIM
까지	까지	JX	O
)	)	SS	O
로	로	JKB	O
는	는	JX	O
_	_	_	O
제주도	제주도	NNP	B-LOC
산간	산간	NNG	O
_	_	_	O
:	:	SP	O
_	_	_	O
5	5	SN	B-NOH
~	~	SO	O
10	10	SN	B-NOH
cm	cm	SL	I-NOH
,	,	SP	O
_	_	_	O
전라남도	전라남도	NNP	B-LOC
,	,	SP	O
_	_	_	O
울릉도	울릉도	NNP	B-LOC
.	.	SF	O
독도	독도	NNP	B-LOC
_	_	_	O
:	:	SP	O
_	_	_	O
1	1	SN	B-NOH
~	~	SO	O
5	5	SN	B-NOH
cm	cm	SL	I-NOH
,	,	SP	O
_	_	_	O
충남	충남	NNP	B-LOC
서해안	서해안	NNP	I-LOC
,	,	SP	O
_	_	_	O
전	전	MM	B-LOC
북서	북서	NNG	I-LOC
해안	해안	NNG	I-LOC
,	,	SP	O
_	_	_	O
제주도	제주도	NNP	B-LOC
(	(	SS	O
산간	산간	NNG	O
_	_	_	O
제외	제외	NNG	O
)	)	SS	O
_	_	_	O
:	:	SP	O
_	_	_	O
1	1	SN	B-NOH
~	~	SO	O
3	3	SN	B-NOH
cm	cm	SL	I-NOH
로	로	JKB	O
_	_	_	O
예측	예측되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 한편 제주도에는 난기류(강풍경보 포함)와 대설경보가 이어지며 제주공항 항공기 운항 중단이 이어지고 있다.
## 한편 <제주도:LOC>에는 난기류(강풍경보 포함)와 대설경보가 이어지며 <제주공항:LOC> 항공기 운항 중단이 이어지고 있다.
한편	한편	MAG	O
_	_	_	O
제주도	제주도	NNP	B-LOC
에	에	JKB	O
는	는	JX	O
_	_	_	O
난기류	난기류	NNG	O
(	(	SS	O
강풍	강풍	NNG	O
경보	경보	NNG	O
_	_	_	O
포함	포함	NNG	O
)	)	SS	O
와	와	JKB	O
_	_	_	O
대설	대설	NNG	O
경보	경보	NNG	O
가	가	JKS	O
_	_	_	O
이어지	이어지	VV	O
며	며	EC	O
_	_	_	O
제주공항	제주공항	NNP	B-LOC
_	_	_	O
항공기	항공기	NNG	O
_	_	_	O
운항	운항	NNG	O
_	_	_	O
중단	중단	NNG	O
이	이	JKS	O
_	_	_	O
이어지	이어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 한국공항공사는 24일 제주공항 항공기 운항 중단이 연장되면서 25일 결항편이 60편에서 390여 편으로 늘어나게 됐다고 전했다.
## <한국공항공사:ORG>는 <24일:DAT> <제주공항:LOC> 항공기 운항 중단이 연장되면서 <25일:DAT> 결항편이 <60편:NOH>에서 <390여 편:NOH>으로 늘어나게 됐다고 전했다.
한국공항공사	한국공항공사	NNP	B-ORG
는	는	JX	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
제주	제주	NNP	B-LOC
공항	공항	NNG	I-LOC
_	_	_	O
항공기	항공기	NNG	O
_	_	_	O
운항	운항	NNG	O
_	_	_	O
중단	중단	NNG	O
이	이	JKS	O
_	_	_	O
연장되	연장되	VV	O
면서	면서	EC	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
결항	결항	NNG	O
편	편	NNB	O
이	이	VCP	O
_	_	_	O
60	60	SN	B-NOH
편	편	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
390	390	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
편	편	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘어나	늘어나	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다고	다고	EC	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이에 국토교통부는 제주공항 항공기 운항 통제시간을 25일 오후 8시까지 추가 연장한다고 발표했다.
## 이에 <국토교통부:ORG>는 <제주공항:LOC> 항공기 운항 통제시간을 <25일:DAT> <오후 8시:TIM>까지 추가 연장한다고 발표했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
국토	국토	NNG	B-ORG
교통	교통	NNG	I-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
제주공항	제주공항	NNP	B-LOC
_	_	_	O
항공기	항공기	NNG	O
_	_	_	O
운항	운항	NNG	O
_	_	_	O
통제	통제	NNG	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
8	8	SN	I-TIM
시	시	NNB	I-TIM
까지	까지	JX	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
연장한다고	연장하+ㄴ다고	VV+EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 국토교통부 측은 “안전한 항공기 운항을 위해 운항통제시간을 추가 연장하게 됐다”며 “기상여건이 좋아지는 대로 운항 재개시간을 앞당기겠다”고 밝혔다.
## <국토교통부:ORG> 측은 “안전한 항공기 운항을 위해 운항통제시간을 추가 연장하게 됐다”며 “기상여건이 좋아지는 대로 운항 재개시간을 앞당기겠다”고 밝혔다.
국토	국토	NNG	B-ORG
교통	교통	NNG	I-ORG
부	부	XSN	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
안전한	안전하+ㄴ	VA+ETM	O
_	_	_	O
항공기	항공기	NNG	O
_	_	_	O
운항	운항	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
운항	운항	NNG	O
통제	통제	NNG	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
연장하	연장하	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
기상	기상	NNG	O
여건	여건	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
대로	대로	NNB	O
_	_	_	O
운항	운항	NNG	O
_	_	_	O
재개	재개	NNG	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
앞당기	앞당기	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 대통령과 부통령을 경호하는 백악관 비밀경호국(SS) 로버트 호백 대변인은 18일 CNN과의 인터뷰에서 “사건 당시 자택 안에 있던 경호요원이 총소리를 듣고 밖으로 나갔으나 용의 차량이 매우 빠른 속도로 달아나 검거에 실패했다”고 말했다.
## 대통령과 부통령을 경호하는 <백악관:ORG> 비밀경호국(SS) <로버트 호백:PER> 대변인은 <18일:DAT> <CNN:ORG>과의 인터뷰에서 “사건 당시 자택 안에 있던 경호요원이 총소리를 듣고 밖으로 나갔으나 용의 차량이 매우 빠른 속도로 달아나 검거에 실패했다”고 말했다.
대통령	대통령	NNG	O
과	과	JC	O
_	_	_	O
부통령	부통령	NNG	O
을	을	JKO	O
_	_	_	O
경호하	경호하	VV	O
는	는	ETM	O
_	_	_	O
백악관	백악관	NNP	B-ORG
_	_	_	O
비밀	비밀	NNG	O
경호	경호	NNG	O
국	국	XSN	O
(	(	SS	O
SS	SS	SL	O
)	)	SS	O
_	_	_	O
로버트	로버트	NNP	B-PER
_	_	_	I-PER
호백	호백	NNG	I-PER
_	_	_	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
CNN	CNN	SL	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
사건	사건	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
자택	자택	NNG	O
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
경호	경호	NNG	O
요원	요원	NNG	O
이	이	JKS	O
_	_	_	O
총소리	총소리	NNG	O
를	를	JKO	O
_	_	_	O
듣	듣	VV	O
고	고	EC	O
_	_	_	O
밖	밖	NNG	O
으로	으로	JKB	O
_	_	_	O
나갔	나가+았	VV+EP	O
으나	으나	EC	O
_	_	_	O
용의	용의	NNG	O
_	_	_	O
차량	차량	NNG	O
이	이	JKS	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
속도	속도	NNG	O
로	로	JKB	O
_	_	_	O
달아나	달아나+아	VV+EC	O
_	_	_	O
검거	검거	NNG	O
에	에	JKB	O
_	_	_	O
실패	실패하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 하지만 당의 기반인 호남에서는 아직 특정 후보가 독주를 벌이는 양상은 아니다.
## 하지만 당의 기반인 <호남:LOC>에서는 아직 특정 후보가 독주를 벌이는 양상은 아니다.
하지만	하지만	MAJ	O
_	_	_	O
당	당	NNG	O
의	의	JKG	O
_	_	_	O
기반	기반	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
호남	호남	NNP	B-LOC
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
특정	특정	NNG	O
_	_	_	O
후보	후보	NNG	O
가	가	JKS	O
_	_	_	O
독주	독주	NNG	O
를	를	JKO	O
_	_	_	O
벌이	벌이	VV	O
는	는	ETM	O
_	_	_	O
양상	양상	NNG	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 11
## FIFA 윤리위, 정몽준 명예부회장 조사블래터 최측근 셰이크 살만, 출마 고려블래터 현회장 영향력 유지할 지 주목 공식적으로 차기 국제축구연맹(FIFA) 회장 선거 출마를 선언한 후보들이 줄줄이 위기를 맞고 있다.
## <FIFA 윤리위:ORG>, <정몽준:PER> 명예부회장 조사<블래터:PER> 최측근 <셰이크 살만:PER>, 출마 고려<블래터:PER> 현회장 영향력 유지할 지 주목 공식적으로 차기 <국제축구연맹:ORG>(<FIFA:ORG>) 회장 선거 출마를 선언한 후보들이 줄줄이 위기를 맞고 있다.
FIFA	FIFA	SL	B-ORG
_	_	_	I-ORG
윤리	윤리	NNG	I-ORG
위	위	NNG	I-ORG
,	,	SP	O
_	_	_	O
정몽준	정몽준	NNP	B-PER
_	_	_	O
명예	명예	NNG	O
부회장	부회장	NNG	O
_	_	_	O
조사	조사	NNG	O
블래터	블래터	NNP	B-PER
_	_	_	O
최	최	XPN	O
측근	측근	NNG	O
_	_	_	O
셰이크	셰이크	NNP	B-PER
_	_	_	I-PER
살만	살만	NNP	I-PER
,	,	SP	O
_	_	_	O
출마	출마	NNG	O
_	_	_	O
고려	고려	NNP	O
블래터	블래터	NNP	B-PER
_	_	_	O
현	현	NNP	O
회장	회장	NNG	O
_	_	_	O
영향력	영향력	NNG	O
_	_	_	O
유지할	유지하+ㄹ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
주목	주목	NNG	O
_	_	_	O
공식적	공식적	NNG	O
으로	으로	JKB	O
_	_	_	O
차기	차기	NNG	O
_	_	_	O
국제축구연맹	국제축구연맹	NNP	B-ORG
(	(	SS	O
FIFA	FIFA	SL	B-ORG
)	)	SS	O
_	_	_	O
회장	회장	NNG	O
_	_	_	O
선거	선거	NNG	O
_	_	_	O
출마	출마	NNG	O
를	를	JKO	O
_	_	_	O
선언한	선언하+ㄴ	VV+ETM	O
_	_	_	O
후보	후보	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
줄줄이	줄줄이	MAG	O
_	_	_	O
위기	위기	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
