## 1
## 개통 초기에는 시스템 안정화(승객 안전과는 무관)가 필요하다고 보고 우선 오전 9시부터 오후 6시까지 15분마다 운행하며, 안정화가 일정 수준에 도달했다고 판단되면 운행을 확대할 계획이다.
## 개통 초기에는 시스템 안정화(승객 안전과는 무관)가 필요하다고 보고 우선 <오전 9시부터 오후 6시:DUR>까지 <15분:NOH>마다 운행하며, 안정화가 일정 수준에 도달했다고 판단되면 운행을 확대할 계획이다.
개통	개통	NNG	O
_	_	_	O
초기	초기	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
시스템	시스템	NNG	O
_	_	_	O
안정화	안정화	NNG	O
(	(	SS	O
승객	승객	NNG	O
_	_	_	O
안전	안전	NNG	O
과	과	JKB	O
는	는	JX	O
_	_	_	O
무관	무관	NNG	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
필요하	필요하	VA	O
다고	다고	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
우선	우선	MAG	O
_	_	_	O
오전	오전	NNG	B-DUR
_	_	_	I-DUR
9	9	SN	I-DUR
시	시	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
오후	오후	NNG	I-DUR
_	_	_	I-DUR
6	6	SN	I-DUR
시	시	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
15	15	SN	B-NOH
분	분	NNB	I-NOH
마다	마다	JX	O
_	_	_	O
운행하	운행하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
안정화	안정화	NNG	O
가	가	JKS	O
_	_	_	O
일정	일정	NNG	O
_	_	_	O
수준	수준	NNG	O
에	에	JKB	O
_	_	_	O
도달	도달하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
판단되	판단되	VV	O
면	면	EC	O
_	_	_	O
운행	운행	NNG	O
을	을	JKO	O
_	_	_	O
확대할	확대하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 미국 여성과 결혼하면서 사무라이, 부시도에 대한 궁금증이 많다는 점을 알게 된다.
## <미국:ORG> 여성과 결혼하면서 사무라이, 부시도에 대한 궁금증이 많다는 점을 알게 된다.
미국	미국	NNP	B-ORG
_	_	_	O
여성	여성	NNG	O
과	과	JKB	O
_	_	_	O
결혼하	결혼하	VV	O
면서	면서	EC	O
_	_	_	O
사무라이	사무라이	NNG	O
,	,	SP	O
_	_	_	O
