## 1
## 메이저리그 텍사스 추신수의 타율이 연일 곤두박질치고 있다.
## <메이저리그:POH> <텍사스:ORG> <추신수:PER>의 타율이 연일 곤두박질치고 있다.
메이저리그	메이저리그	NNG	B-POH
_	_	_	O
텍사스	텍사스	NNP	B-ORG
_	_	_	O
추신수	추신수	NNP	B-PER
의	의	JKG	O
_	_	_	O
타율	타율	NNG	O
이	이	JKS	O
_	_	_	O
연일	연일	NNG	O
_	_	_	O
곤두박질치	곤두박질치	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 경기 하남시 미사지구 아파트를 분양받아 내년 2월 입주를 앞둔 이모 씨(41)는 “지금 사는 서울 광진구의 20년 된 79m² 아파트를 팔아 미사지구 129m²짜리 새 아파트로 입주한다”며 “지역이 신도시라 환경이 좋고 애들 학군도 지금보다 낫다”고 했다.
## <경기:LOC> <하남시:LOC> <미사지구:LOC> 아파트를 분양받아 내년 <2월:DAT> 입주를 앞둔 <이모:PER> 씨(<41:NOH>)는 “지금 사는 <서울 광진구:LOC>의 <20년:NOH> 된 <79m²:NOH> 아파트를 팔아 <미사지구:LOC> <129m²:NOH>짜리 새 아파트로 입주한다”며 “지역이 신도시라 환경이 좋고 애들 학군도 지금보다 낫다”고 했다.
경기	경기	NNP	B-LOC
_	_	_	O
하남시	하남시	NNP	B-LOC
_	_	_	O
미사	미사	NNP	B-LOC
지구	지구	NNG	I-LOC
_	_	_	O
아파트	아파트	NNG	O
를	를	JKO	O
_	_	_	O
분양	분양	NNG	O
받	받	VV	O
아	아	EC	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
입주	입주	NNG	O
를	를	JKO	O
_	_	_	O
앞둔	앞두+ㄴ	VV+ETM	O
_	_	_	O
이	이	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
41	41	SN	B-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
“	“	SS	O
지금	지금	MAG	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
광진구	광진구	NNP	I-LOC
의	의	JKG	O
_	_	_	O
20	20	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
79	79	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
_	_	_	O
아파트	아파트	NNG	O
를	를	JKO	O
_	_	_	O
팔	팔	VV	O
아	아	EC	O
_	_	_	O
미사	미사	NNP	B-LOC
지구	지구	NNG	I-LOC
_	_	_	O
129	129	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
짜리	짜리	XSN	O
_	_	_	O
새	새	MM	O
_	_	_	O
아파트	아파트	NNG	O
로	로	JKB	O
_	_	_	O
입주한다	입주하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
지역	지역	NNG	O
이	이	JKS	O
_	_	_	O
신도시	신도시+이	NNG+VCP	O
라	라	EC	O
_	_	_	O
환경	환경	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
고	고	EC	O
_	_	_	O
애	애	NNG	O
들	들	XSN	O
_	_	_	O
학군	학군	NNG	O
도	도	JX	O
_	_	_	O
지금	지금	NNG	O
보다	보다	JKB	O
_	_	_	O
낫	낫	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘헌법대로 비준동의를 받으라’고 했다”며 “정부는 국민과 함께 배치 여부를 결정하고 중국의 경제 보복 문제도 외교적으로 해결해 나가야 한다”고 강조했다.
## ‘헌법대로 비준동의를 받으라’고 했다”며 “정부는 국민과 함께 배치 여부를 결정하고 <중국:ORG>의 경제 보복 문제도 외교적으로 해결해 나가야 한다”고 강조했다.
‘	‘	SS	O
헌법	헌법	NNG	O
대로	대로	JX	O
_	_	_	O
비준	비준	NNG	O
동의	동의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
으라	으라	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
국민	국민	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
배치	배치	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
결정하	결정하	VV	O
고	고	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
보복	보복	NNG	O
_	_	_	O
문제	문제	NNG	O
도	도	JX	O
_	_	_	O
외교적	외교적	NNG	O
으로	으로	JKB	O
_	_	_	O
해결해	해결하+여	VV+EC	O
_	_	_	O
나가야	나가+아야	VX+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 청포도 가격도 한국이 미국(4069원)의 약 2배인 7009원으로 1위다.
## 청포도 가격도 <한국:ORG>이 <미국:ORG>(<4069원:MNY>)의 약 <2배:PNT>인 <7009원:MNY>으로 <1위:NOH>다.
