## 1
## 한전 입찰 전산시스템 10년간 구멍
## <한전:ORG> 입찰 전산시스템 <10년간:DUR> 구멍
한전	한전	NNP	B-ORG
_	_	_	O
입찰	입찰	NNG	O
_	_	_	O
전산	전산	NNG	O
시스템	시스템	NNG	O
_	_	_	O
10	10	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
구멍	구멍	NNG	O

## 2
## 이 대학에선 매 학기 시작 전 교수들이 모여 강의 계획을 함께 점검하고 학생들의 수업 몰입도를 높일 수 있도록 교습법을 배우며, 학생 열 명 중 아홉(90.5%)은 지난 학기에 교수와 수업 내용·과제를 상담한 경험이 있다고 한다.
## 이 대학에선 매 학기 시작 전 교수들이 모여 강의 계획을 함께 점검하고 학생들의 수업 몰입도를 높일 수 있도록 교습법을 배우며, 학생 <열 명:NOH> 중 <아홉:NOH>(<90.5%:PNT>)은 지난 학기에 교수와 수업 내용·과제를 상담한 경험이 있다고 한다.
이	이	MM	O
_	_	_	O
대학	대학	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
매	매	MM	O
_	_	_	O
학기	학기	NNG	O
_	_	_	O
시작	시작	NNG	O
_	_	_	O
전	전	MM	O
_	_	_	O
교수	교수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
모	모이	VV	O
여	어	EC	O
_	_	_	O
강의	강의	NNG	O
_	_	_	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
점검하	점검하	VV	O
고	고	EC	O
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
수업	수업	NNG	O
_	_	_	O
몰입	몰입	NNG	O
도	도	NNG	O
를	를	JKO	O
_	_	_	O
높일	높이+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
교습	교습	NNG	O
법	법	NNG	O
을	을	JKO	O
_	_	_	O
배우	배우	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
열	열	NR	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
아홉	아홉	NR	B-NOH
(	(	SS	O
90.5	90.5	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
학기	학기	NNG	O
에	에	JKB	O
_	_	_	O
교수	교수	NNG	O
와	와	JC	O
_	_	_	O
수업	수업	NNG	O
_	_	_	O
내용	내용	NNG	O
·	·	SP	O
과제	과제	NNG	O
를	를	JKO	O
_	_	_	O
상담한	상담하+ㄴ	VV+ETM	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 기가 인터넷, 출시 9개월 만에 50만명 가입
## 기가 인터넷, 출시 <9개월:NOH> 만에 <50만명:NOH> 가입
기	기	NNG	O
가	가	JKS	O
_	_	_	O
인터넷	인터넷	NNG	O
,	,	SP	O
_	_	_	O
출시	출시	NNG	O
_	_	_	O
9	9	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
50	50	SN	B-NOH
만	만	NR	I-NOH
명	명	NNB	I-NOH
_	_	_	O
가입	가입	NNG	O

## 4
## 또 2002년 용만 회장 취임 당시부터 다음은 정원 회장이라는 것이 공공연해졌던 터라 그룹 내부에서도 별다른 동요는 없다.
## 또 <2002년:DAT> <용만:PER> 회장 취임 당시부터 <다음:ORG>은 <정원:PER> 회장이라는 것이 공공연해졌던 터라 그룹 내부에서도 별다른 동요는 없다.
또	또	MAG	O
_	_	_	O
2002	2002	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
용만	용만	NNG	B-PER
_	_	_	O
회장	회장	NNG	O
_	_	_	O
취임	취임	NNG	O
_	_	_	O
당시	당시	NNG	O
부터	부터	JX	O
_	_	_	O
다음	다음	NNG	B-ORG
은	은	JX	O
_	_	_	O
정원	정원	NNG	B-PER
_	_	_	O
회장	회장	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
공공연해	공공연하	VA	O
졌	여+지+었	EC+VX+EP	O
던	던	ETM	O
_	_	_	O
터	터+이	NNB+VCP	O
라	라	EC	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
내부	내부	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
별다른	별다르+ㄴ	VA+ETM	O
_	_	_	O
동요	동요	NNG	O
는	는	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 2010년 원심분리기 공개 이후 우라늄 농축이 지속되고 있고, 최근엔 영변 핵시설이 재가동되면서 플루토늄 추출도 가능해졌다.
## <2010년:DAT> 원심분리기 공개 이후 우라늄 농축이 지속되고 있고, 최근엔 <영변:LOC> 핵시설이 재가동되면서 플루토늄 추출도 가능해졌다.
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
원심	원심	NNG	O
분리기	분리기	NNG	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
우라늄	우라늄	NNG	O
_	_	_	O
농축	농축	NNG	O
이	이	JKS	O
_	_	_	O
지속되	지속되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
최근	최근	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
영변	영변	NNP	B-LOC
_	_	_	O
핵	핵	NNG	O
시설	시설	NNG	O
이	이	JKS	O
_	_	_	O
재가동	재가동	NNG	O
되	되	XSV	O
면서	면서	EC	O
_	_	_	O
플루토늄	플루토늄	NNG	O
_	_	_	O
추출	추출	NNG	O
도	도	JX	O
_	_	_	O
가능해	가능하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 불면증에 시달렸던 마켈은 결국 개인사까지 겹치면서 1경기도 뛰지 못한 채 한국을 떠났다.
## 불면증에 시달렸던 <마켈:PER>은 결국 개인사까지 겹치면서 <1경기:NOH>도 뛰지 못한 채 <한국:LOC>을 떠났다.
불면증	불면증	NNG	O
에	에	JKB	O
_	_	_	O
시달	시달리	VV	O
렸	었	EP	O
던	던	ETM	O
_	_	_	O
마켈	마켈	NNG	B-PER
은	은	JX	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
개인	개인	NNG	O
사	사	XSN	O
까지	까지	JX	O
_	_	_	O
겹치	겹치	VV	O
면서	면서	EC	O
_	_	_	O
1	1	SN	B-NOH
경기도	경기도	NNP	O
_	_	_	O
뛰	뛰	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
한국	한국	NNP	B-LOC
을	을	JKO	O
_	_	_	O
떠났	떠나+았	VV+EP	O
