## 1
## 인천시는 최근 김정은 북한 국방위원회 제1위원장이 신년사에서 남북 관계 개선을 강조한 만큼 친선경기 성사 가능성을 높게 보고 있다.
## <인천시:ORG>는 최근 <김정은:PER> <북한 국방위원회:ORG> <제1:NOH>위원장이 신년사에서 <남북:ORG> 관계 개선을 강조한 만큼 친선경기 성사 가능성을 높게 보고 있다.
인천시	인천시	NNP	B-ORG
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
김정은	김정은	NNP	B-PER
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	I-ORG
국방위원회	국방위원회	NNG	I-ORG
_	_	_	O
제	제	XPN	B-NOH
1	1	SN	I-NOH
위원장	위원장	NNG	O
이	이	JKS	O
_	_	_	O
신년사	신년사	NNG	O
에서	에서	JKB	O
_	_	_	O
남북	남북	NNP	B-ORG
_	_	_	O
관계	관계	NNG	O
_	_	_	O
개선	개선	NNG	O
을	을	JKO	O
_	_	_	O
강조한	강조하+ㄴ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
친선	친선	NNG	O
경기	경기	NNG	O
_	_	_	O
성사	성사	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
높	높	VA	O
게	게	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 1990년 명량대첩을 기념하는 기념공원이 조성되면서 국민 관광지가 됐고 1992년 전남도 기념물 제139호로 지정됐다.
## <1990년:DAT> <명량대첩:POH>을 기념하는 기념공원이 조성되면서 국민 관광지가 됐고 <1992년:DAT> <전남도 기념물:POH> <제139호:NOH>로 지정됐다.
1990	1990	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
명량	명량	NNG	B-POH
대첩	대첩	NNG	I-POH
을	을	JKO	O
_	_	_	O
기념하	기념하	VV	O
는	는	ETM	O
_	_	_	O
기념	기념	NNG	O
공원	공원	NNG	O
이	이	JKS	O
_	_	_	O
조성되	조성되	VV	O
면서	면서	EC	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
관광지	관광지	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
고	고	EC	O
_	_	_	O
1992	1992	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
전남	전남	NNP	B-POH
도	도	NNG	I-POH
_	_	_	I-POH
기념물	기념물	NNG	I-POH
_	_	_	O
제	제	XPN	B-NOH
139	139	SN	I-NOH
호	호	NNB	I-NOH
로	로	JKB	O
_	_	_	O
지정	지정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 고궁 앞에서 포즈를 취하며 사진을 찍는 이들 10명 중 7, 8명은 한복 차림. 갓이나 댕기까지 갖춰 전통한복을 차려 입은 사람도 많았지만 짧은 치마나 긴 저고리, 레이스를 활용한 것 등 독특한 한복을 입은 이들도 눈에 띄었다.
## 고궁 앞에서 포즈를 취하며 사진을 찍는 이들 <10명:NOH> 중 <7:NOH>, <8명:NOH>은 한복 차림. 갓이나 댕기까지 갖춰 전통한복을 차려 입은 사람도 많았지만 짧은 치마나 긴 저고리, 레이스를 활용한 것 등 독특한 한복을 입은 이들도 눈에 띄었다.
고궁	고궁	NNG	O
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
_	_	_	O
포즈	포즈	NNG	O
를	를	JKO	O
_	_	_	O
취하	취하	VV	O
