## 1
## 삼성은 kt 누르고 연패 탈출
## <삼성:ORG>은 <kt:ORG> 누르고 연패 탈출
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
kt	kt	SL	B-ORG
_	_	_	O
누르	누르	VV	O
고	고	EC	O
_	_	_	O
연패	연패	NNG	O
_	_	_	O
탈출	탈출	NNG	O

## 2
## 미국의 젊은 인터넷사업가 일론 머스크가 2002년 창업한 신생 기업으로, 로켓 재활용과 무인우주화물선 같은 신개념 우주서비스를 시도해 주목받고 있다.
## <미국:ORG>의 젊은 인터넷사업가 <일론 머스크:PER>가 <2002년:DAT> 창업한 신생 기업으로, 로켓 재활용과 무인우주화물선 같은 신개념 우주서비스를 시도해 주목받고 있다.
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
인터넷	인터넷	NNG	O
사업가	사업가	NNG	O
_	_	_	O
일론	일론	NNP	B-PER
_	_	_	I-PER
머스크	머스크	NNP	I-PER
가	가	JKS	O
_	_	_	O
2002	2002	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
창업한	창업하+ㄴ	VV+ETM	O
_	_	_	O
신생	신생	NNG	O
_	_	_	O
기업	기업	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
로켓	로켓	NNG	O
_	_	_	O
재활용	재활용	NNG	O
과	과	JC	O
_	_	_	O
무인	무인	NNG	O
우주	우주	NNG	O
화물선	화물선	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
신	신	XPN	O
개념	개념	NNG	O
_	_	_	O
우주	우주	NNG	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
시도해	시도하+여	VV+EC	O
_	_	_	O
주목	주목	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 중국서 이같은 벤처캐피털은 전망 있는 기업에 투자해 창업을 촉진하는 취지에서 긍정적인 투자로 인식되고 있다.
## <중국:ORG>서 이같은 벤처캐피털은 전망 있는 기업에 투자해 창업을 촉진하는 취지에서 긍정적인 투자로 인식되고 있다.
중국	중국	NNP	B-ORG
서	서	JKB	O
_	_	_	O
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
벤처	벤처	NNG	O
캐피털	캐피털	NNG	O
은	은	JX	O
_	_	_	O
전망	전망	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
기업	기업	NNG	O
에	에	JKB	O
_	_	_	O
투자해	투자하+여	VV+EC	O
_	_	_	O
창업	창업	NNG	O
을	을	JKO	O
_	_	_	O
촉진하	촉진하	VV	O
는	는	ETM	O
_	_	_	O
취지	취지	NNG	O
에서	에서	JKB	O
_	_	_	O
긍정적	긍정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
