## 1
## 2017년 개통하는 성남∼장호원 자동차전용도로 태전 나들목을 통해 서울 강남까지 30분대에 닿을 수 있다.
## <2017년:DAT> 개통하는 <성남:LOC>∼<장호원:LOC> 자동차전용도로 태전 나들목을 통해 <서울 강남:LOC>까지 <30분:TIM>대에 닿을 수 있다.
2017	2017	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
개통하	개통하	VV	O
는	는	ETM	O
_	_	_	O
성남	성남	NNP	B-LOC
∼	∼	SO	O
장호원	장호원	NNP	B-LOC
_	_	_	O
자동차전용도로	자동차전용도로	NNG	O
_	_	_	O
태전	태전	NNP	O
_	_	_	O
나들목	나들목	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
강남	강남	NNP	I-LOC
까지	까지	JX	O
_	_	_	O
30	30	SN	B-TIM
분	분	NNB	I-TIM
대	대	XSN	O
에	에	JKB	O
_	_	_	O
닿	닿	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 독일 만하임 음대 대학원으로 유학을 떠났다.
## <독일 만하임 음대 대학원:ORG>으로 유학을 떠났다.
독일	독일	NNP	B-ORG
_	_	_	I-ORG
만하임	만하임	NNP	I-ORG
_	_	_	I-ORG
음대	음대	NNG	I-ORG
_	_	_	I-ORG
대학원	대학원	NNG	I-ORG
으로	으로	JKB	O
_	_	_	O
유학	유학	NNG	O
을	을	JKO	O
_	_	_	O
떠났	떠나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 우리은행, 3연승으로 ‘통합 5연패’ 달성
## <우리은행:ORG>, <3연승:NOH>으로 ‘통합 <5연패:NOH>’ 달성
우리은행	우리은행	NNP	B-ORG
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
연승	연승	NNG	I-NOH
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
통합	통합	NNG	O
_	_	_	O
5	5	SN	B-NOH
연패	연패	NNG	I-NOH
’	’	SS	O
_	_	_	O
달성	달성	NNG	O

## 4
## 재판부는 ＂A 씨는 B 씨의 부정행위 및 폭언 등을 이유로 이혼을 요구하고 있지만 B 씨는 이혼을 원치 않는다는 입장만 밝힌 채 관계개선 노력을 기울이지 않고 있다＂고 지적했다.
## 재판부는 ＂<A:PER> 씨는 <B:PER> 씨의 부정행위 및 폭언 등을 이유로 이혼을 요구하고 있지만 <B:PER> 씨는 이혼을 원치 않는다는 입장만 밝힌 채 관계개선 노력을 기울이지 않고 있다＂고 지적했다.
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
＂	＂	SS	O
A	A	SL	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
B	B	SL	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
부정	부정	NNG	O
행위	행위	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
폭언	폭언	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
이혼	이혼	NNG	O
을	을	JKO	O
_	_	_	O
요구하	요구하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
지만	지만	EC	O
_	_	_	O
B	B	SL	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
이혼	이혼	NNG	O
을	을	JKO	O
_	_	_	O
원	원하	VV	O
치	지	EC	O
_	_	_	O
않	않	VX	O
는다는	는다는	ETM	O
_	_	_	O
입장	입장	NNG	O
만	만	JX	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
관계	관계	NNG	O
개선	개선	NNG	O
