## 1
## 알파고를 탄생시킨 딥러닝 방법의 시발점인 신경망 이론은 1943년에 신경생리학자와 수리학자가 제시했지만, 이는 수리논리학적으로 신경계를 설명하려는 노력이었다.
## <알파고:POH>를 탄생시킨 딥러닝 방법의 시발점인 신경망 이론은 <1943년:DAT>에 신경생리학자와 수리학자가 제시했지만, 이는 수리논리학적으로 신경계를 설명하려는 노력이었다.
알	알	NNP	B-POH
파고	파고	NNG	I-POH
를	를	JKO	O
_	_	_	O
탄생	탄생	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
딥	딥	NNG	O
러닝	러닝	NNG	O
_	_	_	O
방법	방법	NNG	O
의	의	JKG	O
_	_	_	O
시발점	시발점	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
신경망	신경망	NNG	O
_	_	_	O
이론	이론	NNG	O
은	은	JX	O
_	_	_	O
1943	1943	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
신경	신경	NNG	O
생리학자	생리학자	NNG	O
와	와	JC	O
_	_	_	O
수리학	수리학	NNG	O
자	자	XSN	O
가	가	JKS	O
_	_	_	O
제시	제시하	VV	O
했	였	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
이	이	NP	O
는	는	JX	O
_	_	_	O
수리	수리	NNG	O
논리학	논리학	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
신경계	신경계	NNG	O
를	를	JKO	O
_	_	_	O
설명하	설명하	VV	O
려는	려는	ETM	O
_	_	_	O
노력	노력	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 플랜은 CCCD 달성을 위해 ▲교육사업(양질의 교육을 받을 기회·환경 조성) ▲보건의료사업(건강하게 성장할 수 있도록 보건지식 향상 및 지역 보건의료체제 정비) ▲환경개선사업(건강한 생활을 위한 청결한 환경 조성) ▲문화교류사업(어린이 권리를 지키기 위한 상호간의 이해·협력체계 구축) ▲긴급구호(자연재해시 구조 및 구호활동과 향후 재건활동) 등 생계유지사업(각 가정의 경제상황 개선) ▲빈곤퇴치사업 등 폭넓은 활동을 벌이고 있다.
## <플랜:ORG>은 CCCD 달성을 위해 ▲교육사업(양질의 교육을 받을 기회·환경 조성) ▲보건의료사업(건강하게 성장할 수 있도록 보건지식 향상 및 지역 보건의료체제 정비) ▲환경개선사업(건강한 생활을 위한 청결한 환경 조성) ▲문화교류사업(어린이 권리를 지키기 위한 상호간의 이해·협력체계 구축) ▲긴급구호(자연재해시 구조 및 구호활동과 향후 재건활동) 등 생계유지사업(각 가정의 경제상황 개선) ▲빈곤퇴치사업 등 폭넓은 활동을 벌이고 있다.
플랜	플랜	NNG	B-ORG
은	은	JX	O
_	_	_	O
CCCD	CCCD	SL	O
_	_	_	O
달성	달성	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
▲	▲	SW	O
교육	교육	NNG	O
사업	사업	NNG	O
(	(	SS	O
양질	양질	NNG	O
의	의	JKG	O
_	_	_	O
교육	교육	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
기회	기회	NNG	O
·	·	SP	O
환경	환경	NNG	O
_	_	_	O
조성	조성	NNG	O
)	)	SS	O
_	_	_	O
▲	▲	SW	O
보건	보건	NNG	O
의료	의료	NNG	O
사업	사업	NNG	O
(	(	SS	O
건강하	건강하	VA	O
게	게	EC	O
_	_	_	O
성장할	성장하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
보건	보건	NNG	O
지식	지식	NNG	O
_	_	_	O
향상	향상	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
보건	보건	NNG	O
의료	의료	NNG	O
체제	체제	NNG	O
_	_	_	O
정비	정비	NNG	O
)	)	SS	O
_	_	_	O
▲	▲	SW	O
환경	환경	NNG	O
개선	개선	NNG	O
사업	사업	NNG	O
(	(	SS	O
건강한	건강하+ㄴ	VA+ETM	O
_	_	_	O
생활	생활	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
청결한	청결하+ㄴ	VA+ETM	O
_	_	_	O
환경	환경	NNG	O
_	_	_	O
조성	조성	NNG	O
)	)	SS	O
_	_	_	O
