## 1
## 동원그룹이 1969년 창립 이후 처음으로 지속가능경영보고서를 펴냈다.
## <동원그룹:ORG>이 <1969년:DAT> 창립 이후 처음으로 지속가능경영보고서를 펴냈다.
동원	동원	NNG	B-ORG
그룹	그룹	NNG	I-ORG
이	이	JKS	O
_	_	_	O
1969	1969	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
창립	창립	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
지속	지속	NNG	O
가능	가능	NNG	O
경영	경영	NNG	O
보고서	보고서	NNG	O
를	를	JKO	O
_	_	_	O
펴냈	펴내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 2월 MBC ‘인기가요 베스트 50’에서 손가락 욕과 카메라를 향해 침을 뱉는 행위로 지상파 방송 1년간 출연 정지 등 중징계를 받기도 했다.
## <2월:DAT> <MBC:POH> ‘<인기가요 베스트 50:POH>’에서 손가락 욕과 카메라를 향해 침을 뱉는 행위로 지상파 방송 <1년간:DUR> 출연 정지 등 중징계를 받기도 했다.
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
MBC	MBC	SL	B-POH
_	_	_	O
‘	‘	SS	O
인기	인기	NNG	B-POH
가요	가요	NNG	I-POH
_	_	_	I-POH
베스트	베스트	NNG	I-POH
_	_	_	I-POH
50	50	SN	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
손가락	손가락	NNG	O
_	_	_	O
욕	욕	NNG	O
과	과	JC	O
_	_	_	O
카메라	카메라	NNG	O
를	를	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
침	침	NNG	O
을	을	JKO	O
_	_	_	O
뱉	뱉	VV	O
는	는	ETM	O
_	_	_	O
행위	행위	NNG	O
로	로	JKB	O
_	_	_	O
지상파	지상파	NNG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
출연	출연	NNG	O
_	_	_	O
정지	정지	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
중징계	중징계	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 책의 첫장은 거울 한 장으로 열린다.
## 이 책의 첫장은 거울 <한 장:NOH>으로 열린다.
이	이	MM	O
_	_	_	O
책	책	NNG	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
장	장	NNB	O
은	은	JX	O
_	_	_	O
거울	거울	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
장	장	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
열린다	열리+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 이 회장은 “삼성이 뼈를 깎는 아픔을 감내하고 스스로 변하지 않으면 안 된다”며 “삼성은 이제 양 위주의 의식, 체질, 제도, 관행에서 벗어나 질 위주로 철저히 변해야 한다”는 내용의 ‘삼성 신경영’을 선언했다.
## <이:PER> 회장은 “<삼성:ORG>이 뼈를 깎는 아픔을 감내하고 스스로 변하지 않으면 안 된다”며 “<삼성:ORG>은 이제 양 위주의 의식, 체질, 제도, 관행에서 벗어나 질 위주로 철저히 변해야 한다”는 내용의 ‘<삼성 신경영:POH>’을 선언했다.
이	이	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
삼성	삼성	NNP	B-ORG
이	이	JKC	O
_	_	_	O
뼈	뼈	NNG	O
를	를	JKO	O
_	_	_	O
깎	깎	VV	O
는	는	ETM	O
_	_	_	O
아픔	아픔	NNG	O
을	을	JKO	O
_	_	_	O
감내하	감내하	VV	O
고	고	EC	O
_	_	_	O
스스로	스스로	MAG	O
_	_	_	O
변하	변하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
으면	으면	EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
양	양	MM	O
_	_	_	O
위주	위주	NNG	O
의	의	JKG	O
_	_	_	O
의식	의식	NNG	O
,	,	SP	O
_	_	_	O
체질	체질	NNG	O
,	,	SP	O
_	_	_	O
제도	제도	NNG	O
,	,	SP	O
_	_	_	O
관행	관행	NNG	O
