## 1
## 중국 언론의 표현대로 일본의 지도자는 비핵화 논의에 ‘끼워 팔기’ 식으로 ‘피해자 코스프레’를 하고 있는 셈이다.
## <중국:ORG> 언론의 표현대로 <일본:ORG>의 지도자는 비핵화 논의에 ‘끼워 팔기’ 식으로 ‘피해자 코스프레’를 하고 있는 셈이다.
중국	중국	NNP	B-ORG
_	_	_	O
언론	언론	NNG	O
의	의	JKG	O
_	_	_	O
표현	표현	NNG	O
대로	대로	JX	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
지도자	지도자	NNG	O
는	는	JX	O
_	_	_	O
비	비	XPN	O
핵	핵	NNG	O
화	화	XSN	O
_	_	_	O
논의	논의	NNG	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
끼	끼우	VV	O
워	어	EC	O
_	_	_	O
팔	팔	VV	O
기	기	ETN	O
’	’	SS	O
_	_	_	O
식	식	NNB	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
피해자	피해자	NNG	O
_	_	_	O
코스	코스	NNG	O
프레	프레	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
셈	셈	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 더불어민주당 표창원 의원이 6일 학교전담경찰관이 담당 학교 여고생과 부적절한 성관계를 맺어 파문을 일으킨 점에 대해 언급한 자신의 발언에 대해 사과했다.
## <더불어민주당:ORG> <표창원:PER> 의원이 <6일:DAT> 학교전담경찰관이 담당 학교 여고생과 부적절한 성관계를 맺어 파문을 일으킨 점에 대해 언급한 자신의 발언에 대해 사과했다.
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
표창원	표창원	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
학교	학교	NNG	O
전담	전담	NNG	O
경찰관	경찰관	NNG	O
이	이	JKS	O
_	_	_	O
담당	담당	NNG	O
_	_	_	O
학교	학교	NNG	O
_	_	_	O
여고생	여고생	NNG	O
과	과	JC	O
_	_	_	O
부적절한	부적절하+ㄴ	VA+ETM	O
_	_	_	O
성	성	NNG	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
맺	맺	VV	O
어	어	EC	O
_	_	_	O
파문	파문	NNG	O
을	을	JKO	O
_	_	_	O
일으킨	일으키+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
언급한	언급하+ㄴ	VV+ETM	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
사과	사과하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 제품은 갤러리아백화점, 신세계백화점 강남점, 신라호텔 아케이드, 도산공원 플래그십 스토어에서 구매할 수 있다.
## 제품은 <갤러리아백화점:ORG>, <신세계백화점 강남점:ORG>, <신라호텔 아케이드:ORG>, 도산공원 플래그십 스토어에서 구매할 수 있다.
제품	제품	NNG	O
은	은	JX	O
_	_	_	O
갤러리아백화점	갤러리아백화점	NNP	B-ORG
,	,	SP	O
_	_	_	O
신세계백화점	신세계백화점	NNP	B-ORG
_	_	_	I-ORG
강남	강남	NNP	I-ORG
점	점	XSN	I-ORG
,	,	SP	O
_	_	_	O
신라호텔	신라호텔	NNP	B-ORG
_	_	_	I-ORG
아케이드	아케이드	NNG	I-ORG
,	,	SP	O
_	_	_	O
도산	도산	NNG	O
공원	공원	NNG	O
_	_	_	O
플래그십	플래그십	NNG	O
_	_	_	O
스토어	스토어	NNG	O
에서	에서	JKB	O
_	_	_	O
구매할	구매하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 여성의류 브랜드 ‘미쏘’는 8월 9일까지 최대 50% 할인 행사를 진행한다.
## 여성의류 브랜드 ‘<미쏘:ORG>’는 <8월 9일:DAT>까지 최대 <50%:PNT> 할인 행사를 진행한다.
여성	여성	NNG	O
의류	의류	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
‘	‘	SS	O
미쏘	미쏘	NNP	B-ORG
’	’	SS	O
는	는	JX	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
9	9	SN	I-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
할인	할인	NNG	O
_	_	_	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
진행한다	진행하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 외계에 지적 생명체가 있다고 해도 우리가 그들을 감지할 수 있을까? 외계 지적 생명체 탐사(SETI) 계획의 창시자인 프랭크 드레이크는 1961년 ‘드레이크 방정식’을 제안했다.
## 외계에 지적 생명체가 있다고 해도 우리가 그들을 감지할 수 있을까? 외계 지적 생명체 탐사(SETI) 계획의 창시자인 <프랭크 드레이크:PER>는 <1961년:DAT> ‘드레이크 방정식’을 제안했다.
외계	외계	NNG	O
에	에	JKB	O
_	_	_	O
지적	지적	NNG	O
_	_	_	O
생명체	생명체	NNG	O
가	가	JKS	O
_	_	_	O
