## 1
## [DBR]이철희 분당서울대병원장 “혁신콘텐츠 보물창고 더도 말고 지금처럼만”
## [DBR]<이철희:PER> <분당:LOC>서울대병원장 “혁신콘텐츠 보물창고 더도 말고 지금처럼만”
[	[	SS	O
DBR	DBR	SL	O
]	]	SS	O
이철희	이철희	NNP	B-PER
_	_	_	O
분당서울대병원	분당서울대병원	NNP	O
장	장	XPN	O
_	_	_	O
“	“	SS	O
혁신	혁신	NNG	O
콘텐츠	콘텐츠	NNG	O
_	_	_	O
보물	보물	NNG	O
창고	창고	NNG	O
_	_	_	O
더	더	MAG	O
도	도	JX	O
_	_	_	O
말	말	VV	O
고	고	EC	O
_	_	_	O
지금	지금	NNG	O
처럼	처럼	JKB	O
만	만	JX	O
”	”	SS	O

## 2
## ML 첫 ‘4-5-4’ 연결 플레이… 타석서도 2안타 1득점 활약
## ML 첫 ‘4-5-4’ 연결 플레이… 타석서도 <2안타:NOH> 1득점 활약
ML	ML	SL	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
‘	‘	SS	O
4	4	SN	O
-	-	SO	O
5	5	SN	O
-	-	SO	O
4	4	SN	O
’	’	SS	O
_	_	_	O
연결	연결	NNG	O
_	_	_	O
플레이	플레이	NNG	O
…	…	SE	O
_	_	_	O
타석	타석	NNG	O
서	서	JKB	O
도	도	JX	O
_	_	_	O
2	2	SN	B-NOH
안타	안타	NNG	I-NOH
_	_	_	O
1	1	SN	O
득점	득점	NNG	O
_	_	_	O
활약	활약	NNG	O

## 3
## 사진 ㅣ 웰메이드스타엠(주민등록증 일제 교체 추진 주민등록증 일제 교체 추진)동아닷컴 영상뉴스팀 studio@donga.com
## 사진 ㅣ 웰<메이:PER>드스타엠(주민등록증 <일제:ORG> 교체 추진 주민등록증 <일제:ORG> 교체 <추진)동아닷컴:ORG> 영상뉴스팀 studio@donga.com
사진	사진	NNG	O
_	_	_	O
ㅣ	ㅣ	NNG	O
_	_	_	O
웰	웰	NNG	O
메이드	메이드	NNG	O
스타	스타	NNG	O
엠	엠	NNG	O
(	(	SS	O
주민	주민	NNG	O
등록증	등록증	NNG	O
_	_	_	O
일제	일제	NNG	B-ORG
_	_	_	O
교체	교체	NNG	O
_	_	_	O
추진	추진	NNG	O
_	_	_	O
주민	주민	NNG	O
등록증	등록증	NNG	O
_	_	_	O
일제	일제	NNG	B-ORG
_	_	_	O
교체	교체	NNG	O
_	_	_	O
추진	추진	NNG	B-ORG
)	)	SS	I-ORG
동아닷컴	동아닷컴	NNP	I-ORG
_	_	_	O
영상	영상	NNG	O
뉴스	뉴스	NNG	O
팀	팀	NNG	O
_	_	_	O
studio	studio	SL	O
@	@	SW	O
donga	donga	SL	O
.	.	SF	O
com	com	SL	O

## 4
## KEB하나은행은 23일 만 40세 이상 직원을 대상으로 특별퇴직을 실시한다고 밝혔다.
## <KEB하나은행:ORG>은 <23일:DAT> 만 <40:NOH>세 <이상:ORG> 직원을 대상으로 특별퇴직을 실시한다고 밝혔다.
KEB	KEB	SL	B-ORG
하나은행	하나은행	NNP	I-ORG
은	은	JX	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
만	만	NNG	O
_	_	_	O
40	40	SN	B-NOH
세	세	NNB	O
_	_	_	O
이상	이상	NNG	B-ORG
_	_	_	O
직원	직원	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
특별	특별	NNG	O
퇴직	퇴직	NNG	O
을	을	JKO	O
_	_	_	O
실시한다고	실시하+ㄴ다고	VV+EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이중 쏘렌토는 463건, 코란도 31건 등이다.
## 이중 <쏘렌토:POH>는 <463건:NOH>, <코란도:POH> <31건:NOH> 등이다.
이	이	MM	O
중	중	NNB	O
_	_	_	O
쏘렌토	쏘렌토	NNG	B-POH
는	는	JX	O
_	_	_	O
463	463	SN	B-NOH
건	건	NNB	I-NOH
,	,	SP	O
_	_	_	O
코란도	코란도	NNP	B-POH
_	_	_	O
31	31	SN	B-NOH
건	건	NNB	I-NOH
_	_	_	O
등	등	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 2위는 걸그룹 트와이스의 신곡 ‘치어 업(CHEER UP)’, 3위는 방탄소년단의 ‘파이어(불타오르네)’가 차지했다.
## <2위:NOH>는 걸그룹 <트와이스:ORG>의 신곡 ‘<치어 업:POH>(<CHEER UP:POH>)’, <3위:NOH>는 <방탄소년단:ORG>의 ‘<파이어:POH>(<불타오르네:POH>)’가 차지했다.
2	2	SN	B-NOH
위	위	NNB	I-NOH
는	는	JX	O
_	_	_	O
걸그룹	걸그룹	NNG	O
_	_	_	O
트와이스	트와이스	NNG	B-ORG
의	의	JKG	O
_	_	_	O
신곡	신곡	NNG	O
_	_	_	O
‘	‘	SS	O
치어	치어	NNG	B-POH
_	_	_	I-POH
업	업	NNG	I-POH
(	(	SS	O
CHEER	CHEER	SL	B-POH
_	_	_	I-POH
UP	UP	SL	I-POH
)	)	SS	O
’	’	SS	O
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
는	는	JX	O
_	_	_	O
방탄소년단	방탄소년단	NNP	B-ORG
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
파이어	파이어	NNG	B-POH
(	(	SS	O
불타오르	불타오르	VV	B-POH
네	네	EF	I-POH
)	)	SS	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 드라마 ‘태양의 후예’ OST 두편도 10위 내에 포함됐다.
## 드라마 ‘<태양의 후예:POH>’ OST 두편도 <10위:NOH> 내에 포함됐다.
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
태양	태양	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
후예	후예	NNG	I-POH
’	’	SS	O
_	_	_	O
OST	OST	SL	O
_	_	_	O
두	두	MM	O
편	편	NNB	O
도	도	JX	O
_	_	_	O
10	10	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
내	내	NNB	O
에	에	JKB	O
_	_	_	O
포함	포함되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
