## 1
## 실내는 1~2인 가구 수요에 맞춘 소형으로 구성돼 있고, 빌트인 가구 적용으로 효율적인 공간 활용이 가능하다.
## 실내는 <1:NOH>~<2인:NOH> 가구 수요에 맞춘 소형으로 구성돼 있고, 빌트인 가구 적용으로 효율적인 공간 활용이 가능하다.
실내	실내	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
~	~	SO	O
2	2	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
가구	가구	NNG	O
_	_	_	O
수요	수요	NNG	O
에	에	JKB	O
_	_	_	O
맞춘	맞추+ㄴ	VV+ETM	O
_	_	_	O
소형	소형	NNG	O
으로	으로	JKB	O
_	_	_	O
구성돼	구성되+어	VV+EC	O
_	_	_	O
있	있	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
빌트인	빌트인	NNG	O
_	_	_	O
가구	가구	NNG	O
_	_	_	O
적용	적용	NNG	O
으로	으로	JKB	O
_	_	_	O
효율적	효율적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
공간	공간	NNG	O
_	_	_	O
활용	활용	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 롯데주류는 ‘주피터 마일드블루 17’이 신제품이니만큼 소비자들 사이에 인지도를 높이는데 중점을 두고 다양한 채널을 활용해 마케팅 활동을 펼칠 계획이다.
## <롯데주류:ORG>는 ‘<주피터 마일드블루 17:POH>’이 신제품이니만큼 소비자들 사이에 인지도를 높이는데 중점을 두고 다양한 채널을 활용해 마케팅 활동을 펼칠 계획이다.
롯데주류	롯데주류	NNP	B-ORG
는	는	JX	O
_	_	_	O
‘	‘	SS	O
주피터	주피터	NNG	B-POH
_	_	_	I-POH
마일드	마일드	NNP	I-POH
블루	블루	NNG	I-POH
_	_	_	I-POH
17	17	SN	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
신제품	신제품	NNG	O
이	이	VCP	O
니만큼	니만큼	EC	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
인지도	인지도	NNG	O
를	를	JKO	O
_	_	_	O
높이	높이	VV	O
는	는	ETM	O
데	데	NNB	O
_	_	_	O
중점	중점	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
채널	채널	NNG	O
을	을	JKO	O
_	_	_	O
활용해	활용하+여	VV+EC	O
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
펼칠	펼치+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 대구사회연구소와 대한정치학회는 대구의 정신 등을 주제로 포럼과 학술 행사를 연다.
## <대구사회연구소:ORG>와 <대한정치학회:ORG>는 <대구:ORG>의 정신 등을 주제로 포럼과 학술 행사를 연다.
대구사회연구소	대구사회연구소	NNP	B-ORG
와	와	JC	O
_	_	_	O
대한	대한	NNG	B-ORG
정치	정치	NNG	I-ORG
학회	학회	NNG	I-ORG
는	는	JX	O
_	_	_	O
대구	대구	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정신	정신	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
