## 1
## 버크너는 보스턴이 2004년, 2007년 우승으로 밤비노의 저주를 끊은 후 보스턴 팬들과 재회할 수 있었다.
## <버크너:PER>는 <보스턴:ORG>이 <2004년:DAT>, <2007년:DAT> 우승으로 <밤비노의 저주:POH>를 끊은 후 <보스턴:ORG> 팬들과 재회할 수 있었다.
버크너	버크너	NNP	B-PER
는	는	JX	O
_	_	_	O
보스턴	보스턴	NNP	B-ORG
이	이	JKS	O
_	_	_	O
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
,	,	SP	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
우승	우승	NNG	O
으로	으로	JKB	O
_	_	_	O
밤비노	밤비노	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
저주	저주	NNG	I-POH
를	를	JKO	O
_	_	_	O
끊	끊	VV	O
은	은	ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
보스턴	보스턴	NNP	B-ORG
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
재회할	재회하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 사람은 물론 모든 생명의 가치가 존중받을 수 있는 도시를 만들겠다는 것. 최근 정부에서도 반려동물 사업 육성 정책을 발표하는 등 반려동물 천만시대가 도래한 만큼 안산시에서도 반려동물 관련 구체적인 사업을 구상 중이다.
## 사람은 물론 모든 생명의 가치가 존중받을 수 있는 도시를 만들겠다는 것. 최근 정부에서도 반려동물 사업 육성 정책을 발표하는 등 반려동물 천만시대가 도래한 만큼 <안산시:LOC>에서도 반려동물 관련 구체적인 사업을 구상 중이다.
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
생명	생명	NNG	O
의	의	JKG	O
_	_	_	O
가치	가치	NNG	O
가	가	JKS	O
_	_	_	O
존중	존중	NNG	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
도시	도시	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
정부	정부	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
반려동물	반려동물	NNG	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
육성	육성	NNG	O
_	_	_	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
발표하	발표하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
반려동물	반려동물	NNG	O
_	_	_	O
천만	천만	NR	O
시대	시대	NNG	O
가	가	JKS	O
_	_	_	O
도래한	도래하+ㄴ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
안산시	안산시	NNP	B-LOC
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
반려	반려	NNG	O
동물	동물	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
구체적	구체적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
사업	사업	NNG	O
을	을	JKO	O
_	_	_	O
구상	구상	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
