## 1
## 현대경제연구원은 20대 청년의 체감실업률이 37.5%로 다른 연령대보다 20%포인트 이상 높다고 발표했다.
## <현대경제연구원:ORG>은 <20대:NOH> 청년의 체감실업률이 <37.5%:PNT>로 다른 연령대보다 <20%포인트:PNT> 이상 높다고 발표했다.
현대경제연구원	현대경제연구원	NNP	B-ORG
은	은	JX	O
_	_	_	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
청년	청년	NNG	O
의	의	JKG	O
_	_	_	O
체감	체감	NNG	O
실업률	실업률	NNG	O
이	이	JKS	O
_	_	_	O
37.5	37.5	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
연령	연령	NNG	O
대	대	XSN	O
보다	보다	JKB	O
_	_	_	O
20	20	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	I-PNT
_	_	_	O
이상	이상	NNG	O
_	_	_	O
높	높	VA	O
다고	다고	EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 경기(252만5462명) 부산(61만2418명) 경남(52만1322명) 등이 뒤를 이었다.
## <경기:LOC>(<252만5462명:NOH>) <부산:LOC>(<61만2418명:NOH>) <경남:LOC>(<52만1322명:NOH>) 등이 뒤를 이었다.
경기	경기	NNP	B-LOC
(	(	SS	O
252	252	SN	B-NOH
만	만	NR	I-NOH
5462	5462	SN	I-NOH
명	명	NNB	I-NOH
)	)	SS	O
_	_	_	O
부산	부산	NNP	B-LOC
(	(	SS	O
61	61	SN	B-NOH
만	만	NR	I-NOH
2418	2418	SN	I-NOH
명	명	NNB	I-NOH
)	)	SS	O
_	_	_	O
경남	경남	NNP	B-LOC
(	(	SS	O
52	52	SN	B-NOH
만	만	NR	I-NOH
1322	1322	SN	I-NOH
명	명	NNB	I-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
뒤	뒤	NNG	O
를	를	JKO	O
_	_	_	O
이	잇	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 사비는 춤의 흉내를 내고 있었다.
## <사비:PER>는 춤의 흉내를 내고 있었다.
사비	사비	NNG	B-PER
는	는	JX	O
_	_	_	O
춤	춤	NNG	O
의	의	JKG	O
_	_	_	O
흉내	흉내	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그만큼 선배 시인들의 눈을 강렬하게 사로잡았던 것. 그는 올해도 노벨 문학상 수상 후보로 거론되고 있다.
## 그만큼 선배 시인들의 눈을 강렬하게 사로잡았던 것. 그는 올해도 <노벨 문학상:POH> 수상 후보로 거론되고 있다.
그만큼	그만큼	MAG	O
_	_	_	O
선배	선배	NNG	O
_	_	_	O
