## 1
## 임 변호사는 “그동안 중재 업무를 다루는 법률가나 기업 담당자들이 참조할 만한 체계적 교과서가 없어 불편을 겪어왔다”며 “가급적 국제 중재 분야의 최신 쟁점을 빠짐없이 수록했고 실무 경험을 토대로 주요 이론에 대한 비평과 반론을 제시했다”고 소개했다.
## <임:PER> 변호사는 “그동안 중재 업무를 다루는 법률가나 기업 담당자들이 참조할 만한 체계적 교과서가 없어 불편을 겪어왔다”며 “가급적 국제 중재 분야의 최신 쟁점을 빠짐없이 수록했고 실무 경험을 토대로 주요 이론에 대한 비평과 반론을 제시했다”고 소개했다.
임	임	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
그동안	그동안	NNG	O
_	_	_	O
중재	중재	NNG	O
_	_	_	O
업무	업무	NNG	O
를	를	JKO	O
_	_	_	O
다루	다루	VV	O
는	는	ETM	O
_	_	_	O
법률가	법률가	NNG	O
나	나	JC	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
담당자	담당자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
참조할	참조하+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
체계적	체계적	NNG	O
_	_	_	O
교과서	교과서	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
불편	불편	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
어	어+오	EC+VX	O
왔	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
가급적	가급적	MAG	O
_	_	_	O
국제	국제	NNG	O
_	_	_	O
중재	중재	NNG	O
_	_	_	O
분야	분야	NNG	O
의	의	JKG	O
_	_	_	O
최신	최신	NNG	O
_	_	_	O
쟁점	쟁점	NNG	O
을	을	JKO	O
_	_	_	O
빠짐없이	빠짐없이	MAG	O
_	_	_	O
수록	수록하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
실무	실무	NNG	O
_	_	_	O
경험	경험	NNG	O
을	을	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
이론	이론	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
비평	비평	NNG	O
과	과	JC	O
_	_	_	O
반론	반론	NNG	O
을	을	JKO	O
_	_	_	O
제시	제시하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
소개	소개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 최근 법무부는 대한상사중재원이 싱가포르의 국제중재 전문기관인 싱가포르국제중재센터(SIAC)에 버금가는 국제중재의 허브로 거듭날 수 있도록 지원하겠다는 계획을 수립해 추진중이다.
## 최근 <법무부:ORG>는 <대한상사중재원:ORG>이 <싱가포르:LOC>의 국제중재 전문기관인 <싱가포르국제중재센터:ORG>(<SIAC:ORG>)에 버금가는 국제중재의 허브로 거듭날 수 있도록 지원하겠다는 계획을 수립해 추진중이다.
최근	최근	NNG	O
_	_	_	O
법무부	법무부	NNG	B-ORG
는	는	JX	O
_	_	_	O
대한	대한	NNP	B-ORG
상사	상사	NNG	I-ORG
중재	중재	NNG	I-ORG
원	원	XSN	I-ORG
이	이	JKS	O
_	_	_	O
싱가포르	싱가포르	NNP	B-LOC
의	의	JKG	O
_	_	_	O
국제	국제	NNG	O
중재	중재	NNG	O
_	_	_	O
전문	전문	NNG	O
기관	기관	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
