## 1
## 이영 여성벤처협회장은 "불이익, 실패 확률이 높은 곳에 가서 힘들고 싶지 않다는 마음으로 출전하지 않는 똑똑한 여성들이 있어 이들을 장려하고 싶다"라고 한 인터뷰에서 밝힌 바 있다.
## <이영:PER> 여성벤처협회장은 "불이익, 실패 확률이 높은 곳에 가서 힘들고 싶지 않다는 마음으로 출전하지 않는 똑똑한 여성들이 있어 이들을 장려하고 싶다"라고 한 인터뷰에서 밝힌 바 있다.
이영	이영	NNP	B-PER
_	_	_	O
여성	여성	NNG	O
벤처	벤처	NNG	O
협회	협회	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
"	"	SS	O
불이익	불이익	NNG	O
,	,	SP	O
_	_	_	O
실패	실패	NNG	O
_	_	_	O
확률	확률	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
힘들	힘들	VA	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다는	다는	ETM	O
_	_	_	O
마음	마음	NNG	O
으로	으로	JKB	O
_	_	_	O
출전하	출전하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
똑똑한	똑똑하+ㄴ	VA+ETM	O
_	_	_	O
여성	여성	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
장려하	장려하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다	다	EF	O
"	"	SS	O
라고	라고	JKQ	O
_	_	_	O
한	한	MM	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 작년 이맘때쯤 일본 히로시마에서 양성평등을 주제로 세계경제포럼 산하의 글로벌 쉐이퍼가 진행하는 세미나에 참석했었다.
## 작년 이맘때쯤 <일본:LOC> <히로시마:LOC>에서 양성평등을 주제로 세계경제포럼 산하의 글로벌 쉐이퍼가 진행하는 세미나에 참석했었다.
작년	작년	NNG	O
_	_	_	O
이맘때	이맘때	NNG	O
쯤	쯤	XSN	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
히로시마	히로시마	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
양성	양성	NNG	O
평등	평등	NNG	O
을	을	JKO	O
_	_	_	O
주제	주제	NNG	O
로	로	JKB	O
_	_	_	O
세계경제	세계경제	NNG	O
포럼	포럼	NNG	O
_	_	_	O
산하	산하	NNG	O
의	의	JKG	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
쉐이퍼	쉐이퍼	NNP	O
가	가	JKS	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
세미나	세미나	NNG	O
에	에	JKB	O
_	_	_	O
참석	참석하	VV	O
했었	였었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김윤하 대중음악평론가는 “특정 가수의 광팬이 아닌 일반 대중의 음반 구매가 얼마나 줄었는지를 보여준다”며 “CD 구입은 좋아하는 가수의 물건을 모으려는 ‘소장품’의 개념으로 바뀌는 모양새다.
## <김윤하:PER> 대중음악평론가는 “특정 가수의 광팬이 아닌 일반 대중의 음반 구매가 얼마나 줄었는지를 보여준다”며 “CD 구입은 좋아하는 가수의 물건을 모으려는 ‘소장품’의 개념으로 바뀌는 모양새다.
김윤하	김윤하	NNP	B-PER
_	_	_	O
대중음악	대중음악	NNG	O
평론가	평론가	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
특정	특정	NNG	O
_	_	_	O
가수	가수	NNG	O
의	의	JKG	O
_	_	_	O
광	광	NNG	O
팬	팬	NNG	O
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
일반	일반	NNG	O
_	_	_	O
대중	대중	NNG	O
의	의	JKG	O
_	_	_	O
음반	음반	NNG	O
_	_	_	O
구매	구매	NNG	O
가	가	JKS	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
는지	는지	EC	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
준다	주+ㄴ다	VX+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
CD	CD	SL	O
_	_	_	O
구입	구입	NNG	O
은	은	JX	O
_	_	_	O
좋아하	좋아하	VV	O
는	는	ETM	O
_	_	_	O
가수	가수	NNG	O
의	의	JKG	O
_	_	_	O
물건	물건	NNG	O
을	을	JKO	O
_	_	_	O
모으	모으	VV	O
려는	려는	ETM	O
_	_	_	O
‘	‘	SS	O
소장품	소장품	NNG	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
개념	개념	NNG	O
으로	으로	JKB	O
_	_	_	O
바뀌	바뀌	VV	O
는	는	ETM	O
_	_	_	O
모양새	모양새+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 청계천에서 세운상가, 장충단공원까지 걸으며 평생 한 번도 안 가봤던 도심의 골목길과 유적지, 조각품을 발견하는 즐거움도 쏠쏠하다.
## <청계천:LOC>에서 <세운상가:LOC>, <장충단공원:LOC>까지 걸으며 평생 한 번도 안 가봤던 도심의 골목길과 유적지, 조각품을 발견하는 즐거움도 쏠쏠하다.
청계천	청계천	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
세운상가	세운상가	NNP	B-LOC
,	,	SP	O
_	_	_	O
장충단	장충단	NNG	B-LOC
공원	공원	NNG	I-LOC
까지	까지	JX	O
_	_	_	O
걸	걷	VV	O
으며	으며	EC	O
_	_	_	O
평생	평생	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
번	번	NNB	O
도	도	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
가	가+아	VV+EC	O
봤	보+았	VX+EP	O
던	던	ETM	O
_	_	_	O
도심	도심	NNG	O
의	의	JKG	O
_	_	_	O
골목길	골목길	NNG	O
과	과	JC	O
_	_	_	O
유적지	유적지	NNG	O
,	,	SP	O
_	_	_	O
