## 1
## 부대장 한개철대령은 『예비군들에게 부대내 오­폐수처리시스템을 보여주면, 백마디말보다 더 효과가 크다』며, 『요즘에는 훈련이 끝난 뒤 훈련장에 쓰레기가 발견되는 일이 거의 없다』고 말했다.
## 부대장 <한개철:PER>대령은 『예비군들에게 부대내 오­폐수처리시스템을 보여주면, 백마디말보다 더 효과가 크다』며, 『요즘에는 훈련이 끝난 뒤 훈련장에 쓰레기가 발견되는 일이 거의 없다』고 말했다.
부대장	부대장	NNG	O
_	_	_	O
한개철	한개철	NNP	B-PER
대령	대령	NNG	O
은	은	JX	O
_	_	_	O
『	『	SS	O
예비군	예비군	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
부대	부대	NNG	O
내	내	NNB	O
_	_	_	O
오	오	NNP	O
­	­	SS	O
폐수	폐수	NNG	O
처리	처리	NNG	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
면	면	EC	O
,	,	SP	O
_	_	_	O
백	백	NR	O
마디	마디	NNG	O
말	말	NNG	O
보다	보다	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
효과	효과	NNG	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
』	』	SS	O
며	며	EC	O
,	,	SP	O
_	_	_	O
『	『	SS	O
요즘	요즘	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
훈련	훈련	NNG	O
이	이	JKS	O
_	_	_	O
끝난	끝나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
훈련장	훈련장	NNG	O
에	에	JKB	O
_	_	_	O
쓰레기	쓰레기	NNG	O
가	가	JKS	O
_	_	_	O
발견되	발견되	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
없	없	VA	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 남경필 지사가 취임 직후 도입한 연정이 새로운 바람을 일으킨 것이 대표적이다.
