## 1
## 때문에 조사결과는 미국 소비자가 자동차 구매기준으로 적극 활용할뿐만 아니라 업체별 품질 경쟁력을 가늠하는 지표로도 활용된다.
## 때문에 조사결과는 <미국:LOC> 소비자가 자동차 구매기준으로 적극 활용할뿐만 아니라 업체별 품질 경쟁력을 가늠하는 지표로도 활용된다.
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
조사	조사	NNG	O
결과	결과	NNG	O
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
소비자	소비자	NNG	O
가	가	JKS	O
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
구매	구매	NNG	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
활용할	활용하+ㄹ	VV+ETM	O
뿐	뿐	NNB	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
업체	업체	NNG	O
별	별	XSN	O
_	_	_	O
품질	품질	NNG	O
_	_	_	O
경쟁력	경쟁력	NNG	O
을	을	JKO	O
_	_	_	O
가늠하	가늠하	VV	O
는	는	ETM	O
_	_	_	O
지표	지표	NNG	O
로	로	JKB	O
도	도	JX	O
_	_	_	O
활용된다	활용되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이번 신차품질조사는 지난해 11월부터 올해 2월까지 미국에서 판매된 신차를 구입한 이들을 대상으로 구입 후 3개월이 지난 시점에 233개 항목에 대한 품질 만족도를 조사해 판매 자동차 100대당 불만 건수로 나타낸 결과를 토대로 한다.
## 이번 신차품질조사는 지난해 <11월:DAT>부터 올해 <2월:DAT>까지 <미국:LOC>에서 판매된 신차를 구입한 이들을 대상으로 구입 후 <3개월:DUR>이 지난 시점에 <233개:NOH> 항목에 대한 품질 만족도를 조사해 판매 자동차 <100대:NOH>당 불만 건수로 나타낸 결과를 토대로 한다.
이번	이번	NNG	O
_	_	_	O
신차	신차	NNG	O
품질	품질	NNG	O
조사	조사	NNG	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
판매된	판매되+ㄴ	VV+ETM	O
_	_	_	O
신차	신차	NNG	O
를	를	JKO	O
_	_	_	O
구입한	구입하+ㄴ	VV+ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
구입	구입	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
3	3	SN	B-DUR
개월	개월	NNB	I-DUR
이	이	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
시점	시점	NNG	O
에	에	JKB	O
_	_	_	O
233	233	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
항목	항목	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
품질	품질	NNG	O
_	_	_	O
만족도	만족도	NNG	O
를	를	JKO	O
_	_	_	O
조사해	조사하+여	VV+EC	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
100	100	SN	B-NOH
대	대	NNB	I-NOH
당	당	XSN	O
_	_	_	O
불만	불만	NNG	O
_	_	_	O
건수	건수	NNG	O
로	로	JKB	O
_	_	_	O
나타낸	나타내+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 투자자들 입장에서는 실투자금 최저 6000만 원대(60% 대출 시), 중도금 무이자를 비롯해 골든튤립 네트워크 이용 시 준회원 대우, 위탁 운영 10년 계약, 부가세 신고 무료 대행 등 실속 있는 분양조건이 눈길을 끈다.
## 투자자들 입장에서는 실투자금 최저 <6000만 원:MNY>대(<60%:PNT> 대출 시), 중도금 무이자를 비롯해 골든튤립 네트워크 이용 시 준회원 대우, 위탁 운영 <10년:DUR> 계약, 부가세 신고 무료 대행 등 실속 있는 분양조건이 눈길을 끈다.
투자자	투자자	NNG	O
들	들	XSN	O
_	_	_	O
입장	입장	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
실	실	NNG	O
투자	투자	NNG	O
금	금	XSN	O
_	_	_	O
최저	최저	NNG	O
_	_	_	O
6000	6000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
(	(	SS	O
60	60	SN	B-PNT
%	%	SW	I-PNT
