## 1
## 이용 승객이 많은 오전 1∼3시에는 최소 배차 간격 25분으로 운행할 예정이다.
## 이용 승객이 많은 <오전 1∼3시:DUR>에는 최소 배차 간격 <25분:NOH>으로 운행할 예정이다.
이용	이용	NNG	O
_	_	_	O
승객	승객	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
오전	오전	NNG	B-DUR
_	_	_	I-DUR
1	1	SN	I-DUR
∼	∼	SO	I-DUR
3	3	SN	I-DUR
시	시	NNB	I-DUR
에	에	JKB	O
는	는	JX	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
배차	배차	NNG	O
_	_	_	O
간격	간격	NNG	O
_	_	_	O
25	25	SN	B-NOH
분	분	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
운행할	운행하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 동생에 비해 신동주 전 부회장은 활로를 못 찾고 있다.
## 동생에 비해 <신동주:PER> 전 부회장은 활로를 못 찾고 있다.
동생	동생	NNG	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
신동주	신동주	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부회장	부회장	NNG	O
은	은	JX	O
_	_	_	O
활로	활로	NNG	O
를	를	JKO	O
_	_	_	O
못	못	MAG	O
_	_	_	O
찾	찾	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## ‘천지왕, 백주할멈, 총명아기, 감은장아기, 자청비, 문도령, 정수남, 대별이, 소별이, 오늘이….’ 매우 친숙한 느낌의 이 이름은 우리 신화에 나오는 신들의 것입니다.
## ‘<천지왕:PER>, <백주할멈:PER>, <총명아기:PER>, <감은장아기:PER>, <자청비:PER>, <문도령:PER>, <정수남:PER>, <대별이:PER>, <소별이:PER>, <오늘이:PER>….’ 매우 친숙한 느낌의 이 이름은 우리 신화에 나오는 신들의 것입니다.
‘	‘	SS	O
천지	천지	NNG	B-PER
왕	왕	NNG	I-PER
,	,	SP	O
_	_	_	O
백주	백주	NNG	B-PER
할멈	할멈	NNG	I-PER
,	,	SP	O
_	_	_	O
총명	총명	NNG	B-PER
아기	아기	NNG	I-PER
,	,	SP	O
_	_	_	O
감	감	XSN	B-PER
은장아기	은장아기	NNP	I-PER
