## 1
## SH공사는 이런 내용이 포함된 혁신방안을 11일 발표했다.
## <SH공사:ORG>는 이런 내용이 포함된 혁신방안을 <11일:DAT> 발표했다.
SH	SH	SL	B-ORG
공사	공사	NNG	I-ORG
는	는	JX	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
내용	내용	NNG	O
이	이	JKS	O
_	_	_	O
포함된	포함되+ㄴ	VV+ETM	O
_	_	_	O
혁신	혁신	NNG	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 농식품부는 치킨 가격 인상을 둘러싸고 정부가 과도하게 개입했다는 지적에 대해선 부담스러워하는 분위기다.
## 하지만 <농식품부:ORG>는 치킨 가격 인상을 둘러싸고 정부가 과도하게 개입했다는 지적에 대해선 부담스러워하는 분위기다.
하지만	하지만	MAJ	O
_	_	_	O
농	농	NNG	B-ORG
식품	식품	NNG	I-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
치킨	치킨	NNG	O
_	_	_	O
가격	가격	NNG	O
_	_	_	O
인상	인상	NNG	O
을	을	JKO	O
_	_	_	O
둘러싸	둘러싸	VV	O
고	고	EC	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
과도하	과도하	VA	O
게	게	EC	O
_	_	_	O
개입	개입하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
지적	지적	NNG	O
에	에	JKB	O
_	_	_	O
대해선	대하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
부담스러	부담스럽	VA	O
워	어	EC	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
분위기	분위기+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 120조 원(지난해 말 기준)에 달하는 공공조달 시장에서 중소기업 간 경쟁제품 시장규모는 약 20조 원으로 전체의 16.7%에 해당한다.
## <120조 원:MNY>(지난해 말 기준)에 달하는 공공조달 시장에서 중소기업 간 경쟁제품 시장규모는 약 <20조 원:MNY>으로 전체의 <16.7%:PNT>에 해당한다.
120	120	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
(	(	SS	O
지난해	지난해	NNG	O
_	_	_	O
말	말	NNB	O
_	_	_	O
기준	기준	NNG	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
달하	달하	VV	O
는	는	ETM	O
_	_	_	O
공공	공공	NNG	O
조달	조달	NNG	O
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
중소기업	중소기업	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
경쟁	경쟁	NNG	O
제품	제품	NNG	O
_	_	_	O
시장	시장	NNG	O
규모	규모	NNG	O
는	는	JX	O
_	_	_	O
약	약	MM	O
_	_	_	O
20	20	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
전체	전체	NNG	O
의	의	JKG	O
_	_	_	O
16.7	16.7	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
해당한다	해당하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 문화계인사, 한강과 관계 있는 인사1백50여명과 일반시민1백10명이 초청받아 시가 있는 밤배놀이를 즐겼다.
## 문화계인사, <한강:LOC>과 관계 있는 인사<1백50여명:NOH>과 일반시민<1백10명:NOH>이 초청받아 시가 있는 밤배놀이를 즐겼다.
문화계	문화계	NNG	O
인사	인사	NNG	O
,	,	SP	O
_	_	_	O
한강	한강	NNP	B-LOC
과	과	JKB	O
_	_	_	O
관계	관계	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
인사	인사	NNG	O
1	1	SN	B-NOH
백	백	NR	I-NOH
50	50	SN	I-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
과	과	JC	O
_	_	_	O
일반	일반	NNG	O
시민	시민	NNG	O
1	1	SN	B-NOH
백	백	NR	I-NOH
10	10	SN	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
초청	초청	NNG	O
받	받	VV	O
아	아	EC	O
_	_	_	O
시	시	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
밤배	밤배	NNG	O
놀이	놀이	NNG	O
를	를	JKO	O
_	_	_	O
즐	즐기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 푸틴의 철수 결정은 파병을 통해 기대했던 성과를 대부분 거두었기 때문이라고 BBC는 전했다.
## <푸틴:PER>의 철수 결정은 파병을 통해 기대했던 성과를 대부분 거두었기 때문이라고 <BBC:ORG>는 전했다.
푸틴	푸틴	NNP	B-PER
의	의	JKG	O
_	_	_	O
철수	철수	NNG	O
_	_	_	O
결정	결정	NNG	O
은	은	JX	O
_	_	_	O
파병	파병	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
기대	기대하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
성과	성과	NNG	O
를	를	JKO	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
거두	거두	VV	O
었	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
BBC	BBC	SL	B-ORG
는	는	JX	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 미국인들에게 ‘당신들에게 더 신경을 쓰겠다’는 메시지를 ‘미국 우선주의’라는 구호에 담아낸 것이다.
## 미국인들에게 ‘당신들에게 더 신경을 쓰겠다’는 메시지를 ‘<미국:ORG> 우선주의’라는 구호에 담아낸 것이다.
미국인	미국인	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
‘	‘	SS	O
당신	당신	NP	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
신경	신경	NNG	O
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
겠	겠	EP	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
미국	미국	NNP	B-ORG
_	_	_	O
우선주의	우선주의	NNG	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
구호	구호	NNG	O
에	에	JKB	O
_	_	_	O
담아낸	담아내+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 이러한 고객중심경영의 실천 노력에 힘입어 삼성화재는 매출, 재무건전성, 고객만족도 등 기업경영과 관련된 모든 부문에서 국내 손해보험사 중 독보적인 위치를 차지하고 있다.
## 이러한 고객중심경영의 실천 노력에 힘입어 <삼성화재:ORG>는 매출, 재무건전성, 고객만족도 등 기업경영과 관련된 모든 부문에서 국내 손해보험사 중 독보적인 위치를 차지하고 있다.
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
고객	고객	NNG	O
중심	중심	NNG	O
경영	경영	NNG	O
의	의	JKG	O
_	_	_	O
실천	실천	NNG	O
_	_	_	O
노력	노력	NNG	O
에	에	JKB	O
_	_	_	O
힘입	힘입	VV	O
어	어	EC	O
_	_	_	O
삼성화재	삼성화재	NNP	B-ORG
는	는	JX	O
_	_	_	O
매출	매출	NNG	O
,	,	SP	O
_	_	_	O
재무	재무	NNG	O
건전성	건전성	NNG	O
,	,	SP	O
_	_	_	O
고객	고객	NNG	O
만족도	만족도	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
기업	기업	NNG	O
경영	경영	NNG	O
과	과	JKB	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
부문	부문	NNG	O
에서	에서	JKB	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
손해	손해	NNG	O
보험	보험	NNG	O
사	사	XSN	O
_	_	_	O
중	중	NNP	O
_	_	_	O
독보적	독보적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
위치	위치	NNG	O
를	를	JKO	O
_	_	_	O
차지하	차지하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 사단법인 어린이문화진흥회(회장 김재은)는 최근 이화여대 양혜영박사팀(심리학)에 의뢰, 서울에 사는 국민학교 4∼6학년생 1천1백8명을 대상으로 「가정과 학교환경에서 받는 어린이의 스트레스」에 관해 설문조사했다.
## 사단법인 <어린이문화진흥회:ORG>(회장 <김재은:PER>)는 최근 <이화여대:ORG> <양혜영:PER>박사팀(심리학)에 의뢰, <서울:LOC>에 사는 국민학교 <4:NOH>∼<6학년:NOH>생 <1천1백8명:NOH>을 대상으로 「가정과 학교환경에서 받는 어린이의 스트레스」에 관해 설문조사했다.
사단	사단	NNG	O
법인	법인	NNG	O
_	_	_	O
어린이	어린이	NNG	B-ORG
문화	문화	NNG	I-ORG
진흥회	진흥회	NNG	I-ORG
(	(	SS	O
회장	회장	NNG	O
_	_	_	O
김재은	김재은	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
이화여대	이화여대	NNP	B-ORG
_	_	_	O
양혜영	양혜영	NNP	B-PER
