## 1
## 구글 검색어 역시 올해 국내뉴스/사회 검색에서 지진이 1위를 차지했다.태양의 후예 vs 구르미 그린 달빛올해 방송 관련 검색어에서는 올해 초 방영한 KBS 드라마 태양의 후예와 올해 하반기 방영한 KBS 드라마 구르미 그린 달빛이 상위권에 올랐다.
## <구글:ORG> 검색어 역시 올해 국내뉴스/사회 검색에서 지진이 <1위:NOH>를 차지했다.<태양의 후예:POH> vs <구르미 그린 달빛:POH>올해 방송 관련 검색어에서는 올해 초 방영한 <KBS:ORG> 드라마 <태양의 후예:POH>와 올해 하반기 방영한 <KBS:ORG> 드라마 <구르미 그린 달빛:POH>이 상위권에 올랐다.
구글	구글	NNP	B-ORG
_	_	_	O
검색어	검색어	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
국내	국내	NNG	O
뉴스	뉴스	NNG	O
/	/	SP	O
사회	사회	NNG	O
_	_	_	O
검색	검색	NNG	O
에서	에서	JKB	O
_	_	_	O
지진	지진	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
태양	태양	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
후예	후예	NNG	I-POH
_	_	_	O
vs	vs	SL	O
_	_	_	O
구르	구르	NNP	B-POH
미	미	NNP	I-POH
_	_	_	I-POH
그린	그리+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
달빛	달빛	NNG	I-POH
올해	올해	NNG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
검색어	검색어	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
방영한	방영하+ㄴ	VV+ETM	O
_	_	_	O
KBS	KBS	SL	B-ORG
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
태양	태양	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
후예	후예	NNG	I-POH
와	와	JC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
하반기	하반기	NNG	O
_	_	_	O
방영한	방영하+ㄴ	VV+ETM	O
_	_	_	O
KBS	KBS	SL	B-ORG
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
구르	구르	NNP	B-POH
미	미	NNP	I-POH
_	_	_	I-POH
그린	그리+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
달빛	달빛	NNG	I-POH
이	이	JKS	O
_	_	_	O
상위권	상위권	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국이 4차 산업혁명의 핵심 분야인 전기자동차 시장을 선점하면서 한국을 압도하고 있다.
## <중국:ORG>이 <4차 산업혁명:POH>의 핵심 분야인 전기자동차 시장을 선점하면서 <한국:ORG>을 압도하고 있다.
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
4	4	SN	B-POH
차	차	NNB	I-POH
_	_	_	I-POH
산업	산업	NNG	I-POH
혁명	혁명	NNG	I-POH
의	의	JKG	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
분야	분야	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
전기	전기	NNG	O
자동차	자동차	NNG	O
_	_	_	O
시장	시장	NNG	O
을	을	JKO	O
_	_	_	O
선점하	선점하	VV	O
면서	면서	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
압도하	압도하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 상승했다.하반기 지방 분양시장에 물량을 선보이는 건설사는 8개사로 현대엔지니어링, 대우건설, 포스코건설, GS건설, 대림산업, 롯데건설, SK건설, 현대산업개발 등이다.
## 상승했다.하반기 지방 분양시장에 물량을 선보이는 건설사는 <8개:NOH>사로 <현대엔지니어링:ORG>, <대우건설:ORG>, <포스코건설:ORG>, <GS건설:ORG>, <대림산업:ORG>, <롯데건설:ORG>, <SK건설:ORG>, <현대산업개발:ORG> 등이다.
상승	상승하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
하반기	하반기	NNG	O
_	_	_	O
지방	지방	NNG	O
_	_	_	O
분양	분양	NNG	O
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
물량	물량	NNG	O
을	을	JKO	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
건설	건설	NNG	O
사	사	XSN	O
는	는	JX	O
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
사	사	NNG	O
로	로	JKB	O
_	_	_	O
현대	현대	NNP	B-ORG
엔지니어링	엔지니어링	NNG	I-ORG
,	,	SP	O
_	_	_	O
대우건설	대우건설	NNP	B-ORG
,	,	SP	O
_	_	_	O
포스코건설	포스코건설	NNP	B-ORG
,	,	SP	O
_	_	_	O
