## 1
## 식사비용은 현행 공무원 행동 강령(3만 원)을 그대로 적용했다.
## 식사비용은 현행 공무원 행동 강령(<3만 원:MNY>)을 그대로 적용했다.
식사	식사	NNG	O
비용	비용	NNG	O
은	은	JX	O
_	_	_	O
현행	현행	NNG	O
_	_	_	O
공무원	공무원	NNG	O
_	_	_	O
행동	행동	NNG	O
_	_	_	O
강령	강령	NNG	O
(	(	SS	O
3	3	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
을	을	JKO	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
적용	적용하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 지난해 하반기 SK그룹 계열사에 입사한 홍모(27)씨는 “그룹·프레젠테이션·인성 등 세 종류의 면접을 8시간 동안 몰아서 보고, 최종 임원면접은 부문장 7명이 참석한 가운데 봤다”고 말했다.
## 지난해 하반기 <SK그룹:ORG> 계열사에 입사한 <홍모:PER>(<27:NOH>)씨는 “그룹·프레젠테이션·인성 등 <세 종류:NOH>의 면접을 <8시간:DUR> 동안 몰아서 보고, 최종 임원면접은 부문장 <7명:NOH>이 참석한 가운데 봤다”고 말했다.
지난해	지난해	NNG	O
_	_	_	O
하반기	하반기	NNG	O
_	_	_	O
SK	SK	SL	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
계열사	계열사	NNG	O
에	에	JKB	O
_	_	_	O
입사한	입사하+ㄴ	VV+ETM	O
_	_	_	O
홍모	홍모	NNG	B-PER
(	(	SS	O
27	27	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
그룹	그룹	NNG	O
·	·	SP	O
프레젠테이션	프레젠테이션	NNG	O
·	·	SP	O
인성	인성	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
종류	종류	NNG	I-NOH
의	의	JKG	O
_	_	_	O
면접	면접	NNG	O
을	을	JKO	O
_	_	_	O
8	8	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
몰	몰	VV	O
아서	아서	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
임원	임원	NNG	O
면접	면접	NNG	O
은	은	JX	O
_	_	_	O
부문장	부문장	NNG	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
참석한	참석하+ㄴ	VV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 취업포털 사람인의 임민욱 팀장은 “10번 이상 면접을 보고 채용한다는 구글 같은 글로벌 기업식 채용 방침을 국내 대기업들도 받아들이는 추세”라며 “채용 규모를 줄이지 않는 대신 채용을 신중하게 해 퇴사자를 막는 방식으로 전체 비용을 절감하겠다는 전략”이라고 했다.
## 취업포털 <사람인:ORG>의 <임민욱:PER> 팀장은 “<10번:NOH> 이상 면접을 보고 채용한다는 <구글:ORG> 같은 글로벌 기업식 채용 방침을 국내 대기업들도 받아들이는 추세”라며 “채용 규모를 줄이지 않는 대신 채용을 신중하게 해 퇴사자를 막는 방식으로 전체 비용을 절감하겠다는 전략”이라고 했다.
취업	취업	NNG	O
포털	포털	NNG	O
_	_	_	O
사람	사람	NNG	B-ORG
인	인	NNG	I-ORG
의	의	JKG	O
_	_	_	O
임민욱	임민욱	NNP	B-PER
_	_	_	O
팀장	팀장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
10	10	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
면접	면접	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
채용한다는	채용하+ㄴ다는	VV+ETM	O
_	_	_	O
구글	구글	NNP	B-ORG
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
기업	기업	NNG	O
식	식	XSN	O
_	_	_	O
채용	채용	NNG	O
_	_	_	O
방침	방침	NNG	O
을	을	JKO	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
