## 1
## 또 한·일관계와 관련해서는 “두 나라 간 미래지향적 동반자 관계의 출발점이자 필요조건은 올바른 역사인식과 미래세대 교육이며 정부는 이와 같은 확고한 원칙을 가지고 과거사 문제에 대해서는 단호히 대응해 나갈 것”이라며 “일본 정부도 역사를 있는 그대로 직시하면서 미래세대 교육과 과거사의 과오를 반성하는 데 진정성 있고 일관성 있게 나아가야 할 것”이라고 지적했다.
## 또 <한·일:ORG>관계와 관련해서는 “<두 나라:NOH> 간 미래지향적 동반자 관계의 출발점이자 필요조건은 올바른 역사인식과 미래세대 교육이며 정부는 이와 같은 확고한 원칙을 가지고 과거사 문제에 대해서는 단호히 대응해 나갈 것”이라며 “<일본 정부:ORG>도 역사를 있는 그대로 직시하면서 미래세대 교육과 과거사의 과오를 반성하는 데 진정성 있고 일관성 있게 나아가야 할 것”이라고 지적했다.
또	또	MAG	O
_	_	_	O
한	한	NNP	B-ORG
·	·	SP	I-ORG
일	일	NNP	I-ORG
관계	관계	NNG	O
와	와	JC	O
_	_	_	O
관련해서	관련하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
“	“	SS	O
두	두	MM	B-NOH
_	_	_	I-NOH
나라	나라	NNG	I-NOH
_	_	_	O
간	간	NNB	O
_	_	_	O
미래	미래	NNG	O
지향	지향	NNG	O
적	적	XSN	O
_	_	_	O
동반자	동반자	NNG	O
_	_	_	O
관계	관계	NNG	O
의	의	JKG	O
_	_	_	O
출발점	출발점	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
필요조건	필요조건	NNG	O
은	은	JX	O
_	_	_	O
올바른	올바르+ㄴ	VA+ETM	O
_	_	_	O
역사	역사	NNG	O
인식	인식	NNG	O
과	과	JC	O
_	_	_	O
미래	미래	NNG	O
세대	세대	NNG	O
_	_	_	O
교육	교육	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
이	이	NP	O
와	와	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
확고한	확고하+ㄴ	VA+ETM	O
_	_	_	O
원칙	원칙	NNG	O
을	을	JKO	O
_	_	_	O
가지	가지	VV	O
고	고	EC	O
_	_	_	O
과거사	과거사	NNG	O
_	_	_	O
문제	문제	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
단호히	단호히	MAG	O
_	_	_	O
대응해	대응하+여	VV+EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
일본	일본	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
도	도	JX	O
_	_	_	O
역사	역사	NNG	O
를	를	JKO	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
직시하	직시하	VV	O
면서	면서	EC	O
_	_	_	O
미래	미래	NNG	O
세대	세대	NNG	O
_	_	_	O
교육	교육	NNG	O
과	과	JC	O
_	_	_	O
과거사	과거사	NNG	O
의	의	JKG	O
_	_	_	O
과오	과오	NNG	O
를	를	JKO	O
_	_	_	O
반성하	반성하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
진정	진정	NNG	O
성	성	XSN	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
일관성	일관성	NNG	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
나아가야	나아가+아야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 대북 문제에 대해서도 “북한은 민생을 파괴하고 인권을 유린하며 오직 핵능력 고도화에 몰두하고 있다”며 “굳건한 한미 연합방위태세를 토대로 북한의 어떠한 도발과 위협도 단호히 응징하고 유엔 안보리 결의 등의 제재와 압박을 더욱 강화해 북한이 잘못된 셈법을 바꾸도록 하겠다”고 강조했다.
## 대북 문제에 대해서도 “<북한:ORG>은 민생을 파괴하고 인권을 유린하며 오직 핵능력 고도화에 몰두하고 있다”며 “굳건한 <한미 연합방위:ORG>태세를 토대로 <북한:ORG>의 어떠한 도발과 위협도 단호히 응징하고 <유엔 안보리 결의:POH> 등의 제재와 압박을 더욱 강화해 <북한:ORG>이 잘못된 셈법을 바꾸도록 하겠다”고 강조했다.
대북	대북	NNG	O
_	_	_	O
문제	문제	NNG	O
