## 1
## 윤진희 교수는 “심혈관계 질환이 있는 사람은 운동부하검사를 해서 운동의 강도를 정하고 천천히 강도를 올려가며 운동해야 한다”고 말했다.
## <윤진희:PER> 교수는 “심혈관계 질환이 있는 사람은 운동부하검사를 해서 운동의 강도를 정하고 천천히 강도를 올려가며 운동해야 한다”고 말했다.
윤진희	윤진희	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
심혈	심혈	NNG	O
관	관	NNG	O
계	계	XSN	O
_	_	_	O
질환	질환	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
운동	운동	NNG	O
부하	부하	NNG	O
검사	검사	NNG	O
를	를	JKO	O
_	_	_	O
해서	하+여서	VV+EC	O
_	_	_	O
운동	운동	NNG	O
의	의	JKG	O
_	_	_	O
강도	강도	NNG	O
를	를	JKO	O
_	_	_	O
정하	정하	VV	O
고	고	EC	O
_	_	_	O
천천히	천천히	MAG	O
_	_	_	O
강도	강도	NNG	O
를	를	JKO	O
_	_	_	O
올려	올리+어	VV+EC	O
가	가	VX	O
며	며	EC	O
_	_	_	O
운동해야	운동하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그렇다면 누가 춤을 춰야 할까. 정지용은 “누가 추어야만 옳은 춤이 되는고 하니 진정한 생산자 노동자와 농민과 조국과 인민에 봉사하는 군인과 학생이 추어야 하는 것이다”라며 “진정한 민주주의 조국의 무수한 청춘과 영웅과 선수들을 위하여서만 사교춤이 근로와 건국의 진정한 기술의 일부가 되는 것이다”라고 주장한다.
