## 1
## 이곳에서 기자들과 만난 유 후보는 “이제 새로운 시대가 시작된다”며 “좋은 일보다는 많이 힘든 일이 기다리고 있어서 앞으로 국가 리더십의 역할이 정말 중요한 때”라고 말했다.
## 이곳에서 기자들과 만난 <유:PER> 후보는 “이제 새로운 시대가 시작된다”며 “좋은 일보다는 많이 힘든 일이 기다리고 있어서 앞으로 국가 리더십의 역할이 정말 중요한 때”라고 말했다.
이곳	이곳	NP	O
에서	에서	JKB	O
_	_	_	O
기자	기자	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
이제	이제	MAG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
시대	시대	NNG	O
가	가	JKS	O
_	_	_	O
시작된다	시작되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
일	일	NNG	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
힘든	힘들+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
기다리	기다리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어서	어서	EC	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
국가	국가	NNG	O
_	_	_	O
리더십	리더십	NNG	O
의	의	JKG	O
_	_	_	O
역할	역할	NNG	O
이	이	JKS	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
때	때	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이탈리아 피렌체에서 온 주얼리 브랜드 파사빈티(Passavinti)가 톱배우 최지우를 만났다.
## <이탈리아 피렌체:LOC>에서 온 주얼리 브랜드 <파사빈티:ORG>(<Passavinti:ORG>)가 톱배우 <최지우:PER>를 만났다.
이탈리아	이탈리아	NNP	B-LOC
_	_	_	I-LOC
피렌체	피렌체	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
주얼리	주얼리	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
파사	파사	NNG	B-ORG
빈티	빈티	NNG	I-ORG
(	(	SS	O
Passavinti	Passavinti	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
톱	톱	NNG	O
배우	배우	NNG	O
_	_	_	O
최지우	최지우	NNP	B-PER
를	를	JKO	O
_	_	_	O
만났	만나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 가톨릭대는 정시모집에서 가군 일반학생전형(400명)과 교육기회균등Ⅱ전형(11명), 나군 일반전형(71명), 다군 일반전형(280명)과 교육기회균등Ⅱ전형(6명)으로 총 768명을 선발한다.
## <가톨릭대:ORG>는 정시모집에서 가군 일반학생전형(<400명:NOH>)과 교육기회균등<Ⅱ전형:NOH>(<11명:NOH>), 나군 일반전형(<71명:NOH>), 다군 일반전형(<280명:NOH>)과 교육기회균등<Ⅱ전형:NOH>(<6명:NOH>)으로 총 <768명:NOH>을 선발한다.
가톨릭대	가톨릭대	NNP	B-ORG
는	는	JX	O
_	_	_	O
정시	정시	NNG	O
모집	모집	NNG	O
에서	에서	JKB	O
_	_	_	O
가	가	NNG	O
군	군	NNG	O
_	_	_	O
일반	일반	NNG	O
학생	학생	NNG	O
전형	전형	NNG	O
(	(	SS	O
400	400	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
교육	교육	NNG	O
기회균등	기회균등	NNG	O
Ⅱ	Ⅱ	SW	B-NOH
전형	전형	NNG	I-NOH
(	(	SS	O
11	11	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
나군	나군	NNG	O
_	_	_	O
일반	일반	NNG	O
전형	전형	NNG	O
(	(	SS	O
71	71	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
다	다	NNG	O
군	군	XSN	O
_	_	_	O
일반	일반	NNG	O
전형	전형	NNG	O
(	(	SS	O
280	280	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
교육	교육	NNG	O
기회균등	기회균등	NNG	O
Ⅱ	Ⅱ	SW	B-NOH
전형	전형	NNG	I-NOH
(	(	SS	O
6	6	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
총	총	MM	O
_	_	_	O
768	768	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선발한다	선발하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
