## 1
## 마리엘 경제특구는 한국의 인천 송도가 될지 아니면 북한의 개성공단이 될지 기로에 서 있다.
## <마리엘:LOC> 경제특구는 <한국:LOC>의 <인천:LOC> <송도:LOC>가 될지 아니면 <북한:LOC>의 <개성공단:LOC>이 될지 기로에 서 있다.
마리엘	마리엘	NNP	B-LOC
_	_	_	O
경제특구	경제특구	NNG	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
인천	인천	NNP	B-LOC
_	_	_	O
송도	송도	NNP	B-LOC
가	가	JKC	O
_	_	_	O
될지	되+ㄹ지	VV+EC	O
_	_	_	O
아니	아니	VCN	O
면	면	EC	O
_	_	_	O
북한	북한	NNP	B-LOC
의	의	JKG	O
_	_	_	O
개성	개성	NNP	B-LOC
공단	공단	NNG	I-LOC
이	이	JKC	O
_	_	_	O
될지	되+ㄹ지	VV+EC	O
_	_	_	O
기로	기로	NNG	O
에	에	JKB	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 오 대변인은 그러면서 “지금이라도 불출석 결정을 재고해 법치주의의 부름에 응답하길 바란다”고 촉구했다.
## <오:PER> 대변인은 그러면서 “지금이라도 불출석 결정을 재고해 법치주의의 부름에 응답하길 바란다”고 촉구했다.
오	오	NNP	B-PER
_	_	_	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
지금	지금	NNG	O
이라도	이라도	JX	O
_	_	_	O
불출석	불출석	NNG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
재고해	재고하+여	VV+EC	O
_	_	_	O
법치주의	법치주의	NNG	O
의	의	JKG	O
_	_	_	O
부름	부름	NNG	O
에	에	JKB	O
_	_	_	O
응답하	응답하	VV	O
길	기+ㄹ	ETN+JKO	O
_	_	_	O
바란다	바라+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
촉구	촉구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 용산사, 국립고궁박물관, 지우펀 거리, 예류해상공원, 스펀, 101 빌딩 등을 관광하고 먹거리가 가득한 대만의 야시장도 둘러본다.
## <용산사:LOC>, <국립고궁박물관:LOC>, <지우펀:LOC> 거리, <예류해상공원:LOC>, <스펀:LOC>, <101 빌딩:LOC> 등을 관광하고 먹거리가 가득한 <대만:ORG>의 야시장도 둘러본다.
용산사	용산사	NNP	B-LOC
,	,	SP	O
_	_	_	O
국립	국립	NNG	B-LOC
고궁박물관	고궁박물관	NNG	I-LOC
,	,	SP	O
_	_	_	O
지우	지우	NNG	B-LOC
펀	펀	NNG	I-LOC
_	_	_	O
거리	거리	NNG	O
,	,	SP	O
_	_	_	O
예류	예류	NNP	B-LOC
해상공원	해상공원	NNG	I-LOC
,	,	SP	O
_	_	_	O
스펀	스펀	NNG	B-LOC
,	,	SP	O
_	_	_	O
101	101	SN	B-LOC
_	_	_	I-LOC
빌딩	빌딩	NNG	I-LOC
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
관광하	관광하	VV	O
고	고	EC	O
_	_	_	O
먹거리	먹거리	NNG	O
가	가	JKS	O
_	_	_	O
가득한	가득하+ㄴ	VA+ETM	O
_	_	_	O
대만	대만	NNP	B-ORG
의	의	JKG	O
_	_	_	O
야시장	야시장	NNG	O
도	도	JX	O
_	_	_	O
둘러본다	둘러보+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 시 주석의 발언도 소개하지 않았고 “소통하기로 했다”가 결론이었다.
## <시:PER> 주석의 발언도 소개하지 않았고 “소통하기로 했다”가 결론이었다.
시	시	NNP	B-PER
_	_	_	O
주석	주석	NNG	O
