## 1
## 방학이라 한적한 모습이네요. 강남통신은 중학교 입학 시즌을 앞두고 강남구를 비롯 서울 시내에서 ‘교육 특구’로 꼽히는 5개 구 중학교의 학력 수준을 분석했습니다.
## 방학이라 한적한 모습이네요. <강남통신:ORG>은 중학교 입학 시즌을 앞두고 <강남구:LOC>를 비롯 <서울:LOC> 시내에서 ‘교육 특구’로 꼽히는 <5개:NOH> 구 중학교의 학력 수준을 분석했습니다.
방학	방학	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
한적한	한적하+ㄴ	VA+ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	VCP	O
네요	네요	EF	O
.	.	SF	O
_	_	_	O
강남	강남	NNP	B-ORG
통신	통신	NNG	I-ORG
은	은	JX	O
_	_	_	O
중학교	중학교	NNG	O
_	_	_	O
입학	입학	NNG	O
_	_	_	O
시즌	시즌	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
강남구	강남구	NNP	B-LOC
를	를	JKO	O
_	_	_	O
비롯	비롯	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
시내	시내	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
교육	교육	NNG	O
_	_	_	O
특구	특구	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
꼽히	꼽히	VV	O
는	는	ETM	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
구	구	NNG	O
_	_	_	O
중학교	중학교	NNG	O
의	의	JKG	O
_	_	_	O
학력	학력	NNG	O
_	_	_	O
수준	수준	NNG	O
을	을	JKO	O
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## 러시아는 이같은 의혹을 전면 부인했다.
## <러시아:ORG>는 이같은 의혹을 전면 부인했다.
러시아	러시아	NNP	B-ORG
는	는	JX	O
_	_	_	O
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
의혹	의혹	NNG	O
을	을	JKO	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
부인	부인하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 신영무 “법 농단하고 법치 운운 기가 막혀”
## <신영무:PER> “법 농단하고 법치 운운 기가 막혀”
신영무	신영무	NNP	B-PER
_	_	_	O
“	“	SS	O
법	법	NNG	O
_	_	_	O
농단	농단	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
법치	법치	NNG	O
_	_	_	O
운운	운운	NNG	O
_	_	_	O
기	기	NNG	O
가	가	JKS	O
_	_	_	O
막혀	막히+어	VV+EF	O
”	”	SS	O

## 4
## 박정희 대통령이 영남대 설립자가 된 배경에는 이런 사정이 있었다.
## <박정희:PER> 대통령이 <영남대:ORG> 설립자가 된 배경에는 이런 사정이 있었다.
박정희	박정희	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
영남대	영남대	NNP	B-ORG
_	_	_	O
설립자	설립자	NNG	O
가	가	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
배경	배경	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
사정	사정	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 세무사·광명시장 출신으로 윤리위원장에 내정된 백재현(3선·광명갑) 의원은 1년 뒤 예결위원장을 ‘예약’했다.
## 세무사·광명시장 출신으로 윤리위원장에 내정된 <백재현:PER>(<3선:NOH>·<광명갑:LOC>) 의원은 <1년:DAT> 뒤 예결위원장을 ‘예약’했다.
세무사	세무사	NNG	O
·	·	SP	O
광명시장	광명시장	NNP	O
_	_	_	O
출신	출신	NNG	O
으로	으로	JKB	O
_	_	_	O
윤리	윤리	NNG	O
위원장	위원장	NNG	O
에	에	JKB	O
_	_	_	O
내정된	내정되+ㄴ	VV+ETM	O
_	_	_	O
백재현	백재현	NNP	B-PER
(	(	SS	O
3	3	SN	B-NOH
선	선	NNG	I-NOH
·	·	SP	O
광명	광명	NNP	B-LOC
갑	갑	NNG	I-LOC
)	)	SS	O
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
예결	예결	NNG	O
위원장	위원장	NNG	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
예약	예약	NNG	O
’	’	SS	O
했	하+였	XSV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## [스포츠동아 오늘의 운세] 2016년 11월 1일 화요일 (음력 10월 2일)
## [<스포츠동아 오늘의 운세:POH>] <2016년 11월 1일:DAT> <화요일:DAT> (<음력 10월 2일:DAT>)
[	[	SS	O
스포츠	스포츠	NNG	B-POH
동아	동아	NNP	I-POH
_	_	_	I-POH
오늘	오늘	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
운세	운세	NNG	I-POH
]	]	SS	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
화요일	화요일	NNG	B-DAT
_	_	_	O
(	(	SS	O
음력	음력	NNG	B-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
2	2	SN	I-DAT
일	일	NNB	I-DAT
)	)	SS	O

## 7
## 도널드 트럼프 미국 대통령 당선인이 기자회견을 통해 “러시아가 대선 해킹의 배후였다고 생각한다”고 공식 인정했다.
## <도널드 트럼프:PER> <미국:ORG> 대통령 당선인이 기자회견을 통해 “<러시아:ORG>가 대선 해킹의 배후였다고 생각한다”고 공식 인정했다.
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
당선인	당선인	NNG	O
이	이	JKC	O
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
러시아	러시아	NNP	B-ORG
가	가	JKS	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
해킹	해킹	NNG	O
의	의	JKG	O
_	_	_	O
