## 1
## 국경을 넘어 캐나다 온타리오주와 퀘벡주의 노선까지 보유했다.
## 국경을 넘어 <캐나다:LOC> <온타리오주:LOC>와 <퀘벡주:LOC>의 노선까지 보유했다.
국경	국경	NNG	O
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
캐나다	캐나다	NNP	B-LOC
_	_	_	O
온타리오	온타리오	NNP	B-LOC
주	주	NNG	I-LOC
와	와	JC	O
_	_	_	O
퀘벡주	퀘벡주	NNP	B-LOC
의	의	JKG	O
_	_	_	O
노선	노선	NNG	O
까지	까지	JX	O
_	_	_	O
보유	보유하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 24일(한국시간) 새벽에는 벨기에의 KAA헨트와 유로파리그 32강 2차전도 가졌다.
## <24일:DAT>(<한국:LOC>시간) 새벽에는 <벨기에:ORG>의 <KAA헨트:ORG>와 <유로파리그:POH> <32강:NOH> <2차전:NOH>도 가졌다.
24	24	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
새벽	새벽	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
벨기에	벨기에	NNP	B-ORG
의	의	JKG	O
_	_	_	O
KAA	KAA	SL	B-ORG
헨트	헨트	NNP	I-ORG
와	와	JC	O
_	_	_	O
유로파	유로파	NNP	B-POH
리그	리그	NNG	I-POH
_	_	_	O
32	32	SN	B-NOH
강	강	NNG	I-NOH
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	I-NOH
도	도	JX	O
_	_	_	O
가	가지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘올드스쿨’ 홍종현 “이상형? ‘우결’ 유라”…왜?‘올드스쿨’ 배우 홍종현이 ‘우결’에서 가상 부부로 호흡을 맞춘 걸그룹 걸스데이 멤버 유라에게 미안한 마음을 전했다.
## ‘<올드스쿨:POH>’ <홍종현:PER> “이상형? ‘<우결:POH>’ <유라:PER>”…왜?‘<올드스쿨:POH>’ 배우 <홍종현:PER>이 ‘<우결:POH>’에서 가상 부부로 호흡을 맞춘 걸그룹 <걸스데이:ORG> 멤버 <유라:PER>에게 미안한 마음을 전했다.
‘	‘	SS	O
올드	올드	NNG	B-POH
스쿨	스쿨	NNG	I-POH
