## 1
## 두산베어스를 상징하는 D로고와 휠라 로고를 전면에 배치했으며, 밑단과 후드 부분에는 네이비 컬러의 트리밍 디테일로 심플한 멋을 살렸다.
## <두산베어스:ORG>를 상징하는 D로고와 <휠라:ORG> 로고를 전면에 배치했으며, 밑단과 후드 부분에는 네이비 컬러의 트리밍 디테일로 심플한 멋을 살렸다.
두산	두산	NNP	B-ORG
베어스	베어스	NNP	I-ORG
를	를	JKO	O
_	_	_	O
상징하	상징하	VV	O
는	는	ETM	O
_	_	_	O
D	D	SL	O
로고	로고	NNG	O
와	와	JC	O
_	_	_	O
휠라	휠라	NNP	B-ORG
_	_	_	O
로고	로고	NNG	O
를	를	JKO	O
_	_	_	O
전면	전면	NNG	O
에	에	JKB	O
_	_	_	O
배치	배치하	VV	O
했	였	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
밑단	밑단	NNG	O
과	과	JC	O
_	_	_	O
후드	후드	NNG	O
_	_	_	O
부분	부분	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
네이비	네이비	NNG	O
_	_	_	O
컬러	컬러	NNG	O
의	의	JKG	O
_	_	_	O
트리밍	트리밍	NNG	O
_	_	_	O
디테일	디테일	NNG	O
로	로	JKB	O
_	_	_	O
심플	심플	NNG	O
한	하+ㄴ	XSA+ETM	O
_	_	_	O
멋	멋	NNG	O
을	을	JKO	O
_	_	_	O
살	살리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 출고가는 1550만원 안팎으로 책정될 전망이다.
## 출고가는 <1550만원:MNY> 안팎으로 책정될 전망이다.
출고	출고	NNG	O
가	가	XSN	O
는	는	JX	O
_	_	_	O
1550	1550	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
안팎	안팎	NNG	O
으로	으로	JKB	O
_	_	_	O
책정될	책정되+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
