## 1
## 빅데이터 전문 분석업체 다음소프트에 의뢰해 2008년부터 2015년까지 소셜미디어(블로그)에 올라온 7억여 건의 문서를 분석한 결과 ‘엄마(어머니)’가 ‘무섭다’는 말의 연관 단어 순위 1위를 차지했다.
## 빅데이터 전문 분석업체 <다음소프트:ORG>에 의뢰해 <2008년부터:DUR> <2015년:DAT>까지 소셜미디어(블로그)에 올라온 <7억여 건:NOH>의 문서를 분석한 결과 ‘엄마(어머니)’가 ‘무섭다’는 말의 연관 단어 순위 <1위:NOH>를 차지했다.
빅	빅	NNG	O
데이터	데이터	NNG	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
분석	분석	NNG	O
업체	업체	NNG	O
_	_	_	O
다음	다음	NNG	B-ORG
소프트	소프트	NNG	I-ORG
에	에	JKB	O
_	_	_	O
의뢰해	의뢰하+여	VV+EC	O
_	_	_	O
2008	2008	SN	B-DUR
년	년	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
소셜	소셜	NNG	O
미디어	미디어	NNG	O
(	(	SS	O
블로그	블로그	NNG	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
올라온	올라오+ㄴ	VV+ETM	O
_	_	_	O
7	7	SN	B-NOH
억	억	NR	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
건	건	NNB	I-NOH
의	의	JKG	O
_	_	_	O
문서	문서	NNG	O
를	를	JKO	O
_	_	_	O
분석한	분석하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
‘	‘	SS	O
엄마	엄마	NNG	O
(	(	SS	O
어머니	어머니	NNG	O
)	)	SS	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
무섭	무섭	VA	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
말	말	NNG	O
의	의	JKG	O
_	_	_	O
연관	연관	NNG	O
_	_	_	O
단어	단어	NNG	O
_	_	_	O
순위	순위	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그러나 9일 대전 한화전 12-1 대승으로 연패를 끊은 뒤, 10일에는 신인투수들의 ‘깜짝 활약’에 힘입어 연승을 달렸다.
## 그러나 <9일:DAT> <대전 한화전:POH> <12-1:NOH> 대승으로 연패를 끊은 뒤, <10일:DAT>에는 신인투수들의 ‘깜짝 활약’에 힘입어 연승을 달렸다.
그러나	그러나	MAJ	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대전	대전	NNP	B-POH
_	_	_	I-POH
한화	한화	NNP	I-POH
전	전	XSN	I-POH
_	_	_	O
12	12	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
_	_	_	O
대승	대승	NNG	O
으로	으로	JKB	O
_	_	_	O
연패	연패	NNG	O
를	를	JKO	O
_	_	_	O
끊	끊	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
,	,	SP	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
신인	신인	NNG	O
투수	투수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
깜짝	깜짝	MAG	O
_	_	_	O
활약	활약	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
힘입	힘입	VV	O
어	어	EC	O
_	_	_	O
연승	연승	NNG	O
을	을	JKO	O
_	_	_	O
달	달리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 택시운송사업의 발전에 관한 법률 시행령에 따르면 승차 거부로 처음 적발되면 과태료 20만 원, 2번째는 자격정지 30일과 과태료 40만 원, 3번째는 ‘삼진아웃’으로 자격 취소에 과태료 60만 원을 물어야 한다.
## 택시운송사업의 발전에 관한 법률 시행령에 따르면 승차 거부로 처음 적발되면 과태료 <20만 원:MNY>, <2번째:NOH>는 자격정지 <30일:NOH>과 과태료 <40만 원:MNY>, <3번째:NOH>는 ‘삼진아웃’으로 자격 취소에 과태료 <60만 원:MNY>을 물어야 한다.
택시	택시	NNG	O
운송	운송	NNG	O
사업	사업	NNG	O
의	의	JKG	O
_	_	_	O
발전	발전	NNG	O
에	에	JKB	O
_	_	_	O
관한	관하+ㄴ	VV+ETM	O
_	_	_	O
법률	법률	NNG	O
_	_	_	O
시행령	시행령	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
승차	승차	NNG	O
_	_	_	O
거부	거부	NNG	O
로	로	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
적발되	적발되	VV	O
면	면	EC	O
_	_	_	O
과태료	과태료	NNG	O
_	_	_	O
20	20	SN	B-MNY
