## 1
## 미국이 69%, 일본이 26%를 차지한다.
## <미국:ORG>이 <69%:PNT>, <일본:ORG>이 <26%:PNT>를 차지한다.
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
69	69	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
이	이	JKS	O
_	_	_	O
26	26	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지한다	차지하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이날 무대에서 박보검은 피아노 반주와 함께 노래를 부르고 하트가 가득한 그림으로 팬들에게 우정을 전했다.
## 이날 무대에서 <박보검:PER>은 피아노 반주와 함께 노래를 부르고 하트가 가득한 그림으로 팬들에게 우정을 전했다.
이날	이날	NNG	O
_	_	_	O
무대	무대	NNG	O
에서	에서	JKB	O
_	_	_	O
박	박	NNP	B-PER
보검	보검	NNG	I-PER
은	은	JX	O
_	_	_	O
피아노	피아노	NNG	O
_	_	_	O
반주	반주	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
노래	노래	NNG	O
를	를	JKO	O
_	_	_	O
부르	부르	VV	O
고	고	EC	O
_	_	_	O
하트	하트	NNG	O
가	가	JKS	O
_	_	_	O
가득한	가득하+ㄴ	VA+ETM	O
_	_	_	O
그림	그림	NNG	O
으로	으로	JKB	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
우정	우정	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 3연승을 기록 중인 4위 성남과 지난 14일 FA컵 4강 단판경기에서 울산에 2-1로 승리하며 FA컵 결승에 오른 5위 서울의 경기는 18일 오후 4시 탄천종합운동장에서 진행된다.
## <3연승:NOH>을 기록 중인 <4위:NOH> <성남:ORG>과 지난 <14일:DAT> <FA컵:POH> <4강:NOH> 단판경기에서 <울산:ORG>에 <2-1:NOH>로 승리하며 <FA컵:POH> 결승에 <오:PER>른 <5위:NOH> <서울:ORG>의 경기는 <18일:DAT> <오후 4시:TIM> <탄천종합운동장:LOC>에서 진행된다.
3	3	SN	B-NOH
연승	연승	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록	기록	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
4	4	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
성남	성남	NNP	B-ORG
과	과	JC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
14	14	SN	B-DAT
