## 1
## 두 사람의 결혼에 대해 전해 들은 바 없다”며 “잘 만나고 있다는 이야기만 본인에게 들었을 뿐이다.
## <두 사람:NOH>의 결혼에 대해 전해 들은 바 없다”며 “잘 만나고 있다는 이야기만 본인에게 들었을 뿐이다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
의	의	JKG	O
_	_	_	O
결혼	결혼	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
전해	전하+여	VV+EC	O
_	_	_	O
들	듣	VV	O
은	은	ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
잘	잘	MAG	O
_	_	_	O
만나	만나	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
이야기	이야기	NNG	O
만	만	JX	O
_	_	_	O
본인	본인	NNG	O
에게	에게	JKB	O
_	_	_	O
들	듣	VV	O
었	었	EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 더불어민주당 안민석 의원은 14일 이른바 ‘최순실 특혜 연예인’ 의혹과 관련, 자신이 검찰에 특정 연예인들에 대한 수사를 의뢰했다는 내용의 루머를 부인했다.
## <더불어민주당:ORG> <안민석:PER> 의원은 <14일:DAT> 이른바 ‘<최순실:PER> 특혜 연예인’ 의혹과 관련, 자신이 검찰에 특정 연예인들에 대한 수사를 의뢰했다는 내용의 루머를 부인했다.
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
안민석	안민석	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이른바	이른바	MAG	O
_	_	_	O
‘	‘	SS	O
최순실	최순실	NNP	B-PER
_	_	_	O
특혜	특혜	NNG	O
_	_	_	O
연예인	연예인	NNG	O
’	’	SS	O
_	_	_	O
의혹	의혹	NNG	O
과	과	JKB	O
_	_	_	O
관련	관련	NNG	O
,	,	SP	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
검찰	검찰	NNG	O
에	에	JKB	O
_	_	_	O
특정	특정	NNG	O
_	_	_	O
연예인	연예인	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
의뢰	의뢰하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
내용	내용	NNG	O
의	의	JKG	O
_	_	_	O
루머	루머	NNG	O
를	를	JKO	O
_	_	_	O
부인	부인하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘야채가 신선한 집’ 채선당(대표 김익수)은 이러한 수요를 반영한 여름 신메뉴 ‘냉메밀 샤부샤부’를 선보이며 소비자들의 입맛을 사로잡고 있다.
## ‘야채가 신선한 집’ <채선당:ORG>(대표 <김익수:PER>)은 이러한 수요를 반영한 여름 신메뉴 ‘냉메밀 샤부샤부’를 선보이며 소비자들의 입맛을 사로잡고 있다.
‘	‘	SS	O
야채	야채	NNG	O
가	가	JKS	O
_	_	_	O
신선한	신선하+ㄴ	VA+ETM	O
_	_	_	O
집	집	NNG	O
’	’	SS	O
_	_	_	O
채선	채선	NNG	B-ORG
당	당	XSN	I-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
김	김	NNP	B-PER
익수	익수	NNG	I-PER
)	)	SS	O
은	은	JX	O
_	_	_	O
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
수요	수요	NNG	O
를	를	JKO	O
_	_	_	O
반영한	반영하+ㄴ	VV+ETM	O
_	_	_	O
여름	여름	NNG	O
_	_	_	O
신	신	XPN	O
메뉴	메뉴	NNG	O
_	_	_	O
‘	‘	SS	O
냉	냉	NNG	O
메밀	메밀	NNG	O
_	_	_	O
샤부샤부	샤부샤부	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
선보이	선보이	VV	O
며	며	EC	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
입맛	입맛	NNG	O
을	을	JKO	O
_	_	_	O
사로잡	사로잡	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 〈안희창­구성재기자〉
## 〈<안희창:PER>­<구성재:PER>기자〉
〈	〈	SS	O
안희창	안희창	NNP	B-PER
­	­	SS	O
구성재	구성재	NNG	B-PER
기자	기자	NNG	O
〉	〉	SS	O

## 5
## 그러나 영주산은 올라야 하는 오름이다.
## 그러나 <영주산:LOC>은 올라야 하는 오름이다.
그러나	그러나	MAJ	O
_	_	_	O
영주산	영주산	NNP	B-LOC
