## 1
## 경찰은 지난 5일 마크 리퍼트(42) 주한 미국대사를 피습한 김기종(55) 우리마당 대표의 사무실에 대해 압수수색을 진행했다.
## 경찰은 지난 <5일:DAT> <마크 리퍼트:PER>(<42:NOH>) 주한 미국대사를 피습한 <김기종:PER>(<55:NOH>) <우리마당:ORG> 대표의 사무실에 대해 압수수색을 진행했다.
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
마크	마크	NNP	B-PER
_	_	_	I-PER
리퍼트	리퍼트	NNP	I-PER
(	(	SS	O
42	42	SN	B-NOH
)	)	SS	O
_	_	_	O
주한	주한	NNG	O
_	_	_	O
미국	미국	NNP	O
대사	대사	NNG	O
를	를	JKO	O
_	_	_	O
피습한	피습하+ㄴ	VV+ETM	O
_	_	_	O
김기종	김기종	NNP	B-PER
(	(	SS	O
55	55	SN	B-NOH
)	)	SS	O
_	_	_	O
우리	우리	NP	B-ORG
마당	마당	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
의	의	JKG	O
_	_	_	O
사무실	사무실	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
압수	압수	NNG	O
수색	수색	NNG	O
을	을	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 유능한 한국 지도자를 찾던 장쑤는 최근 전북현대 최강희(57) 감독에게 눈길을 주기도 했지만, 결국 최초 접촉 후 1년 만에 막대한 ‘황사머니’를 앞세워 최 감독의 마음을 사로잡는 데 성공했다.
## 유능한 <한국:ORG> 지도자를 찾던 <장쑤:ORG>는 최근 <전북현대:ORG> <최강희:PER>(<57:NOH>) 감독에게 눈길을 주기도 했지만, 결국 최초 접촉 후 <1년:DUR> 만에 막대한 ‘황사머니’를 앞세워 <최:PER> 감독의 마음을 사로잡는 데 성공했다.
유능한	유능하+ㄴ	VA+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
지도자	지도자	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
던	던	ETM	O
_	_	_	O
장쑤	장쑤	NNG	B-ORG
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
전북	전북	NNP	B-ORG
현대	현대	NNP	I-ORG
_	_	_	O
최강희	최강희	NNP	B-PER
(	(	SS	O
57	57	SN	B-NOH
)	)	SS	O
_	_	_	O
감독	감독	NNG	O
에게	에게	JKB	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
최초	최초	NNG	O
_	_	_	O
