## 1
## 예고 없이 닥친 위기 앞에 주춤거리며 소통에 실패하는 바람에 벼랑 끝까지 내몰렸던 5개월 전 광우병 사태에 대한 반성에서였다.
## 예고 없이 닥친 위기 앞에 주춤거리며 소통에 실패하는 바람에 벼랑 끝까지 내몰렸던 <5개월:NOH> 전 광우병 사태에 대한 반성에서였다.
예고	예고	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
닥친	닥치+ㄴ	VV+ETM	O
_	_	_	O
위기	위기	NNG	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
주춤거리	주춤거리	VV	O
며	며	EC	O
_	_	_	O
소통	소통	NNG	O
에	에	JKB	O
_	_	_	O
실패하	실패하	VV	O
는	는	ETM	O
_	_	_	O
바람	바람	NNB	O
에	에	JKB	O
_	_	_	O
벼랑	벼랑	NNG	O
_	_	_	O
끝	끝	NNG	O
까지	까지	JX	O
_	_	_	O
내몰	내몰리	VV	O
렸	었	EP	O
던	던	ETM	O
_	_	_	O
5	5	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
광우병	광우병	NNG	O
_	_	_	O
사태	사태	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
반성	반성	NNG	O
에서	에서+이	JKB+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 메르스 부실대처로 방미 연기 지난해 세월호 침몰 앞에 우왕좌왕했던 박근혜 정부는 메르스 사태에서는 무엇이 달라졌나. 바레인에서 농작물을 재배하던 1번 환자에 대해 병원 의사가 질병관리본부에 확진 검사를 요청했으나 질병관리본부는 “바레인은 메르스 발생국이 아니다”며 거부했다.
## 메르스 부실대처로 방미 연기 지난해 세월호 침몰 앞에 우왕좌왕했던 박근혜 정부는 메르스 사태에서는 무엇이 달라졌나. 바레인에서 농작물을 재배하던 <1번:NOH> 환자에 대해 병원 의사가 질병관리본부에 확진 검사를 요청했으나 질병관리본부는 “바레인은 메르스 발생국이 아니다”며 거부했다.
메르스	메르스	NNG	O
_	_	_	O
부실	부실	NNG	O
대처	대처	NNG	O
로	로	JKB	O
_	_	_	O
방	방	NNG	O
미	미	NNP	O
_	_	_	O
연기	연기	NNG	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
세월호	세월호	NNP	O
_	_	_	O
침몰	침몰	NNG	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
우왕좌왕	우왕좌왕하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
박근혜	박근혜	NNP	O
_	_	_	O
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
메르스	메르스	NNG	O
_	_	_	O
사태	사태	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
무엇	무엇	NP	O
이	이	JKS	O
_	_	_	O
달라	달라지	VV	O
졌	었	EP	O
나	나	EF	O
.	.	SF	O
_	_	_	O
바레인	바레인	NNP	O
에서	에서	JKB	O
_	_	_	O
농작물	농작물	NNG	O
을	을	JKO	O
_	_	_	O
재배하	재배하	VV	O
던	던	ETM	O
_	_	_	O
1	1	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
환자	환자	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
의사	의사	NNG	O
가	가	JKS	O
_	_	_	O
질병	질병	NNG	O
관리	관리	NNG	O
본부	본부	NNG	O
에	에	JKB	O
_	_	_	O
확진	확진	NNG	O
_	_	_	O
검사	검사	NNG	O
를	를	JKO	O
_	_	_	O
요청	요청하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
질병	질병	NNG	O
관리	관리	NNG	O
본부	본부	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
바레인	바레인	NNP	O
은	은	JX	O
_	_	_	O
