## 1
## 구에 따르면 이번에 청소를 재개한 17일부터 수거되고 있는 평일 쓰레기양도 3t에서 1t으로 크게 줄었다.
## 구에 따르면 이번에 청소를 재개한 <17일:DAT>부터 수거되고 있는 평일 쓰레기양도 <3t:NOH>에서 <1t:NOH>으로 크게 줄었다.
구	구	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
청소	청소	NNG	O
를	를	JKO	O
_	_	_	O
재개한	재개하+ㄴ	VV+ETM	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
수거	수거	NNG	O
되	되	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
평일	평일	NNG	O
_	_	_	O
쓰레기	쓰레기	NNG	O
양	양	NNG	O
도	도	JX	O
_	_	_	O
3	3	SN	B-NOH
t	t	SL	I-NOH
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
t	t	SL	I-NOH
으로	으로	JKB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 기온 떨어져 부상방지·컨디션조절 난항NC·KIA·LG·kt 훈련일정도 취소·변경 강풍에 진눈깨비까지? 미국 애리조나주 투산에서 전지훈련 중인 NC 선수단은 2일(한국시간) 숙소를 나서다가 깜짝 놀랐다.
## 기온 떨어져 부상방지·컨디션조절 난항<NC:ORG>·<KIA:ORG>·<LG:ORG>·<kt:ORG> 훈련일정도 취소·변경 강풍에 진눈깨비까지? <미국:LOC> <애리조나주 투산:LOC>에서 전지훈련 중인 <NC 선수단:ORG>은 <2일:DAT>(<한국:LOC>시간) 숙소를 나서다가 깜짝 놀랐다.
기온	기온	NNG	O
_	_	_	O
떨어져	떨어지+어	VV+EC	O
_	_	_	O
부상	부상	NNG	O
방지	방지	NNG	O
·	·	SP	O
컨디션	컨디션	NNG	O
조절	조절	NNG	O
_	_	_	O
난항	난항	NNG	O
NC	NC	SL	B-ORG
·	·	SP	O
KIA	KIA	SL	B-ORG
·	·	SP	O
LG	LG	SL	B-ORG
·	·	SP	O
kt	kt	SL	B-ORG
_	_	_	O
훈련	훈련	NNG	O
일정	일정	NNG	O
도	도	JX	O
_	_	_	O
취소	취소	NNG	O
·	·	SP	O
변경	변경	NNG	O
_	_	_	O
강풍	강풍	NNG	O
에	에	JKB	O
_	_	_	O
진눈깨비	진눈깨비	NNG	O
까지	까지	JX	O
?	?	SF	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
애리조나주	애리조나주	NNP	B-LOC
_	_	_	I-LOC
투산	투산	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
전지훈련	전지훈련	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
NC	NC	SL	B-ORG
_	_	_	I-ORG
선수단	선수단	NNG	I-ORG
은	은	JX	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
숙소	숙소	NNG	O
를	를	JKO	O
_	_	_	O
나서	나서	VV	O
다가	다가	EC	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
놀랐	놀라+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 개회식에서는 이번 세미나의 주제인 ‘KECA 별이 되다’를 형상화한 KECA 조형물에 전국 1만 5천여 전기공사 기업인의 염원을 담은 21개의 별을 시도회장과 중앙회 회장이 점등하는 합성식(合星式) 행사를 진행하였다.
## 개회식에서는 이번 세미나의 주제인 ‘<KECA:ORG> 별이 되다’를 형상화한 <KECA:ORG> 조형물에 전국 <1만 5천여 전기공사:NOH> 기업인의 염원을 담은 <21개:NOH>의 별을 시도회장과 중앙회 회장이 점등하는 합성식(合星式) 행사를 진행하였다.
개회식	개회식	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
세미나	세미나	NNG	O
의	의	JKG	O
_	_	_	O
주제	주제	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
KECA	KECA	SL	B-ORG
_	_	_	O
별	별	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
다	다	EF	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
형상화한	형상화하+ㄴ	VV+ETM	O
_	_	_	O
KECA	KECA	SL	B-ORG
_	_	_	O
조형	조형	NNG	O
물	물	XSN	O
에	에	JKB	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
