## 1
## 성완종 리스트 파문이 불거지자 선거전략을 바꾼 것이다.
## <성완종 리스트:POH> 파문이 불거지자 선거전략을 바꾼 것이다.
성완종	성완종	NNP	B-POH
_	_	_	I-POH
리스트	리스트	NNG	I-POH
_	_	_	O
파문	파문	NNG	O
이	이	JKS	O
_	_	_	O
불거지	불거지	VV	O
자	자	EC	O
_	_	_	O
선거	선거	NNG	O
전략	전략	NNG	O
을	을	JKO	O
_	_	_	O
바꾼	바꾸+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 6월8일 방송된 JTBC ‘냉장고를 부탁해’에서는 ‘흥을 돋우는 달달한 간식’을 주제로 15분 냉장고 요리 대결을 펼쳤다.
## <6월8일:DAT> 방송된 <JTBC:ORG> ‘<냉장고를 부탁해:POH>’에서는 ‘흥을 돋우는 달달한 간식’을 주제로 <15분:DUR> 냉장고 요리 대결을 펼쳤다.
6	6	SN	B-DAT
월	월	NNB	I-DAT
8	8	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
JTBC	JTBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
냉장고	냉장고	NNG	B-POH
를	를	JKO	I-POH
_	_	_	I-POH
부탁해	부탁하+여	VV+EF	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
흥	흥	NNG	O
을	을	JKO	O
_	_	_	O
돋우	돋우	VV	O
는	는	ETM	O
_	_	_	O
달달한	달달하+ㄴ	VV+ETM	O
_	_	_	O
간식	간식	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
주제	주제	NNG	O
로	로	JKB	O
_	_	_	O
15	15	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
냉장고	냉장고	NNG	O
_	_	_	O
요리	요리	NNG	O
_	_	_	O
대결	대결	NNG	O
을	을	JKO	O
_	_	_	O
펼	펼치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
