## 1
## 강원도 원주시가 2005년에 만든 ‘꿩돌이’도 그런 경우다.
## <강원도:LOC> <원주시:LOC>가 <2005년:DAT>에 만든 ‘<꿩돌이:POH>’도 그런 경우다.
강원도	강원도	NNP	B-LOC
_	_	_	O
원주시	원주시	NNP	B-LOC
가	가	JKS	O
_	_	_	O
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
꿩	꿩	NNG	B-POH
돌	돌	NNG	I-POH
이	이	JKS	I-POH
’	’	SS	O
도	도	JX	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
경우	경우+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 2013년 어획량(97만2000kg)에 비해서는 20만3000kg이 늘었지만 연평도 어민들의 기대에는 한참 미치지 못했다.
## <2013년:DAT> 어획량(<97만2000kg:NOH>)에 비해서는 <20만3000kg:NOH>이 늘었지만 <연평도:LOC> 어민들의 기대에는 한참 미치지 못했다.
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
어획량	어획량	NNG	O
(	(	SS	O
97	97	SN	B-NOH
만	만	NR	I-NOH
2000	2000	SN	I-NOH
kg	kg	SL	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
비해서	비하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
20	20	SN	B-NOH
만	만	NR	I-NOH
3000	3000	SN	I-NOH
kg	kg	SL	I-NOH
이	이	JKS	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
연평도	연평도	NNP	B-LOC
_	_	_	O
어민	어민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
기대	기대	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
한참	한참	NNG	O
_	_	_	O
미치	미치	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 『협률사패가 지나간 후에는 마을에서 꼭 한두 명이 없어졌어요.
## 『협률사패가 지나간 후에는 마을에서 꼭 <한:NOH><두 명:NOH>이 없어졌어요.
『	『	SS	O
협률사	협률사	NNP	O
패	패	NNG	O
가	가	JKS	O
_	_	_	O
지나간	지나가+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
마을	마을	NNG	O
에서	에서	JKB	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
한두	한두	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
없어	없어지	VV	O
졌	었	EP	O
어요	어요	EF	O
.	.	SF	O

## 4
## GS칼텍스는 1986년 전남여수에 기술연구소를 설립한 이래, 주력 사업인 정유 제품의 품질 개선과 윤활유·폴리머 신제품 개발 등을 통해 최고 수준의 제품 경쟁력을 확보해 왔다.
## <GS칼텍스:ORG>는 <1986년:DAT> <전남:LOC><여수:LOC>에 기술연구소를 설립한 이래, 주력 사업인 정유 제품의 품질 개선과 윤활유·폴리머 신제품 개발 등을 통해 최고 수준의 제품 경쟁력을 확보해 왔다.
GS	GS	SL	B-ORG
칼텍스	칼텍스	NNP	I-ORG
는	는	JX	O
_	_	_	O
1986	1986	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
