## 1
## 도올 김용옥, 역사 교과서 국정화 맹비난 “朴대통령 왜 이렇게 집착하나”
## <도올 김용옥:PER>, 역사 교과서 국정화 맹비난 “<朴:PER>대통령 왜 이렇게 집착하나”
도올	도올	NNP	B-PER
_	_	_	I-PER
김용옥	김용옥	NNP	I-PER
,	,	SP	O
_	_	_	O
역사	역사	NNG	O
_	_	_	O
교과서	교과서	NNG	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
_	_	_	O
맹	맹	XPN	O
비난	비난	NNG	O
_	_	_	O
“	“	SS	O
朴	朴	SH	B-PER
대통령	대통령	NNG	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
집착	집착	NNG	O
하나	하나	NNP	O
”	”	SS	O

## 2
## -1순위서만 1071가구모집에 2443명 몰리며 평균 2.28대 1 나와-남양산역 도보생활권, 65㎡,72㎡,78㎡ 중소형 틈새평면,특화 설계상품 등으로 수요자들 호평-당첨자 발표 4/2일, 계약은 4/7일(화)~4/9일(목), 3일간 체결경남 양산신도시에서 선보인 ‘양산신도시 3차 EG the1’에 수 많은 청약자가 몰리면서 예견된 청약 성공을 거뒀다.
## -<1순위:NOH>서만 <1071가구:NOH>모집에 <2443명:NOH> 몰리며 평균 <2.28대 1:NOH> 나와-<남양산역:LOC> 도보생활권, <65㎡:NOH>,<72㎡:NOH>,<78㎡:NOH> 중소형 틈새평면,특화 설계상품 등으로 수요자들 호평-당첨자 발표 <4/2일:DAT>, 계약은 <4/7일:DAT>(<화:DAT>)~<4/9일:DAT>(<목:DAT>), <3일간:DUR> 체결<경남:LOC> <양산신도시:LOC>에서 선보인 ‘<양산신도시 3차 EG the1:POH>’에 수 많은 청약자가 몰리면서 예견된 청약 성공을 거뒀다.
-	-	SO	O
1	1	SN	B-NOH
순위	순위	NNG	I-NOH
서	서	JKS	O
만	만	JX	O
_	_	_	O
1071	1071	SN	B-NOH
가구	가구	NNG	I-NOH
모집	모집	NNG	O
에	에	JKB	O
_	_	_	O
2443	2443	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
몰리	몰리	VV	O
며	며	EC	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
2.28	2.28	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	I-NOH
1	1	SN	I-NOH
_	_	_	O
나	나오	VV	O
와	아	EC	O
-	-	SO	O
남양	남양	NNP	B-LOC
산역	산역	NNG	I-LOC
_	_	_	O
도보	도보	NNG	O
생활권	생활권	NNG	O
,	,	SP	O
_	_	_	O
65	65	SN	B-NOH
㎡	㎡	SW	I-NOH
,	,	SP	O
72	72	SN	B-NOH
㎡	㎡	SW	I-NOH
,	,	SP	O
78	78	SN	B-NOH
㎡	㎡	SW	I-NOH
_	_	_	O
중소형	중소형	NNG	O
_	_	_	O
틈새	틈새	NNG	O
평면	평면	NNG	O
,	,	SP	O
특화	특화	NNG	O
_	_	_	O
설계	설계	NNG	O
상품	상품	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
수요자	수요자	NNG	O
들	들	XSN	O
_	_	_	O
호평	호평	NNG	O
-	-	SO	O
당첨자	당첨자	NNG	O
_	_	_	O
발표	발표	NNG	O
_	_	_	O
4	4	SN	B-DAT
/	/	SP	I-DAT
2	2	SN	I-DAT
일	일	NNB	I-DAT
,	,	SP	O
_	_	_	O
계약	계약	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-DAT
/	/	SP	I-DAT
7	7	SN	I-DAT
일	일	NNB	I-DAT
(	(	SS	O
화	화	NNG	B-DAT
)	)	SS	O
~	~	SO	O
4	4	SN	B-DAT
/	/	SP	I-DAT
9	9	SN	I-DAT
일	일	NNB	I-DAT
(	(	SS	O
목	목	NNG	B-DAT
)	)	SS	O
,	,	SP	O
_	_	_	O
3	3	SN	B-DUR
