## 1
## 수백 년 역사를 아우르는 거장들의 미술작품들이 마치 실제 눈앞에 있는 듯한 느낌을 줘요. 또 제임스 카메론, 팀 버튼 감독이 사용한 것으로 알려진 ‘차원화 기술(고화질 입체 변환 기술)’의 결합을 통해 박물관 내부의 원근감도 완벽하게 재현됐어요. 차원화 기술이란 원근법을 향상시켜 관객들이 화면으로 빠져드는 느낌을 받게 하는 제작 기술입니다.
## <수백 년:DUR> 역사를 아우르는 거장들의 미술작품들이 마치 실제 눈앞에 있는 듯한 느낌을 줘요. 또 <제임스 카메론:PER>, <팀 버튼:PER> 감독이 사용한 것으로 알려진 ‘차원화 기술(고화질 입체 변환 기술)’의 결합을 통해 박물관 내부의 원근감도 완벽하게 재현됐어요. 차원화 기술이란 원근법을 향상시켜 관객들이 화면으로 빠져드는 느낌을 받게 하는 제작 기술입니다.
수백	수백	NR	B-DUR
_	_	_	I-DUR
년	년	NNB	I-DUR
_	_	_	O
역사	역사	NNG	O
를	를	JKO	O
_	_	_	O
아우르	아우르	VV	O
는	는	ETM	O
_	_	_	O
거장	거장	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
미술	미술	NNG	O
작품	작품	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
마치	마치	MAG	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
눈앞	눈앞	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
듯한	듯하+ㄴ	VX+ETM	O
_	_	_	O
느낌	느낌	NNG	O
을	을	JKO	O
_	_	_	O
줘요	주+어요	VV+EF	O
.	.	SF	O
_	_	_	O
또	또	MAG	O
_	_	_	O
제임스	제임스	NNP	B-PER
_	_	_	I-PER
카메론	카메론	NNP	I-PER
,	,	SP	O
_	_	_	O
팀	팀	NNG	B-PER
_	_	_	I-PER
버튼	버튼	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
사용한	사용하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
차원	차원	NNG	O
화	화	XSN	O
_	_	_	O
기술	기술	NNG	O
(	(	SS	O
고화질	고화질	NNG	O
_	_	_	O
입체	입체	NNG	O
_	_	_	O
변환	변환	NNG	O
_	_	_	O
기술	기술	NNG	O
)	)	SS	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
결합	결합	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
박물관	박물관	NNG	O
_	_	_	O
내부	내부	NNG	O
의	의	JKG	O
_	_	_	O
원근감	원근감	NNG	O
도	도	JX	O
_	_	_	O
완벽하	완벽하	VA	O
게	게	EC	O
_	_	_	O
재현	재현되	VV	O
됐	었	EP	O
어요	어요	EF	O
.	.	SF	O
_	_	_	O
차원	차원	NNG	O
화	화	XSN	O
_	_	_	O
기술	기술	NNG	O
이란	이란	JX	O
_	_	_	O
원근법	원근법	NNG	O
을	을	JKO	O
_	_	_	O
향상	향상	NNG	O
시켜	시키+어	XSV+EC	O
_	_	_	O
관객	관객	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
화면	화면	NNG	O
으로	으로	JKB	O
_	_	_	O
빠져드	빠져들	VV	O
는	는	ETM	O
_	_	_	O
느낌	느낌	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
게	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
제작	제작	NNG	O
_	_	_	O
기술	기술	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 2
## 도이는 “타투는 부가가치가 높은 산업이고 새로운 한류문화로 발전시킬 가능성도 충분한데 법적으로 막혀 있다.
## <도이:PER>는 “타투는 부가가치가 높은 산업이고 새로운 한류문화로 발전시킬 가능성도 충분한데 법적으로 막혀 있다.
도이	도이	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
타투	타투	NNP	O
는	는	JX	O
_	_	_	O
부가	부가	NNG	O
가치	가치	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
산업	산업	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
한류	한류	NNG	O
문화	문화	NNG	O
로	로	JKB	O
_	_	_	O
발전	발전	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
도	도	JX	O
_	_	_	O
충분한데	충분하+ㄴ데	VA+EC	O
_	_	_	O
법적	법적	NNG	O
으로	으로	JKB	O
_	_	_	O
막혀	막히+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 전북대 69년의 역사를 돌아보고 대학과 지역사회의 역량을 결집해, 100년을 향한 포부와 비전을 제시할 수 있는 사업들을 계획하고 있다.
## <전북대:ORG> <69년:DUR>의 역사를 돌아보고 대학과 지역사회의 역량을 결집해, <100년:DUR>을 향한 포부와 비전을 제시할 수 있는 사업들을 계획하고 있다.
전북대	전북대	NNP	B-ORG
_	_	_	O
69	69	SN	B-DUR
년	년	NNB	I-DUR
의	의	JKG	O
_	_	_	O
역사	역사	NNG	O
를	를	JKO	O
_	_	_	O
돌아보	돌아보	VV	O
고	고	EC	O
_	_	_	O
대학	대학	NNG	O
과	과	JC	O
_	_	_	O
지역사회	지역사회	NNG	O
의	의	JKG	O
_	_	_	O
역량	역량	NNG	O
을	을	JKO	O
_	_	_	O
결집해	결집하+여	VV+EC	O
,	,	SP	O
_	_	_	O
100	100	SN	B-DUR
년	년	NNB	I-DUR
을	을	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
_	_	_	O
포부	포부	NNG	O
와	와	JC	O
_	_	_	O
비전	비전	NNG	O
을	을	JKO	O
_	_	_	O
제시할	제시하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
사업	사업	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
계획하	계획하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 승객들은 이날 밤10시30분쯤 1인당 5만원씩의 보상금및 귀향버스 제공 등 회사측의 보상제안을 받아들인 뒤 귀가했다.
## 승객들은 이날 <밤10시30분:TIM>쯤 <1인:NOH>당 <5만원:MNY>씩의 보상금및 귀향버스 제공 등 회사측의 보상제안을 받아들인 뒤 귀가했다.
승객	승객	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
밤	밤	NNG	B-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
쯤	쯤	XSN	O
_	_	_	O
1	1	SN	B-NOH
인	인	NNG	I-NOH
당	당	XSN	O
_	_	_	O
5	5	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
씩	씩	XSN	O
의	의	JKG	O
_	_	_	O
보상금	보상금	NNG	O
및	및	MAG	O
_	_	_	O
귀향	귀향	NNG	O
버스	버스	NNG	O
_	_	_	O
제공	제공	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
회사	회사	NNG	O
측	측	NNB	O
의	의	JKG	O
_	_	_	O
보상	보상	NNG	O
제안	제안	NNG	O
을	을	JKO	O
_	_	_	O
받아들인	받아들이+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
귀가	귀가하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 연세대 측은 “장 씨가 학사경고를 3회 받고도 제적당하지 않았다”고 인정하면서도 “당시 관례에 따라 체육특기생으로 입학한 학생은 학사경고를 3회 받더라도 이후 학점 이수를 통해 졸업요건을 충족하면 졸업을 시켰다”며 문제없다는 입장을 밝혔다.
## <연세대:ORG> 측은 “<장:PER> 씨가 학사경고를 <3회:NOH> 받고도 제적당하지 않았다”고 인정하면서도 “당시 관례에 따라 체육특기생으로 입학한 학생은 학사경고를 <3회:NOH> 받더라도 이후 학점 이수를 통해 졸업요건을 충족하면 졸업을 시켰다”며 문제없다는 입장을 밝혔다.
연세대	연세대	NNP	B-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
장	장	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
학사	학사	NNG	O
경고	경고	NNG	O
를	를	JKO	O
_	_	_	O
3	3	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
받	받	VV	O
고도	고도	EC	O
_	_	_	O
제적당하	제적당하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
인정하	인정하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
“	“	SS	O
당시	당시	NNG	O
_	_	_	O
관례	관례	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
체육	체육	NNG	O
특기	특기	NNG	O
생	생	XSN	O
으로	으로	JKB	O
_	_	_	O
입학한	입학하+ㄴ	VV+ETM	O
_	_	_	O
학생	학생	NNG	O
은	은	JX	O
_	_	_	O
학사	학사	NNG	O
경고	경고	NNG	O
를	를	JKO	O
_	_	_	O
3	3	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
받	받	VV	O
더라도	더라도	EC	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
학점	학점	NNG	O
_	_	_	O
이수	이수	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
졸업	졸업	NNG	O
요건	요건	NNG	O
을	을	JKO	O
_	_	_	O
충족하	충족하	VV	O
면	면	EC	O
_	_	_	O
졸업	졸업	NNG	O
을	을	JKO	O
_	_	_	O
시	시키	VV	O
켰	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
문제	문제	NNG	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## “박 위원장이 다양한 이야기를 듣지 않아 판단에 문제가 생긴다”는 말도 했다.
## “<박:PER> 위원장이 다양한 이야기를 듣지 않아 판단에 문제가 생긴다”는 말도 했다.
“	“	SS	O
박	박	NNP	B-PER
_	_	_	O
위원장	위원장	NNG	O
이	이	JKS	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
듣	듣	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
판단	판단	NNG	O
에	에	JKB	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
생긴다	생기+ㄴ다	VV+EF	O
”	”	SS	O
는	는	JX	O
