## 1
## 다만 석유제품과 석유화학 부문이 유가 안정과 주요국의 수요 증가로 올해보다 각각 7.8%, 2.7% 수출이 증가할 것으로 보인다.
## 다만 석유제품과 석유화학 부문이 유가 안정과 주요국의 수요 증가로 올해보다 각각 <7.8%:PNT>, <2.7%:PNT> 수출이 증가할 것으로 보인다.
다만	다만	MAG	O
_	_	_	O
석유	석유	NNG	O
제품	제품	NNG	O
과	과	JC	O
_	_	_	O
석유화학	석유화학	NNG	O
_	_	_	O
부문	부문	NNG	O
이	이	JKS	O
_	_	_	O
유가	유가	NNG	O
_	_	_	O
안정	안정	NNG	O
과	과	JC	O
_	_	_	O
주요	주요	NNG	O
국	국	XSN	O
의	의	JKG	O
_	_	_	O
수요	수요	NNG	O
_	_	_	O
증가	증가	NNG	O
로	로	JKB	O
_	_	_	O
올해	올해	NNG	O
보다	보다	JKB	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
7.8	7.8	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
2.7	2.7	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
수출	수출	NNG	O
이	이	JKS	O
_	_	_	O
증가할	증가하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 「승용차 구입후 생활의 변화」에 대해서는 생활비가 많이 든다(65.3%)는 대답이 가장 많았고, 여행기회가 많아졌다(44.0%), 술을 적게 먹게 되었다(42.9%), 귀가시간이 빨라졌다(27.3%)등의 순이었다.
## 「승용차 구입후 생활의 변화」에 대해서는 생활비가 많이 든다(<65.3%:PNT>)는 대답이 가장 많았고, 여행기회가 많아졌다(<44.0%:PNT>), 술을 적게 먹게 되었다(<42.9%:PNT>), 귀가시간이 빨라졌다(<27.3%:PNT>)등의 순이었다.
「	「	SS	O
승용차	승용차	NNG	O
_	_	_	O
구입	구입	NNG	O
후	후	NNG	O
_	_	_	O
생활	생활	NNG	O
의	의	JKG	O
_	_	_	O
변화	변화	NNG	O
」	」	SS	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
생활비	생활비	NNG	O
가	가	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
든다	들+ㄴ다	VV+EF	O
(	(	SS	O
65.3	65.3	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
는	는	JX	O
_	_	_	O
대답	대답	NNG	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
여행	여행	NNG	O
기회	기회	NNG	O
가	가	JKS	O
_	_	_	O
많아	많아지	VV	O
졌	었	EP	O
다	다	EF	O
(	(	SS	O
44.0	44.0	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
술	술	NNG	O
을	을	JKO	O
_	_	_	O
적	적	VA	O
게	게	EC	O
_	_	_	O
먹	먹	VV	O
게	게	EC	O
