## 1
## 내년 4월쯤엔 외국연예인들을 초청해 국내공연을 주최할 계획이다.
## 내년 <4월:DAT>쯤엔 외국연예인들을 초청해 국내공연을 주최할 계획이다.
내년	내년	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
쯤	쯤	XSN	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
외국	외국	NNG	O
연예인	연예인	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
초청해	초청하+여	VV+EC	O
_	_	_	O
국내	국내	NNG	O
공연	공연	NNG	O
을	을	JKO	O
_	_	_	O
주최할	주최하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 금융당국의 보험사에 대한 과징금 확대는 지난해 10월 내놓은 ‘보험 산업 경쟁력 강화 로드맵’ 발표에 따른 후속조치다.
## 금융당국의 보험사에 대한 과징금 확대는 지난해 <10월:DAT> 내놓은 ‘보험 산업 경쟁력 강화 로드맵’ 발표에 따른 후속조치다.
금융	금융	NNG	O
당국	당국	NNG	O
의	의	JKG	O
_	_	_	O
보험	보험	NNG	O
사	사	XSN	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
과징금	과징금	NNG	O
_	_	_	O
확대	확대	NNG	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
내놓	내놓	VV	O
은	은	ETM	O
_	_	_	O
‘	‘	SS	O
보험	보험	NNG	O
_	_	_	O
산업	산업	NNG	O
_	_	_	O
경쟁력	경쟁력	NNG	O
_	_	_	O
강화	강화	NNG	O
_	_	_	O
로드맵	로드맵	NNG	O
’	’	SS	O
_	_	_	O
발표	발표	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
후속	후속	NNG	O
조치	조치+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## [매거진M] 베를린 영화제 개막, 디에고 루나 "트럼프의 장벽을 부수자"
## [<매거진M:POH>] <베를린 영화제:POH> 개막, <디에고 루나:PER> "<트럼프:PER>의 장벽을 부수자"
[	[	SS	O
매거진	매거진	NNG	B-POH
M	M	SL	I-POH
]	]	SS	O
_	_	_	O
베를린	베를린	NNP	B-POH
_	_	_	I-POH
영화제	영화제	NNG	I-POH
_	_	_	O
개막	개막	NNG	O
,	,	SP	O
_	_	_	O
디에고	디에고	NNP	B-PER
_	_	_	I-PER
루나	루나	NNP	I-PER
_	_	_	O
"	"	SS	O
트럼프	트럼프	NNP	B-PER
의	의	JKG	O
_	_	_	O
장벽	장벽	NNG	O
을	을	JKO	O
_	_	_	O
부수	부수	VV	O
자	자	EF	O
"	"	SS	O

## 4
## 안 씨는 “친선특급 참가자는 소통과 화합의 메시지를 전파하는 사절단의 임무가 있다”며 “대한민국의 미래를 위한 작은 역할을 하게 돼 뿌듯하다”고 말했다.
## <안:PER> 씨는 “친선특급 참가자는 소통과 화합의 메시지를 전파하는 사절단의 임무가 있다”며 “<대한민국:ORG>의 미래를 위한 작은 역할을 하게 돼 뿌듯하다”고 말했다.
안	안	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
친선	친선	NNG	O
특급	특급	NNG	O
_	_	_	O
참가자	참가자	NNG	O
는	는	JX	O
_	_	_	O
소통	소통	NNG	O
과	과	JKB	O
_	_	_	O
화합	화합	NNG	O
의	의	JKG	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
전파하	전파하	VV	O
는	는	ETM	O
_	_	_	O
사절단	사절단	NNG	O
의	의	JKG	O
_	_	_	O
임무	임무	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
대한민국	대한민국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
미래	미래	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
게	게	EC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
뿌듯하	뿌듯하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 10명의 벤처기업가들을 감동시킨 것처럼 적극적인 투자와 고용을 통해 국민을 감동시켜야 하는 것이다.
## <10명:NOH>의 벤처기업가들을 감동시킨 것처럼 적극적인 투자와 고용을 통해 국민을 감동시켜야 하는 것이다.
10	10	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
벤처	벤처	NNG	O
기업가	기업가	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
감동	감동	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
적극적	적극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
투자	투자	NNG	O
와	와	JC	O
_	_	_	O
고용	고용	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
국민	국민	NNG	O
을	을	JKO	O
_	_	_	O
감동	감동	NNG	O
시켜야	시키+어야	XSV+EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 이후 장동민은 자신이 진행하는 라디오 프로그램에서 사과를 전하며 논란을 잠재웠으나 이번 고소 사건으로 또 다시 도마 위에 오른 것으로 보인다.
