## 1
## 연규성은 “오디션박스 때부터 함께 노래했던 은영이가 가수로서의 새 출발을 위해 제 노래 ‘슬픈 노래’를 리메이크해 녹음도 다 해놓고 뮤직비디오도 다 찍고 이제 발표만을 남기고 있었는데. 며칠 전에도 만나 밝게 웃으며 함께 녹음하고 했는데 정말 믿기질 않네요”라고 덧붙였다.
## <연규성:PER>은 “오디션박스 때부터 함께 노래했던 <은영이:PER>가 가수로서의 새 출발을 위해 제 노래 ‘<슬픈 노래:POH>’를 리메이크해 녹음도 다 해놓고 뮤직비디오도 다 찍고 이제 발표만을 남기고 있었는데. 며칠 전에도 만나 밝게 웃으며 함께 녹음하고 했는데 정말 믿기질 않네요”라고 덧붙였다.
연규성	연규성	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
오디션	오디션	NNG	O
박스	박스	NNG	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
노래	노래하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
은영이	은영이	NNP	B-PER
가	가	JKS	O
_	_	_	O
가수	가수	NNG	O
로서	로서	JKB	O
의	의	JKG	O
_	_	_	O
새	새	MM	O
_	_	_	O
출발	출발	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
제	저+의	NP+JKG	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
‘	‘	SS	O
슬픈	슬프+ㄴ	VA+ETM	B-POH
_	_	_	I-POH
노래	노래	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
리메이크해	리메이크하+여	VV+EC	O
_	_	_	O
녹음	녹음	NNG	O
도	도	JX	O
_	_	_	O
다	다	MAG	O
_	_	_	O
해	하+여	VV+EC	O
놓	놓	VX	O
고	고	EC	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
도	도	JX	O
_	_	_	O
다	다	MAG	O
_	_	_	O
찍	찍	VV	O
고	고	EC	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
발표	발표	NNG	O
만	만	JX	O
을	을	JKO	O
_	_	_	O
남기	남기	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
는데	는데	EF	O
.	.	SF	O
_	_	_	O
며칠	며칠	NNG	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
밝	밝	VA	O
게	게	EC	O
_	_	_	O
웃	웃	VV	O
으며	으며	EC	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
녹음하	녹음하	VV	O
고	고	EC	O
_	_	_	O
했	+였	+EP	O
는데	는데	EC	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
믿	믿	NNG	O
기질	기질	NNG	O
_	_	_	O
않	않	VV	O
네	네	EC	O
요	요	JX	O
