## 1
## 이번 주 중국에서 열린 WTA투어 광저우오픈에 출전하지 않고 코리아오픈을 찾은 장솨이는 “중국 대회는 여러 차례 출전해 이미 우승도 해봤다.
## 이번 주 <중국:LOC>에서 열린 <WTA투어 광저우오픈:POH>에 출전하지 않고 <코리아오픈:POH>을 찾은 <장솨이:PER>는 “<중국:ORG> 대회는 여러 차례 출전해 이미 우승도 해봤다.
이번	이번	NNG	O
_	_	_	O
주	주	NNB	O
_	_	_	O
중국	중국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
WTA	WTA	SL	B-POH
투어	투어	NNG	I-POH
_	_	_	I-POH
광저우	광저우	NNP	I-POH
오픈	오픈	NNG	I-POH
에	에	JKB	O
_	_	_	O
출전하	출전하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
코리아	코리아	NNP	B-POH
오픈	오픈	NNG	I-POH
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
은	은	ETM	O
_	_	_	O
장솨이	장솨이	NNG	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
중국	중국	NNP	B-ORG
_	_	_	O
대회	대회	NNG	O
는	는	JX	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
우승	우승	NNG	O
도	도	JX	O
_	_	_	O
해	하+여+보	VV+EC+VX	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘공블리’는 그만…영화 속 공효진은 변신의 귀재
## ‘<공블리:PER>’는 그만…영화 속 <공효진:PER>은 변신의 귀재
‘	‘	SS	O
공	공	NNG	B-PER
블리	블리	VV	I-PER
’	’	SS	O
는	는	JX	O
_	_	_	O
그만	그만	MAG	O
…	…	SE	O
영화	영화	NNG	O
_	_	_	O
속	속	NNG	O
_	_	_	O
공효진	공효진	NNP	B-PER
은	은	JX	O
_	_	_	O
변신	변신	NNG	O
의	의	JKG	O
_	_	_	O
귀재	귀재	NNG	O

## 3
## 그런데 그냥 뭐든 자기 멋대로예요. 학교도 가고 싶으면 가고 가기 싫으면 안 가요. 죄책감도 없어요.”혜민씨의 삶은 비교적 잘 흘러왔다.
## 그런데 그냥 뭐든 자기 멋대로예요. 학교도 가고 싶으면 가고 가기 싫으면 안 가요. 죄책감도 없어요.”<혜민:PER>씨의 삶은 비교적 잘 흘러왔다.
그런데	그런데	MAJ	O
_	_	_	O
그냥	그냥	MAG	O
_	_	_	O
뭐	뭐	NP	O
든	든	JX	O
_	_	_	O
자기	자기	NP	O
_	_	_	O
멋대로	멋대로+이	MAG+VCP	O
예요	에요	EF	O
.	.	SF	O
_	_	_	O
학교	학교	NNG	O
도	도	JX	O
_	_	_	O
가	가	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
으면	으면	EC	O
_	_	_	O
가	가	VV	O
고	고	EC	O
_	_	_	O
가	가	VV	O
기	기	ETN	O
_	_	_	O
싫	싫	VA	O
으면	으면	EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
가요	가+아요	VV+EF	O
.	.	SF	O
_	_	_	O
죄책감	죄책감	NNG	O
도	도	JX	O
_	_	_	O
없	없	VA	O
어요	어요	EF	O
.	.	SF	O
”	”	SS	O
혜민	혜민	NNP	B-PER
씨	씨	XSN	O
의	의	JKG	O
_	_	_	O
삶	삶	NNG	O
은	은	JX	O
_	_	_	O
비교적	비교적	NNG	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
흘러	흘러오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘가난까지 상품화’인천 동구청이 만석동 ‘괭이부리 마을’에 체험 시설을 만들기로 해 가난까지 상품화한다는 비난이 커지고 있다.
## ‘가난까지 상품화’<인천 동구청:ORG>이 <만석동:LOC> ‘<괭이부리 마을:POH>’에 체험 시설을 만들기로 해 가난까지 상품화한다는 비난이 커지고 있다.
‘	‘	SS	O
가난	가난	NNG	O
까지	까지	JX	O
_	_	_	O
상품	상품	NNG	O
화	화	NNG	O
’	’	SS	O
인천	인천	NNP	B-ORG
_	_	_	I-ORG
동	동	NNG	I-ORG
구청	구청	NNG	I-ORG
이	이	JKS	O
_	_	_	O
만석동	만석동	NNP	B-LOC
_	_	_	O
‘	‘	SS	O
괭이	괭이	NNG	B-POH
부리	부리	NNG	I-POH
_	_	_	I-POH
마을	마을	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
시설	시설	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
해	해	NNG	O
_	_	_	O
가난	가난	NNG	O
까지	까지	JX	O
_	_	_	O
상품	상품	NNG	O
화한다는	화하+ㄴ다는	VV+ETM	O
_	_	_	O
비난	비난	NNG	O
이	이	JKS	O
_	_	_	O
커지	커지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 임 교수는 역시 실크로드 위에 위치한 아프가니스탄, 둔황 천불동 등에서도 비슷한 형태의 반가사유상이 발견되고 있다고 덧붙였다.
