## 1
## 게다가 제러미 코빈 노동당 대표가 찬성표를 던지라는 지침을 소속 의원들에게 내림으로써 대다수 노동당 의원들의 표까지 더해졌다.
## 게다가 <제러미 코빈:PER> <노동당:ORG> 대표가 찬성표를 던지라는 지침을 소속 의원들에게 내림으로써 대다수 <노동당:ORG> 의원들의 표까지 더해졌다.
게다가	게다가	MAG	O
_	_	_	O
제러미	제러미	NNP	B-PER
_	_	_	I-PER
코빈	코빈	NNP	I-PER
_	_	_	O
노동당	노동당	NNP	B-ORG
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
찬성표	찬성표	NNG	O
를	를	JKO	O
_	_	_	O
던지	던지	VV	O
라는	라는	ETM	O
_	_	_	O
지침	지침	NNG	O
을	을	JKO	O
_	_	_	O
소속	소속	NNG	O
_	_	_	O
의원	의원	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
내림	내리+ㅁ	VV+ETN	O
으로써	으로써	JKB	O
_	_	_	O
대다수	대다수	NNG	O
_	_	_	O
노동당	노동당	NNP	B-ORG
_	_	_	O
의원	의원	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
표	표	NNG	O
까지	까지	JX	O
_	_	_	O
더해	더하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 왼쪽에는 ‘사하라’라고 불리는 100야드 거리의 긴 벙커가 위협적이며 반대편에는 230야드 지점부터 그린까지 4개의 벙커가 도사리고 있다.
## 왼쪽에는 ‘사하라’라고 불리는 <100야드:NOH> 거리의 긴 벙커가 위협적이며 반대편에는 <230야드:NOH> 지점부터 그린까지 <4개:NOH>의 벙커가 도사리고 있다.
왼쪽	왼쪽	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
사하라	사하라	NNP	O
’	’	SS	O
라고	라고	JKQ	O
_	_	_	O
불리	불리	VV	O
는	는	ETM	O
_	_	_	O
100	100	SN	B-NOH
야드	야드	NNB	I-NOH
_	_	_	O
거리	거리	NNG	O
의	의	JKG	O
_	_	_	O
긴	길+ㄴ	VA+ETM	O
_	_	_	O
벙커	벙커	NNG	O
가	가	JKS	O
_	_	_	O
위협적	위협적	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
반대편	반대편	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
230	230	SN	B-NOH
야드	야드	NNB	I-NOH
_	_	_	O
지점	지점	NNG	O
부터	부터	JX	O
_	_	_	O
그린	그린	NNG	O
까지	까지	JX	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
벙커	벙커	NNG	O
가	가	JKS	O
_	_	_	O
도사리	도사리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 한편, 소녀시대는 다음달 7일 오후 10시 각종 온라인 음원 사이트를 통해 선행 싱글 ‘파티(PARTY)’ 음원을 공개하고 본격적인 활동에 나선다.
## 한편, <소녀시대:ORG>는 다음달 <7일:DAT> <오후 10시:TIM> 각종 온라인 음원 사이트를 통해 선행 싱글 ‘<파티:POH>(<PARTY:POH>)’ 음원을 공개하고 본격적인 활동에 나선다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
는	는	JX	O
_	_	_	O
다음	다음	NNG	O
달	달	NNG	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
각종	각종	NNG	O
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
음원	음원	NNG	O
_	_	_	O
사이트	사이트	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
선행	선행	NNG	O
_	_	_	O
싱글	싱글	NNG	O
_	_	_	O
‘	‘	SS	O
파티	파티	NNG	B-POH
(	(	SS	O
PARTY	PARTY	SL	B-POH
)	)	SS	O
’	’	SS	O
_	_	_	O
음원	음원	NNG	O
을	을	JKO	O
_	_	_	O
공개하	공개하	VV	O
고	고	EC	O
_	_	_	O
본격적	본격적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
나선다	나서+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 이는 지난해 2월 발표한 정규 4집 ‘미스터 미스터(Mr. Mr.)’ 이후 약 1년 6개월 만의 국내 컴백이다.
## 이는 지난해 <2월:DAT> 발표한 정규 <4집:NOH> ‘<미스터 미스터:POH>(<Mr. Mr.:POH>)’ 이후 약 <1년 6개월:DUR> 만의 국내 컴백이다.
이	이	NP	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
정규	정규	NNG	O
_	_	_	O
4	4	SN	B-NOH
집	집	NNB	I-NOH
_	_	_	O
‘	‘	SS	O
미스터	미스터	NNG	B-POH
_	_	_	I-POH
미스터	미스터	NNG	I-POH
(	(	SS	O
Mr	Mr	SL	B-POH
.	.	SF	I-POH
_	_	_	I-POH
Mr	Mr	SL	I-POH
.	.	SF	I-POH
)	)	SS	O
’	’	SS	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
약	약	MM	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
6	6	SN	I-DUR
개월	개월	NNB	I-DUR
_	_	_	O
만	만	NNB	O
의	의	JKG	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
컴백	컴백	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 소녀시대는 다채로운 음악과 활동을 선보이고자 선행 싱글 ‘파티’에 이어 ‘라이온 하트(Lion Heart)’, ‘유 씽크(You Think)’를 더블 타이틀로 한 정규 앨범을 순차적으로 발표한다.
## <소녀시대:ORG>는 다채로운 음악과 활동을 선보이고자 선행 싱글 ‘<파티:POH>’에 이어 ‘<라이온 하트:POH>(<Lion Heart:POH>)’, ‘<유 씽크:POH>(<You Think:POH>)’를 더블 타이틀로 한 정규 앨범을 순차적으로 발표한다.
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
는	는	JX	O
_	_	_	O
다채로	다채롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
음악	음악	NNG	O
과	과	JC	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
선보이	선보이	VV	O
고자	고자	EC	O
_	_	_	O
선행	선행	NNG	O
_	_	_	O
싱글	싱글	NNG	O
_	_	_	O
‘	‘	SS	O
파티	파티	NNG	B-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
이어	이어	MAG	O
_	_	_	O
‘	‘	SS	O
라이온	라이온	NNG	B-POH
_	_	_	I-POH
하트	하트	NNG	I-POH
