## 1
## 파리바게뜨의 상승과 뚜레쥬르의 하락이 엇갈리면서 브랜드간 NBCI 격차 수준이 지난해 5점에서 올해 8점이 됐다.
## <파리바게뜨:ORG>의 상승과 <뚜레쥬르:ORG>의 하락이 엇갈리면서 브랜드간 <NBCI:POH> 격차 수준이 지난해 <5점:NOH>에서 올해 <8점:NOH>이 됐다.
파리바게뜨	파리바게뜨	NNP	B-ORG
의	의	JKG	O
_	_	_	O
상승	상승	NNG	O
과	과	JC	O
_	_	_	O
뚜레쥬르	뚜레쥬르	NNP	B-ORG
의	의	JKG	O
_	_	_	O
하락	하락	NNG	O
이	이	JKS	O
_	_	_	O
엇갈리	엇갈리	VV	O
면서	면서	EC	O
_	_	_	O
브랜드	브랜드	NNG	O
간	간	NNB	O
_	_	_	O
NBCI	NBCI	SL	B-POH
_	_	_	O
격차	격차	NNG	O
_	_	_	O
수준	수준	NNG	O
이	이	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
5	5	SN	B-NOH
점	점	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
8	8	SN	B-NOH
점	점	NNB	I-NOH
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 취업준비 사이트 커리어캐치, 기업평판 서비스 오픈
## 취업준비 사이트 <커리어캐치:ORG>, 기업평판 서비스 오픈
취업	취업	NNG	O
준비	준비	NNG	O
_	_	_	O
사이트	사이트	NNG	O
_	_	_	O
커리어	커리어	NNG	B-ORG
캐치	캐치	NNG	I-ORG
,	,	SP	O
_	_	_	O
기업	기업	NNG	O
평판	평판	NNG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
오픈	오픈	NNG	O

## 3
## 삼희자원개발의 세라믹 흡착효과를 활용한 특허기술로 생선의 비린내를 없애고 맛과 신선도를 유지했다.
## <삼희자원개발:ORG>의 세라믹 흡착효과를 활용한 특허기술로 생선의 비린내를 없애고 맛과 신선도를 유지했다.
삼희	삼희	NNP	B-ORG
자원	자원	NNG	I-ORG
개발	개발	NNG	I-ORG
의	의	JKG	O
_	_	_	O
세라믹	세라믹	NNG	O
_	_	_	O
흡착	흡착	NNG	O
효과	효과	NNG	O
를	를	JKO	O
_	_	_	O
활용한	활용하+ㄴ	VV+ETM	O
_	_	_	O
특허	특허	NNG	O
기술	기술	NNG	O
로	로	JKB	O
_	_	_	O
생선	생선	NNG	O
의	의	JKG	O
_	_	_	O
비린내	비린내	NNG	O
를	를	JKO	O
_	_	_	O
없애	없애	VV	O
고	고	EC	O
_	_	_	O
맛	맛	NNG	O
과	과	JC	O
_	_	_	O
신선도	신선도	NNG	O
를	를	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 복면가왕 어머니, 에이핑크 정은지 유력 “루나처럼 들통?”…누리꾼 수사대 ‘엄지 척!!’ ‘복면가왕’에 새롭게 등장한 참가자 ‘어머니는 자외선이 싫다고 하셨어’에 누리꾼들의 관심이 모이고 있다.
## <복면가왕:POH> <어머니:PER>, <에이핑크:ORG> <정은지:PER> 유력 “<루나:PER>처럼 들통?”…누리꾼 수사대 ‘엄지 척!!’ ‘<복면가왕:POH>’에 새롭게 등장한 참가자 ‘어머니는 자외선이 싫다고 하셨어’에 누리꾼들의 관심이 모이고 있다.
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
_	_	_	O
어머니	어머니	NNG	B-PER
,	,	SP	O
_	_	_	O
에이	에이	NNG	B-ORG
핑크	핑크	NNG	I-ORG
_	_	_	O
정은지	정은지	NNP	B-PER
_	_	_	O
유력	유력	NNG	O
_	_	_	O
“	“	SS	O
루나	루나	NNP	B-PER
처럼	처럼	JKB	O
_	_	_	O
들통	들통	NNG	O
?	?	SF	O
”	”	SS	O
…	…	SE	O
누리	누리	NNG	O
꾼	꾼	XSN	O
_	_	_	O
수사대	수사대	NNG	O
_	_	_	O
‘	‘	SS	O
엄지	엄지	NNG	O
_	_	_	O
척	척	NNB	O
!	!	SF	O
!	!	SF	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
등장한	등장하+ㄴ	VV+ETM	O
_	_	_	O
참가자	참가자	NNG	O
_	_	_	O
‘	‘	SS	O
어머니	어머니	NNG	O
는	는	JX	O
_	_	_	O
자외선	자외선	NNG	O
이	이	JKS	O
_	_	_	O
싫	싫	VA	O
