## 1
## 리츠칼튼 서울, ‘리츠 티저트–헬로 옐로’ 6일 시작
## <리츠칼튼 서울:ORG>, ‘<리츠 티저트–헬로 옐로:POH>’ <6일:DAT> 시작
리츠칼튼	리츠칼튼	NNP	B-ORG
_	_	_	I-ORG
서울	서울	NNP	I-ORG
,	,	SP	O
_	_	_	O
‘	‘	SS	O
리츠	리츠	NNG	B-POH
_	_	_	I-POH
티저	티저	NNG	I-POH
트	트	NNG	I-POH
–	–	SF	I-POH
헬로	헬로	NNG	I-POH
_	_	_	I-POH
옐로	옐로	NNG	I-POH
’	’	SS	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
시작	시작	NNG	O

## 2
## 새누리당 소속 국회의원 대부분도 폐지 논의가 이뤄지는지 몰랐고, 당론을 모은 적도 없다고 한다.
## <새누리당:ORG> 소속 국회의원 대부분도 폐지 논의가 이뤄지는지 몰랐고, 당론을 모은 적도 없다고 한다.
새누리당	새누리당	NNP	B-ORG
_	_	_	O
소속	소속	NNG	O
_	_	_	O
국회의원	국회의원	NNG	O
_	_	_	O
대부분	대부분	NNG	O
도	도	JX	O
_	_	_	O
폐지	폐지	NNG	O
_	_	_	O
논의	논의	NNG	O
가	가	JKS	O
_	_	_	O
이뤄지	이루어지	VV	O
는지	는지	EC	O
_	_	_	O
몰	모르	VV	O
랐	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
당론	당론	NNG	O
을	을	JKO	O
_	_	_	O
모은	모으+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
도	도	JX	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## [華西都市報]쓰촨, 中 산업의 중심으로 변신…세계 500대 기업 중 299개 기업 입성
## [<華西都市報:POH>]<쓰촨:LOC>, <中:LOC> 산업의 중심으로 변신…세계 <500대:NOH> 기업 중 <299개:NOH> 기업 입성
[	[	SS	O
華西都市報	華西都市報	SH	B-POH
]	]	SS	O
쓰촨	쓰촨	NNP	B-LOC
,	,	SP	O
_	_	_	O
中	中	SH	B-LOC
_	_	_	O
산업	산업	NNG	O
의	의	JKG	O
_	_	_	O
중심	중심	NNG	O
으로	으로	JKB	O
_	_	_	O
변신	변신	NNG	O
…	…	SE	O
세계	세계	NNG	O
_	_	_	O
500	500	SN	B-NOH
대	대	NNG	I-NOH
_	_	_	O
기업	기업	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
299	299	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
기업	기업	NNG	O
_	_	_	O
입성	입성	NNG	O

## 4
## 우리당헌 제102조(비례대표국회의원선거후보자 추천)에는 이렇게 명시되어 있습니다.
## 우리당헌 <제102조:NOH>(비례대표국회의원선거후보자 추천)에는 이렇게 명시되어 있습니다.
우리	우리	NP	O
