## 1
## 대학생 잡지 ‘대학내일’이 ‘훈남‘ 표지 모델을 공개해 화제다.
## 대학생 잡지 ‘<대학내일:POH>’이 ‘훈남‘ 표지 모델을 공개해 화제다.
대학생	대학생	NNG	O
_	_	_	O
잡지	잡지	NNG	O
_	_	_	O
‘	‘	SS	O
대학	대학	NNG	B-POH
내	내	NNB	I-POH
일	일	NNP	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
훈	훈	NNP	O
남	남	NNG	O
‘	‘	SS	O
_	_	_	O
표지	표지	NNG	O
_	_	_	O
모델	모델	NNG	O
을	을	JKO	O
_	_	_	O
공개해	공개하+여	VV+EC	O
_	_	_	O
화제	화제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 유상무 씨 본인과 소속사는 일단 불미스러운 논란에 휩싸인 점 자체로 고개 숙여 진심으로 사과 드립니다.
## <유상무:PER> 씨 본인과 소속사는 일단 불미스러운 논란에 휩싸인 점 자체로 고개 숙여 진심으로 사과 드립니다.
유상무	유상무	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
본인	본인	NNG	O
과	과	JC	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
는	는	JX	O
_	_	_	O
일단	일단	MAG	O
_	_	_	O
불미스러	불미스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
논란	논란	NNG	O
에	에	JKB	O
_	_	_	O
휩싸인	휩싸이+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNG	O
_	_	_	O
자체	자체	NNG	O
로	로	JKB	O
_	_	_	O
고개	고개	NNG	O
_	_	_	O
숙	숙이	VV	O
여	어	EC	O
_	_	_	O
진심	진심	NNG	O
으로	으로	JKB	O
_	_	_	O
사과	사과	NNG	O
_	_	_	O
드립니다	드리+ㅂ니다	VV+EF	O
.	.	SF	O

## 3
## 최 씨는 “헌법재판소에도 증인으로 나가 (같은) 말을 했지만 (삼성) 승계 작업이 어떻게 돌아가는지, 삼성이 어떻게 돌아가는지 모른다”고 말했다.
## <최:PER> 씨는 “헌법재판소에도 증인으로 나가 (같은) 말을 했지만 (<삼성:ORG>) 승계 작업이 어떻게 돌아가는지, <삼성:ORG>이 어떻게 돌아가는지 모른다”고 말했다.
최	최	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
