## 1
## 삼성重, 유상증자 위해 8월 주총
## <삼성重:ORG>, 유상증자 위해 <8월:DAT> 주총
삼성	삼성	NNP	B-ORG
重	重	SH	I-ORG
,	,	SP	O
_	_	_	O
유상	유상	NNG	O
증자	증자	NNG	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
주총	주총	NNG	O

## 2
## 카카오 관계자는 "구글 검색 방식상의 문제인 것 같고, '다음지도를 망쳐버린 카카오맵'과 관련해 글을 쓴 개인의 블로그 글이 있는데, 그 글 안에 카카오맵 링크도 포함돼 있다"라며 "구글의 검색 방식으로 그 블로그 글의 제목이 우리 카카오맵 소개 페이지와 연동된 것으로 보인다"라고 설명했다.
## <카카오:ORG> 관계자는 "<구글:ORG> 검색 방식상의 문제인 것 같고, '<다음:ORG>지도를 망쳐버린 <카카오맵:POH>'과 관련해 글을 쓴 개인의 블로그 글이 있는데, 그 글 안에 <카카오맵:POH> 링크도 포함돼 있다"라며 "<구글:ORG>의 검색 방식으로 그 블로그 글의 제목이 우리 <카카오맵:POH> 소개 페이지와 연동된 것으로 보인다"라고 설명했다.
카카오	카카오	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
구글	구글	NNP	B-ORG
_	_	_	O
검색	검색	NNG	O
_	_	_	O
방식	방식	NNG	O
상	상	XSN	O
의	의	JKG	O
_	_	_	O
문제	문제	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
'	'	SS	O
다음	다음	NNG	B-ORG
지도	지도	NNG	O
를	를	JKO	O
_	_	_	O
망쳐	망치+어	VV+EC	O
버린	버리+ㄴ	VX+ETM	O
_	_	_	O
카카오	카카오	NNP	B-POH
맵	맵	VA	I-POH
'	'	SS	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
개인	개인	NNG	O
의	의	JKG	O
_	_	_	O
블로그	블로그	NNG	O
_	_	_	O
글	글	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
글	글	NNG	O
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
카카오	카카오	NNP	B-POH
맵	맵	VA	I-POH
_	_	_	O
링크	링크	NNG	O
도	도	JX	O
_	_	_	O
포함돼	포함되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
"	"+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
"	"	SS	O
구글	구글	NNG	B-ORG
의	의	JKG	O
_	_	_	O
검색	검색	NNG	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
그	그	MM	O
_	_	_	O
블로그	블로그	NNG	O
_	_	_	O
글	글	NNG	O
의	의	JKG	O
_	_	_	O
제목	제목	NNG	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
카카오	카카오	NNP	B-POH
맵	맵	VA	I-POH
_	_	_	O
소개	소개	NNG	O
_	_	_	O
페이지	페이지	NNG	O
와	와	JC	O
_	_	_	O
연동된	연동되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
"	"	SS	O
라고	라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 실제로 지난 2016년 10월 작성된 한 블로그의 글 제목은 '다음지도를 망친 카카오맵'이다.
## 실제로 지난 <2016년 10월:DAT> 작성된 한 블로그의 글 제목은 '<다음:ORG>지도를 망친 <카카오맵:POH>'이다.
실제로	실제로	MAG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
작성된	작성되+ㄴ	VV+ETM	O
_	_	_	O
한	한	NNP	O
_	_	_	O
블로그	블로그	NNG	O
의	의	JKG	O
_	_	_	O
글	글	NNG	O
_	_	_	O
제목	제목	NNG	O
은	은	JX	O
_	_	_	O
'	'	SS	O
다음	다음	NNG	B-ORG
지도	지도	NNG	O
를	를	JKO	O
_	_	_	O
