## 1
## 이성·동성 커플 어느 쪽이나 쓸 수 있는 말이라는 것.이 밖에 “국민의당은 이 현수막으로 무슨 메시지를 전달하고자 했던 것인지 궁금하다”는 이들이 많았다.
## 이성·동성 커플 어느 쪽이나 쓸 수 있는 말이라는 것.이 밖에 “<국민의당:ORG>은 이 현수막으로 무슨 메시지를 전달하고자 했던 것인지 궁금하다”는 이들이 많았다.
이성	이성	NNG	O
·	·	SP	O
동성	동성	NNG	O
_	_	_	O
커플	커플	NNG	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
쪽	쪽	NNB	O
이나	이나	JX	O
_	_	_	O
쓸	쓰+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
말	말	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
이	이	MM	O
_	_	_	O
밖	밖	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
국민	국민	NNG	B-ORG
의	의	NNG	I-ORG
당	당	XSN	I-ORG
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
현수막	현수막	NNG	O
으로	으로	JKB	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
전달하	전달하	VV	O
고자	고자	EC	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
인지	이+ㄴ지	VCP+EC	O
_	_	_	O
궁금하	궁금하	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 결혼 후 2~3년 사이에 첫 아이를 낳은 여성의 비율(21.7%)은 전년대비 1.3%포인트 증가했다.
## 결혼 후 <2:NOH>~<3년:NOH> 사이에 첫 아이를 낳은 여성의 비율(<21.7%:PNT>)은 전년대비 <1.3%:PNT>포인트 증가했다.
결혼	결혼	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
2	2	SN	B-NOH
~	~	SO	O
3	3	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
